@relation nonstat_data_10-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute class {0,1,2,3,4,5,6,7,8}

@data
0.58407,0.62026,0.32043,0.093696,4
0.12572,0.73037,0.66781,0.1031,1
0.48008,0.68796,0.27141,0.62408,7
0.58119,0.63251,0.31076,0.090171,4
0.12429,0.72833,0.66797,0.10507,1
0.47985,0.68791,0.27018,0.62383,7
0.12384,0.73017,0.66907,0.10309,1
0.58331,0.63136,0.31264,0.12574,4
0.47877,0.6877,0.27117,0.62509,7
0.12482,0.72799,0.66775,0.1043,1
0.58558,0.63421,0.30958,0.10763,4
0.47855,0.68655,0.26976,0.6241,7
0.59647,0.63622,0.29135,0.11095,4
0.12561,0.72815,0.66575,0.10278,1
0.47955,0.68667,0.2701,0.62516,7
0.586,0.62052,0.31452,0.11376,4
0.1252,0.72828,0.66702,0.10121,1
0.47883,0.6867,0.27112,0.62526,7
0.58613,0.63171,0.31868,0.096376,4
0.12404,0.72856,0.66661,0.10237,1
0.47958,0.68796,0.26994,0.6255,7
0.58686,0.62758,0.30784,0.10477,4
0.12853,0.72843,0.66909,0.10281,1
0.5854,0.6296,0.30903,0.10383,4
0.48009,0.68804,0.27021,0.62558,7
0.12487,0.73069,0.66835,0.10487,1
0.57667,0.62443,0.31345,0.10467,4
0.47974,0.68818,0.26987,0.62426,7
0.12486,0.72971,0.66659,0.1056,1
0.59505,0.62588,0.3306,0.10926,4
0.92799,0.90371,0.32357,0.25957,0
0.12585,0.72971,0.66692,0.10219,1
0.47958,0.68692,0.27027,0.62532,7
0.58294,0.62697,0.29709,0.10593,4
0.12543,0.73006,0.66918,0.10475,1
0.47847,0.6869,0.271,0.62397,7
0.58798,0.63176,0.31614,0.092087,4
0.1267,0.72922,0.6681,0.10488,1
0.58192,0.62532,0.29512,0.10903,4
0.47848,0.68772,0.27116,0.62589,7
0.12393,0.72864,0.66609,0.10515,1
0.47975,0.68824,0.27021,0.62524,7
0.58403,0.63299,0.28922,0.10548,4
0.12501,0.72648,0.66432,0.10212,1
0.60059,0.62917,0.31335,0.11071,4
0.47961,0.68669,0.27001,0.62407,7
0.12632,0.72879,0.66681,0.1044,1
0.57551,0.61484,0.32869,0.10807,4
0.47986,0.68669,0.27118,0.62415,7
0.12477,0.72825,0.66628,0.1057,1
0.58448,0.63357,0.32806,0.096629,4
0.47836,0.68678,0.27002,0.62519,7
0.59629,0.6238,0.31154,0.10077,4
0.12616,0.72856,0.66653,0.10459,1
0.47885,0.68695,0.27005,0.62392,7
0.58643,0.62531,0.31338,0.10631,4
0.12555,0.72914,0.66568,0.10561,1
0.58249,0.62542,0.30805,0.11015,4
0.1233,0.72986,0.66548,0.1029,1
0.48066,0.68669,0.27002,0.62558,7
0.58157,0.63947,0.30289,0.10896,4
0.12095,0.72976,0.66877,0.10453,1
0.47809,0.68801,0.27162,0.6241,7
0.59131,0.62436,0.30803,0.11199,4
0.12735,0.72876,0.6682,0.10319,1
0.86844,0.94696,0.53867,0.24205,0
0.4797,0.68802,0.2713,0.62527,7
0.57936,0.62237,0.31825,0.10242,4
0.12532,0.72816,0.66658,0.10293,1
0.47955,0.6867,0.27205,0.62417,7
0.59122,0.61878,0.31628,0.10527,4
0.12402,0.7272,0.66671,0.10313,1
0.4796,0.68628,0.27106,0.62531,7
0.58464,0.63164,0.31483,0.10657,4
0.12264,0.72939,0.66593,0.10426,1
0.47978,0.68693,0.27122,0.6255,7
0.57414,0.63049,0.31021,0.10619,4
0.12547,0.72792,0.66814,0.10607,1
0.47883,0.68699,0.2696,0.62551,7
0.12636,0.72953,0.66831,0.10477,1
0.58675,0.60704,0.29731,0.117,4
0.47882,0.68769,0.27104,0.62426,7
0.58262,0.64802,0.29412,0.10397,4
0.12601,0.72996,0.66779,0.10391,1
0.47885,0.68697,0.27027,0.62524,7
0.12421,0.72814,0.66734,0.10343,1
0.58824,0.62929,0.30908,0.11903,4
0.4798,0.68665,0.27013,0.62519,7
0.12501,0.72745,0.66581,0.10253,1
0.5956,0.63755,0.31511,0.098143,4
0.5828,0.6305,0.32663,0.11425,4
0.12371,0.72962,0.66684,0.10391,1
0.47986,0.68674,0.27124,0.62512,7
0.58755,0.63922,0.32499,0.10179,4
0.12615,0.72795,0.66376,0.1048,1
0.56458,0.14285,0.48083,0.37388,0
0.47841,0.68655,0.27149,0.62411,7
0.12214,0.72973,0.66802,0.10322,1
0.58505,0.64143,0.31352,0.10153,4
0.47967,0.68694,0.26995,0.62429,7
0.58392,0.6289,0.32265,0.10547,4
0.12479,0.72841,0.66695,0.10302,1
0.47987,0.68799,0.27112,0.62406,7
0.57629,0.62506,0.31391,0.11294,4
0.124,0.72968,0.66627,0.10503,1
0.48014,0.68775,0.2702,0.62431,7
0.57096,0.63105,0.30195,0.10144,4
0.1232,0.72852,0.66581,0.10389,1
0.48021,0.68651,0.26999,0.62535,7
0.59425,0.63501,0.31366,0.099597,4
0.12428,0.72743,0.66568,0.10305,1
0.47886,0.68776,0.26976,0.62549,7
0.60276,0.62592,0.30648,0.10902,4
0.12605,0.72967,0.66892,0.10374,1
0.59016,0.62365,0.31717,0.10196,4
0.12427,0.72686,0.66979,0.10468,1
0.47957,0.68689,0.2702,0.62433,7
0.57414,0.62207,0.29937,0.10846,4
0.12416,0.72921,0.66577,0.10338,1
0.48003,0.6881,0.27026,0.62409,7
0.58853,0.63793,0.31527,0.10145,4
0.12373,0.73044,0.66879,0.10501,1
0.47959,0.68689,0.27024,0.62377,7
0.58803,0.63019,0.31948,0.10307,4
0.70971,0.57235,0.72791,0.77639,0
0.12594,0.7276,0.66692,0.10385,1
0.48025,0.68689,0.26979,0.6252,7
0.59663,0.62218,0.31624,0.11104,4
0.12717,0.72605,0.66638,0.09985,1
0.47889,0.68702,0.26989,0.6251,7
0.58216,0.62386,0.32472,0.1113,4
0.12623,0.73007,0.66753,0.10492,1
0.47851,0.68695,0.27011,0.62416,7
0.57584,0.62572,0.31996,0.10733,4
0.12459,0.72881,0.66492,0.10484,1
0.57925,0.63949,0.30628,0.098726,4
0.47968,0.6865,0.2699,0.62405,7
0.12615,0.72876,0.66688,0.10474,1
0.5861,0.62618,0.32095,0.10654,4
0.47974,0.68781,0.27108,0.6253,7
0.12446,0.72937,0.66877,0.10561,1
0.58508,0.62463,0.31947,0.10115,4
0.47875,0.68787,0.27131,0.62434,7
0.1259,0.72959,0.66884,0.10558,1
0.58731,0.62136,0.31393,0.094938,4
0.12572,0.72902,0.66804,0.10556,1
0.47868,0.68675,0.27152,0.62555,7
0.59089,0.63491,0.30915,0.10295,4
0.12255,0.72901,0.66963,0.10547,1
0.4797,0.68696,0.27111,0.62547,7
0.59393,0.63199,0.3193,0.11007,4
0.12728,0.72989,0.6651,0.10431,1
0.59532,0.62821,0.31519,0.077941,4
0.47789,0.6867,0.27158,0.62508,7
0.12487,0.72802,0.66654,0.10318,1
0.58423,0.6269,0.32204,0.10083,4
0.47837,0.68605,0.26988,0.62425,7
0.12345,0.7295,0.66802,0.10624,1
0.61134,0.93316,0.58229,0.22838,0
0.59171,0.614,0.31117,0.1054,4
0.47956,0.6877,0.27014,0.62412,7
0.58854,0.62632,0.31479,0.11052,4
0.12537,0.72899,0.66543,0.10393,1
0.47868,0.68661,0.27112,0.62432,7
0.12626,0.72946,0.66744,0.10381,1
0.586,0.62432,0.31118,0.10888,4
0.47954,0.68778,0.26999,0.6243,7
0.12371,0.72764,0.66541,0.10422,1
0.59019,0.6201,0.31153,0.10315,4
0.58011,0.62369,0.3177,0.11043,4
0.47959,0.68825,0.27114,0.6255,7
0.12393,0.72739,0.66837,0.10392,1
0.58672,0.62137,0.2932,0.10214,4
0.12516,0.72939,0.66793,0.10521,1
0.47831,0.68772,0.27005,0.62559,7
0.5862,0.62221,0.31372,0.10909,4
0.12615,0.72988,0.66802,0.10466,1
