@relation nonstat_data_11-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute class {0,1,2,3,4,5,6}

@data
0.19949,0.94281,0.75101,3
0.19693,0.94335,0.75267,3
0.19744,0.94423,0.74965,3
0.49989,0.3503,0.3045,4
0.19871,0.94266,0.75125,3
0.19793,0.94331,0.75091,3
0.19854,0.94325,0.75034,3
0.50041,0.35858,0.30401,4
0.19844,0.94272,0.75065,3
0.69047,0.1395,0.58387,1
0.19988,0.94292,0.7503,3
0.20209,0.9436,0.7508,3
0.48936,0.35383,0.30065,4
0.9118,0.93793,0.91293,6
0.19802,0.94309,0.75007,3
0.19961,0.94333,0.75213,3
0.19691,0.94451,0.75047,3
0.50996,0.36462,0.30476,4
0.19809,0.94384,0.75123,3
0.19898,0.94528,0.75207,3
0.19886,0.94669,0.74969,3
0.69144,0.1406,0.58431,1
0.50859,0.35127,0.30914,4
0.19957,0.9451,0.75091,3
0.20181,0.94337,0.75103,3
0.19624,0.9427,0.74958,3
0.50076,0.35243,0.30828,4
0.19818,0.94292,0.75136,3
0.19865,0.94225,0.74992,3
0.89303,0.96983,0.92772,6
0.20219,0.94284,0.75357,3
0.49227,0.36108,0.28902,4
0.19838,0.94544,0.75264,3
0.20036,0.94336,0.75205,3
0.68839,0.1386,0.58437,1
0.19779,0.94363,0.75292,3
0.50727,0.39029,0.31371,4
0.19783,0.94393,0.75007,3
0.19808,0.94284,0.751,3
0.19867,0.94222,0.75298,3
0.49099,0.35771,0.29712,4
0.19782,0.94219,0.75304,3
0.19882,0.94701,0.75256,3
0.94279,0.95736,0.91774,6
0.1985,0.94391,0.75029,3
0.5075,0.34696,0.30103,4
0.6959,0.14065,0.58646,1
0.19778,0.94397,0.75121,3
0.19815,0.94185,0.75157,3
0.1977,0.94462,0.75296,3
0.50043,0.37118,0.32462,4
0.19633,0.94296,0.75083,3
0.19852,0.94138,0.75128,3
0.19844,0.9443,0.75162,3
0.50835,0.36396,0.30024,4
0.19876,0.94162,0.75258,3
0.19765,0.94241,0.75211,3
0.69261,0.13955,0.58144,1
0.19867,0.94198,0.7525,3
0.50438,0.36412,0.30484,4
0.92533,0.99851,0.8849,6
0.19752,0.9422,0.75034,3
0.19784,0.94407,0.74982,3
0.2009,0.94297,0.75152,3
0.49297,0.3579,0.30619,4
0.19734,0.94309,0.75147,3
0.20196,0.94431,0.75624,3
0.19817,0.94233,0.75526,3
0.51259,0.34933,0.29422,4
0.19743,0.94295,0.75067,3
0.6947,0.13826,0.57945,1
0.19759,0.94345,0.7515,3
0.19893,0.94428,0.7514,3
0.51542,0.35009,0.29339,4
0.20101,0.94322,0.75047,3
0.91513,0.93798,0.91916,6
0.19976,0.94175,0.75184,3
0.1987,0.94241,0.75402,3
0.50404,0.36625,0.29929,4
0.19916,0.94397,0.7525,3
0.19751,0.94218,0.75404,3
0.69386,0.13892,0.58316,1
0.19999,0.9436,0.75129,3
0.48766,0.33532,0.30235,4
0.20038,0.94351,0.75019,3
0.19937,0.94443,0.75137,3
0.19746,0.94362,0.75022,3
0.51334,0.37355,0.2917,4
0.19718,0.94435,0.74993,3
0.2,0.94278,0.74877,3
0.91698,0.93955,0.91363,6
0.1993,0.9424,0.75229,3
0.51351,0.33492,0.30113,4
0.20008,0.94511,0.75433,3
0.68922,0.1323,0.57872,1
0.19695,0.94285,0.75215,3
0.1999,0.94399,0.75073,3
0.50906,0.36119,0.30327,4
0.19908,0.94163,0.75327,3
0.19953,0.94713,0.7512,3
0.19782,0.94212,0.75033,3
0.50655,0.36487,0.32214,4
0.19836,0.94367,0.75013,3
0.19903,0.94318,0.75277,3
0.19829,0.94407,0.75343,3
0.50858,0.34782,0.29649,4
0.68816,0.13877,0.58034,1
0.19783,0.94223,0.75169,3
0.93177,0.90575,0.90641,6
0.19936,0.94369,0.75047,3
0.49843,0.36,0.29636,4
0.19813,0.94446,0.74971,3
0.19846,0.94379,0.75069,3
0.19993,0.94331,0.74981,3
0.4968,0.34826,0.30802,4
0.19941,0.94205,0.75177,3
0.1983,0.94313,0.75135,3
0.19914,0.94298,0.75056,3
0.69883,0.1396,0.58134,1
0.50462,0.35928,0.29115,4
0.2025,0.94116,0.75219,3
0.19825,0.94341,0.75088,3
