@relation nonstat_data_12-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute class {0,1,2,3}

@data
0.36413,0.12154,0.12007,0.57638,0.60599,0.60695,0.42361,0.57663,0.57504,0.66721,3
0.3651,0.12053,0.12219,0.57578,0.60625,0.60701,0.42469,0.57553,0.57466,0.66783,3
0.36383,0.1209,0.1219,0.57588,0.60657,0.60589,0.4243,0.57539,0.57412,0.66775,3
0.36456,0.12154,0.12071,0.57509,0.60636,0.60704,0.42324,0.57598,0.57513,0.6679,3
0.36329,0.12151,0.12143,0.57493,0.6065,0.60596,0.4241,0.57612,0.57446,0.66807,3
0.39309,0.81855,0.060368,0.85068,0.3939,0.93997,0.84722,0.12049,0.93875,0.27382,1
0.3632,0.12055,0.12015,0.57551,0.60647,0.60653,0.4242,0.57519,0.57452,0.66803,3
0.36368,0.1212,0.12081,0.5753,0.60697,0.60636,0.42299,0.57631,0.57506,0.66738,3
0.36492,0.12145,0.12114,0.5753,0.60652,0.60585,0.42313,0.57554,0.57416,0.66899,3
0.36271,0.12101,0.12123,0.57701,0.60593,0.60674,0.42368,0.57496,0.57545,0.66777,3
0.36477,0.12228,0.1205,0.57549,0.60662,0.60673,0.42344,0.575,0.5744,0.66883,3
0.36408,0.12184,0.12063,0.57528,0.60641,0.60611,0.42322,0.57521,0.57369,0.66782,3
0.3939,0.81847,0.060506,0.84923,0.39279,0.94074,0.84688,0.12041,0.93916,0.27294,1
0.36375,0.12067,0.12156,0.57483,0.60673,0.60545,0.42281,0.57557,0.57431,0.66796,3
0.36498,0.12103,0.12045,0.57546,0.60646,0.60718,0.4232,0.57537,0.57522,0.66875,3
0.36424,0.12117,0.12072,0.57582,0.60683,0.60557,0.42368,0.57652,0.57499,0.66747,3
0.3636,0.12049,0.12196,0.57524,0.60654,0.60624,0.42338,0.57616,0.57444,0.66741,3
0.36354,0.12136,0.12084,0.57546,0.60625,0.60635,0.42421,0.57521,0.57511,0.6684,3
0.36339,0.12183,0.12178,0.57672,0.60583,0.6062,0.42336,0.57531,0.57478,0.66819,3
