@relation nonstat_data_14-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute class {0,1,2,3,4,5,6,7,8}

@data
0.85892,0.26068,0.66829,0.7162,0.40317,3
0.85557,0.26347,0.66992,0.71655,0.407,3
0.8566,0.25864,0.66872,0.71349,0.40276,3
0.61554,0.61534,0.18952,0.66374,0.87717,7
0.51464,0.49305,0.43467,0.4012,0.62822,4
0.28178,0.43191,0.88006,0.54973,0.18591,5
0.85916,0.25958,0.67095,0.71695,0.40266,3
0.051216,0.31433,0.45758,0.074439,0.073578,6
0.69223,0.66431,0.23699,0.30814,0.8607,1
0.86062,0.26443,0.66466,0.71347,0.40341,3
0.85943,0.26077,0.66848,0.7123,0.40403,3
0.85925,0.26312,0.66418,0.71635,0.40315,3
0.6116,0.62362,0.18507,0.67724,0.88295,7
0.28314,0.42303,0.88208,0.55371,0.18542,5
0.85901,0.26082,0.66908,0.71607,0.4032,3
0.50842,0.48864,0.42198,0.37534,0.62627,4
0.68902,0.66915,0.23309,0.31162,0.86032,1
0.056559,0.31471,0.46148,0.073091,0.075433,6
0.86041,0.26022,0.66546,0.71716,0.40304,3
0.85599,0.26029,0.66874,0.71586,0.40262,3
0.61644,0.62259,0.1868,0.67037,0.88229,7
0.85658,0.25869,0.67004,0.71118,0.40684,3
0.28153,0.42745,0.87899,0.54333,0.18646,5
0.85937,0.26437,0.6689,0.7132,0.40765,3
0.53433,0.50045,0.42336,0.38007,0.62395,4
0.85928,0.26317,0.66964,0.71228,0.4084,3
0.68918,0.66757,0.23673,0.30879,0.85989,1
0.054451,0.31613,0.46032,0.07489,0.072128,6
0.85888,0.25903,0.66387,0.71576,0.40782,3
0.61585,0.61708,0.18962,0.66822,0.87699,7
0.86011,0.26505,0.66875,0.71797,0.40395,3
0.27806,0.41954,0.87439,0.54386,0.18753,5
0.86063,0.25865,0.66818,0.71185,0.40696,3
0.5132,0.49854,0.42515,0.39528,0.61148,4
0.85898,0.26404,0.66967,0.71275,0.40412,3
0.69303,0.66439,0.23647,0.3118,0.85935,1
0.61703,0.61797,0.19595,0.67266,0.88714,7
0.052184,0.31935,0.45749,0.073871,0.072432,6
0.86071,0.26405,0.66813,0.71622,0.40386,3
0.29003,0.42464,0.873,0.54276,0.19313,5
0.85659,0.26354,0.66989,0.71284,0.40665,3
0.85978,0.26046,0.66547,0.71631,0.40377,3
0.61385,0.61659,0.18324,0.66481,0.87801,7
0.54061,0.49155,0.43349,0.3805,0.62992,4
0.85586,0.26349,0.66884,0.7133,0.40381,3
0.68872,0.66818,0.23676,0.31146,0.85991,1
0.053556,0.31583,0.45806,0.075013,0.073636,6
0.85317,0.25974,0.66854,0.71664,0.40242,3
0.28801,0.43097,0.88244,0.54764,0.18398,5
0.85911,0.26377,0.66504,0.71724,0.40384,3
0.61763,0.61575,0.18572,0.66815,0.87958,7
