@relation nonstat_data_15-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.90653,0.24006,0.025551,0.716,0.88183,0.78514,0.57335,7
0.44679,0.75626,0.64404,0.16842,0.38268,0.21413,0.1448,4
0.90609,0.23872,0.025076,0.71597,0.88258,0.7858,0.57305,7
0.21501,0.62051,0.16786,0.81117,0.049396,0.59852,0.69238,1
0.90696,0.23886,0.025836,0.71632,0.8804,0.78464,0.57397,7
0.16358,0.97881,0.3121,0.10139,0.74284,0.59241,0.21,10
0.45023,0.74785,0.64695,0.1639,0.37975,0.21332,0.1462,4
0.9066,0.23998,0.026709,0.71799,0.88024,0.78501,0.57406,7
0.92962,0.90597,0.31208,0.86056,0.97658,0.57281,0.8581,3
0.44965,0.75716,0.63847,0.16988,0.37812,0.20935,0.14328,4
0.90769,0.23924,0.024944,0.71608,0.88035,0.78491,0.57357,7
0.90585,0.23916,0.025266,0.71655,0.88133,0.78463,0.5732,7
0.45193,0.75698,0.64249,0.16287,0.37628,0.21379,0.13612,4
0.21486,0.62096,0.16691,0.81042,0.050423,0.59786,0.69177,1
0.45156,0.75917,0.64425,0.16712,0.38681,0.21827,0.14133,4
0.90762,0.23973,0.025397,0.71708,0.8801,0.7852,0.57389,7
0.18612,0.96615,0.29293,0.088074,0.72233,0.5735,0.18025,10
0.92955,0.90647,0.31243,0.85871,0.97689,0.57245,0.8576,3
0.45317,0.75633,0.64415,0.17148,0.38162,0.21335,0.14614,4
0.21571,0.6208,0.16722,0.8111,0.049639,0.59683,0.69139,1
0.90594,0.23968,0.024915,0.71627,0.88087,0.78452,0.57467,7
0.45022,0.75513,0.63542,0.16915,0.38534,0.21663,0.14487,4
0.90706,0.2391,0.024752,0.71602,0.88198,0.78457,0.57292,7
0.16765,0.97852,0.30108,0.089928,0.75012,0.5922,0.22025,10
0.21611,0.62061,0.16675,0.81233,0.049032,0.59808,0.69193,1
0.45129,0.74486,0.63887,0.16491,0.38366,0.21444,0.14334,4
0.90798,0.23933,0.02434,0.71581,0.8803,0.78475,0.57308,7
0.92878,0.90754,0.31351,0.85937,0.97681,0.57243,0.85774,3
0.45004,0.75522,0.63737,0.16607,0.37544,0.21162,0.14078,4
0.90638,0.23913,0.02493,0.7161,0.88046,0.78562,0.57392,7
0.45424,0.75684,0.6353,0.16736,0.38027,0.21934,0.13811,4
0.90675,0.2391,0.026017,0.71635,0.88189,0.78479,0.57334,7
0.45807,0.76057,0.63866,0.17038,0.38554,0.21529,0.14226,4
0.2158,0.62106,0.16711,0.8104,0.049498,0.59669,0.69279,1
0.4553,0.74865,0.63872,0.16158,0.3784,0.21619,0.14052,4
0.909,0.23972,0.024639,0.7176,0.88044,0.78478,0.57362,7
0.16998,0.9843,0.30821,0.095312,0.73654,0.59361,0.21375,10
0.9291,0.90643,0.31132,0.86036,0.97832,0.57308,0.85778,3
0.45112,0.75429,0.63301,0.1609,0.38098,0.21079,0.14242,4
0.90708,0.23906,0.025295,0.71602,0.88054,0.78499,0.57364,7
0.90683,0.24109,0.024562,0.71677,0.88084,0.78511,0.57389,7
0.090989,0.73896,0.58489,0.85082,0.90076,0.43727,0.060925,0
0.21561,0.62019,0.16691,0.81088,0.048939,0.59683,0.69161,1
0.44749,0.75492,0.6408,0.16946,0.3831,0.21425,0.14475,4
0.90546,0.23894,0.024104,0.71525,0.88108,0.78527,0.57373,7
0.17405,0.96741,0.30471,0.11359,0.73749,0.58974,0.2215,10
0.92881,0.90569,0.31115,0.85932,0.97678,0.57202,0.85824,3
0.90799,0.24072,0.025072,0.71855,0.88041,0.78433,0.57348,7
0.21661,0.62051,0.1669,0.81207,0.04997,0.59726,0.69182,1
0.45269,0.7533,0.64611,0.16144,0.38171,0.22028,0.13776,4
0.90746,0.24084,0.024503,0.71619,0.88053,0.78449,0.57296,7
0.45336,0.75836,0.64069,0.16218,0.37785,0.21808,0.14118,4
0.45725,0.76075,0.64132,0.16721,0.38329,0.21153,0.1411,4
0.44735,0.75109,0.64044,0.17316,0.38409,0.20817,0.14358,4
0.21477,0.62052,0.16716,0.81063,0.04896,0.59871,0.69177,1
0.90797,0.23963,0.026255,0.71632,0.88061,0.78472,0.57347,7
0.16341,0.98075,0.30735,0.10297,0.73454,0.60004,0.21893,10
0.92904,0.90594,0.31177,0.85887,0.97757,0.57305,0.85867,3
0.90676,0.24038,0.025063,0.71672,0.88164,0.78504,0.57402,7
0.45032,0.7526,0.6438,0.16882,0.37984,0.21207,0.14363,4
0.90676,0.23945,0.024568,0.71574,0.88108,0.78479,0.57385,7
0.21505,0.62035,0.16779,0.8115,0.050162,0.59783,0.6928,1
0.45429,0.75803,0.63491,0.16696,0.37911,0.219,0.14211,4
0.9073,0.24065,0.026445,0.71668,0.88084,0.78466,0.57399,7
0.15915,0.97026,0.31507,0.094024,0.7456,0.59379,0.21307,10
0.90702,0.24145,0.024986,0.71574,0.88062,0.78484,0.57353,7
0.4545,0.76064,0.6374,0.17111,0.38731,0.21265,0.13246,4
0.92938,0.90698,0.31372,0.85856,0.9781,0.57202,0.85821,3
0.45813,0.75762,0.63595,0.16778,0.37229,0.20938,0.13727,4
0.21529,0.62094,0.16765,0.8112,0.050023,0.59606,0.69313,1
