@relation nonstat_data_16-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute class {0,1,2,3,4,5,6,7,8}

@data
0.89579,0.44844,0.20166,0.15852,0.8009,0.69441,0.37913,0.069864,0.18072,3
0.30834,0.26502,0.17579,0.55706,0.33403,0.13465,0.20239,0.68784,0.17817,4
0.42544,0.38034,0.74109,0.40289,0.38124,0.91352,0.77864,0.79946,0.11382,5
0.89552,0.44664,0.20332,0.15847,0.80005,0.69288,0.38173,0.068253,0.17914,3
0.31206,0.26667,0.17763,0.55375,0.33394,0.13116,0.20532,0.68876,0.17824,4
0.42439,0.3787,0.73845,0.40251,0.38069,0.91133,0.7805,0.80091,0.11315,5
0.33318,0.11141,0.68746,0.26599,0.53414,0.20139,0.75372,0.62566,0.9321,8
0.8973,0.446,0.20517,0.15979,0.80008,0.69419,0.38021,0.069102,0.18126,3
0.30892,0.26731,0.17805,0.55451,0.33374,0.13221,0.20077,0.68915,0.17782,4
0.42387,0.38187,0.73833,0.40268,0.38224,0.91239,0.77883,0.80097,0.11405,5
0.7592,0.23605,0.78446,0.2072,0.60517,0.7018,0.18743,0.092155,0.30883,7
0.89489,0.44836,0.20294,0.15733,0.80108,0.69361,0.38158,0.06942,0.18057,3
0.31016,0.2715,0.17744,0.55398,0.33142,0.13521,0.20412,0.6866,0.17581,4
0.57919,0.1806,0.51378,0.026119,0.24584,0.38041,0.84842,0.62566,0.13485,1
0.42402,0.38147,0.74084,0.40359,0.38058,0.91255,0.77828,0.79977,0.11667,5
0.89559,0.4479,0.20294,0.15758,0.80231,0.69573,0.38224,0.070018,0.17879,3
0.31048,0.26517,0.17662,0.55874,0.33242,0.13403,0.20062,0.68601,0.17925,4
0.42407,0.37844,0.74004,0.404,0.38142,0.91122,0.77999,0.80013,0.11381,5
0.33302,0.11006,0.68714,0.26717,0.53244,0.2004,0.75507,0.62396,0.93337,8
0.89599,0.44562,0.20173,0.15897,0.80063,0.69292,0.38099,0.069843,0.17886,3
0.31003,0.26592,0.1768,0.55512,0.32924,0.13481,0.20004,0.68639,0.17656,4
0.74474,0.24673,0.78667,0.19515,0.59118,0.71147,0.193,0.089101,0.30879,7
0.42422,0.38178,0.73857,0.40336,0.38095,0.9134,0.77857,0.80035,0.11242,5
0.89547,0.44622,0.20185,0.1572,0.80002,0.69368,0.37844,0.068673,0.17906,3
0.30923,0.26819,0.18129,0.55551,0.33064,0.13154,0.19991,0.68678,0.1805,4
0.42413,0.3787,0.74137,0.40246,0.38095,0.91222,0.77912,0.8001,0.11353,5
0.89611,0.44641,0.20333,0.15747,0.8034,0.69349,0.38019,0.071693,0.17948,3
0.30723,0.27028,0.18095,0.55181,0.33321,0.13252,0.19568,0.68857,0.17662,4
0.57988,0.18032,0.51466,0.026216,0.24524,0.38199,0.84658,0.62412,0.13548,1
0.42561,0.38031,0.73889,0.40344,0.38015,0.91064,0.77942,0.80115,0.11297,5
0.89511,0.44688,0.20159,0.15845,0.80086,0.69389,0.38117,0.068364,0.17953,3
0.3083,0.26534,0.17635,0.55859,0.33503,0.13813,0.19916,0.68758,0.17855,4
0.33267,0.10985,0.68975,0.26868,0.5342,0.20021,0.75499,0.62533,0.93229,8
0.75407,0.24347,0.78262,0.2015,0.60507,0.70828,0.19782,0.082827,0.31474,7
0.89537,0.44675,0.20179,0.15757,0.80006,0.69271,0.37868,0.068645,0.17908,3
0.42577,0.37951,0.74077,0.40316,0.38372,0.91177,0.77837,0.80228,0.11333,5
0.31009,0.26549,0.17566,0.55823,0.32694,0.13444,0.19735,0.68532,0.17417,4
0.89483,0.4463,0.20214,0.15783,0.80087,0.69555,0.37892,0.068137,0.17865,3
0.42434,0.37933,0.73707,0.40279,0.3826,0.91276,0.77874,0.80169,0.11374,5
0.3103,0.26879,0.18066,0.55561,0.332,0.13183,0.20039,0.68864,0.17868,4
0.8948,0.44692,0.20224,0.15738,0.80045,0.69346,0.37916,0.069835,0.18091,3
0.42371,0.37903,0.73709,0.40402,0.38121,0.911,0.7784,0.80039,0.11252,5
0.33484,0.11042,0.68592,0.26725,0.53474,0.20141,0.75534,0.62575,0.93381,8
0.30963,0.26841,0.17934,0.55508,0.33217,0.13322,0.20076,0.68679,0.17685,4
0.89597,0.44745,0.20166,0.15893,0.80203,0.69671,0.37873,0.068634,0.17868,3
0.7541,0.24063,0.78053,0.18214,0.59871,0.71889,0.19854,0.079186,0.32461,7
0.58052,0.18483,0.51429,0.026754,0.24772,0.37905,0.84943,0.62622,0.13544,1
0.42601,0.37897,0.73983,0.40319,0.38085,0.91368,0.77845,0.80068,0.11349,5
0.30926,0.26626,0.18141,0.55072,0.32642,0.12259,0.20047,0.68123,0.18757,4
0.89472,0.44585,0.20448,0.15879,0.80077,0.69376,0.38013,0.068295,0.17914,3
0.3177,0.27377,0.17228,0.55743,0.32839,0.13191,0.19992,0.68174,0.18281,4
0.42466,0.37849,0.7394,0.40279,0.38228,0.91077,0.77896,0.80051,0.11373,5
0.89555,0.44684,0.20216,0.1593,0.8012,0.69323,0.37906,0.06823,0.17945,3
0.33511,0.10958,0.68774,0.26807,0.53476,0.20012,0.75603,0.62282,0.93299,8
0.31958,0.2664,0.16941,0.5496,0.34023,0.13009,0.19595,0.68431,0.18209,4
0.42361,0.38026,0.73778,0.40214,0.38102,0.91173,0.77911,0.79993,0.11264,5
0.89538,0.44685,0.20307,0.15721,0.80199,0.69241,0.37857,0.068509,0.17932,3
0.76116,0.25297,0.77328,0.2099,0.59591,0.72276,0.20902,0.10338,0.31322,7
0.077686,0.17054,0.53202,0.83146,0.16223,0.64214,0.040694,0.99643,0.89245,0
0.31466,0.26568,0.17501,0.55324,0.33312,0.13379,0.1985,0.68502,0.17142,4
0.42719,0.37883,0.73845,0.40226,0.38195,0.91247,0.77936,0.8013,0.1156,5
0.89581,0.44846,0.20391,0.15709,0.80098,0.69524,0.38014,0.06987,0.18002,3
0.31124,0.27635,0.18754,0.5625,0.32856,0.12907,0.20163,0.68795,0.17454,4
0.57976,0.17964,0.51481,0.025371,0.24504,0.3813,0.84717,0.62528,0.13514,1
0.895,0.44578,0.20114,0.15883,0.7998,0.69314,0.37914,0.068566,0.17891,3
0.42331,0.37904,0.73852,0.40261,0.38236,0.91145,0.77875,0.80038,0.11358,5
0.31004,0.2652,0.17718,0.55378,0.33174,0.13262,0.20055,0.68956,0.18102,4
0.33396,0.10988,0.68743,0.26653,0.53393,0.20006,0.7567,0.62277,0.9342,8
0.89563,0.4474,0.20208,0.158,0.80175,0.69285,0.38018,0.067765,0.17973,3
0.75059,0.24156,0.78179,0.21455,0.60327,0.72034,0.19767,0.09392,0.29142,7
0.42374,0.37951,0.73866,0.4035,0.38026,0.91163,0.77879,0.80031,0.11308,5
0.31068,0.26506,0.17892,0.55434,0.33379,0.13156,0.20309,0.68928,0.17861,4
0.89448,0.4474,0.20137,0.15815,0.80066,0.6918,0.38075,0.068559,0.18011,3
0.42348,0.37943,0.74286,0.40264,0.3822,0.91087,0.77936,0.80097,0.11395,5
0.30822,0.26686,0.17426,0.55025,0.33753,0.13415,0.19888,0.68522,0.17995,4
0.89556,0.4455,0.20413,0.15947,0.80056,0.69501,0.38087,0.070179,0.18053,3
0.31146,0.26682,0.17728,0.55456,0.33083,0.13375,0.20252,0.68736,0.17708,4
0.4258,0.38103,0.73824,0.40343,0.38163,0.911,0.7789,0.80047,0.11624,5
0.33257,0.10998,0.6883,0.26935,0.53646,0.19817,0.75622,0.62281,0.93405,8
0.89346,0.44672,0.20389,0.1579,0.80045,0.69576,0.38008,0.068461,0.1791,3
0.57925,0.1815,0.51397,0.025335,0.24596,0.37808,0.84704,0.62616,0.13573,1
0.31456,0.26584,0.1828,0.5545,0.32856,0.1359,0.20003,0.68758,0.18085,4
0.42406,0.37847,0.73903,0.40535,0.38342,0.91107,0.77834,0.8019,0.11581,5
0.75332,0.24768,0.78139,0.1973,0.59832,0.71744,0.20321,0.078851,0.31294,7
0.89531,0.44629,0.20487,0.15939,0.80205,0.69323,0.37947,0.069677,0.18075,3
0.31099,0.26619,0.17807,0.55576,0.33303,0.13331,0.2009,0.68841,0.17782,4
0.42496,0.3796,0.73906,0.4023,0.38232,0.91278,0.77907,0.79939,0.11498,5
0.89289,0.44771,0.20283,0.15925,0.80058,0.69257,0.3825,0.069144,0.17978,3
0.33247,0.1102,0.68648,0.26571,0.53219,0.1997,0.7559,0.6254,0.93497,8
0.31026,0.26643,0.17755,0.55474,0.33333,0.13252,0.20131,0.6896,0.17812,4
0.42351,0.38127,0.74119,0.40248,0.37997,0.91156,0.77988,0.80066,0.11419,5
0.89598,0.44843,0.20297,0.15786,0.80031,0.69308,0.38028,0.067873,0.1787,3
0.89783,0.44722,0.20204,0.15726,0.80123,0.69449,0.38226,0.068371,0.17952,3
0.31377,0.2653,0.17113,0.56316,0.3279,0.1291,0.20252,0.68819,0.17688,4
0.42417,0.37996,0.73855,0.40258,0.38013,0.91139,0.77869,0.79978,0.11339,5
0.75194,0.25031,0.78283,0.1983,0.59543,0.71514,0.19634,0.092537,0.3151,7
0.58007,0.18327,0.51478,0.025934,0.24494,0.37978,0.84594,0.62686,0.13539,1
0.89371,0.44659,0.20291,0.15914,0.80163,0.69333,0.37937,0.068799,0.18041,3
0.3086,0.2654,0.17727,0.55651,0.33541,0.13257,0.1995,0.68899,0.17811,4
0.42388,0.37816,0.73869,0.40388,0.38331,0.91089,0.77987,0.80067,0.11332,5
0.33419,0.10928,0.6875,0.26788,0.53453,0.19977,0.7567,0.62476,0.93502,8
0.89614,0.44641,0.20082,0.15776,0.8011,0.69417,0.37859,0.070574,0.17974,3
0.30785,0.2666,0.175,0.55523,0.33679,0.13698,0.19443,0.69379,0.18291,4
0.42417,0.38023,0.73787,0.40528,0.3819,0.91108,0.77891,0.80094,0.11561,5
