@relation nonstat_data_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute class {0,1,2}

@data
0.10485,0.55024,0.69711,1
0.10476,0.55119,0.69726,1
0.10292,0.55358,0.69817,1
0.10356,0.55366,0.69852,1
0.10508,0.55284,0.69828,1
0.10649,0.5511,0.69881,1
0.10375,0.55358,0.69834,1
0.10485,0.55207,0.69711,1
0.10479,0.55335,0.69896,1
0.10509,0.55208,0.69831,1
0.10466,0.55211,0.69886,1
0.10398,0.55271,0.70042,1
0.10445,0.55166,0.69733,1
0.10514,0.55293,0.69893,1
0.10447,0.55239,0.69935,1
0.10414,0.55387,0.69789,1
0.10411,0.55197,0.69832,1
0.10462,0.55201,0.69806,1
0.10456,0.55469,0.69623,1
0.10235,0.55109,0.69837,1
0.10423,0.55274,0.69885,1
0.10222,0.552,0.69708,1
0.041578,0.11362,0.30009,0
0.10458,0.55196,0.69884,1
0.10465,0.55281,0.69798,1
0.10455,0.55122,0.69867,1
0.10461,0.55105,0.6975,1
0.10234,0.55174,0.69952,1
0.10394,0.552,0.6973,1
0.10557,0.5541,0.69833,1
0.10666,0.55197,0.69791,1
0.10375,0.55136,0.69877,1
0.10261,0.55121,0.69864,1
0.10607,0.55359,0.69986,1
0.10308,0.55346,0.69843,1
0.10239,0.55047,0.69931,1
0.10386,0.55302,0.69785,1
0.10293,0.55612,0.69774,1
0.10575,0.55378,0.69844,1
0.10437,0.55124,0.69863,1
0.10343,0.55159,0.69802,1
0.10334,0.5519,0.69745,1
0.10239,0.55364,0.69787,1
0.10419,0.55411,0.69958,1
0.10475,0.55293,0.69607,1
0.10339,0.55293,0.69723,1
0.10507,0.55229,0.69821,1
0.29069,0.80773,0.24219,0
0.10315,0.55081,0.69782,1
0.10399,0.55236,0.69892,1
0.10619,0.55327,0.69881,1
0.10568,0.55203,0.69675,1
0.10733,0.5505,0.70122,1
0.10355,0.55271,0.69981,1
0.104,0.5541,0.69662,1
0.10443,0.55199,0.69764,1
0.10342,0.55249,0.6984,1
0.10576,0.55388,0.69634,1
0.10473,0.55054,0.69871,1
0.10394,0.55294,0.69926,1
0.10225,0.5559,0.69858,1
0.10325,0.55224,0.69957,1
0.10474,0.55129,0.6978,1
0.10379,0.5529,0.69834,1
0.10299,0.554,0.6965,1
0.104,0.55124,0.69886,1
0.10483,0.55353,0.6988,1
0.10474,0.55367,0.69912,1
0.1054,0.55356,0.69951,1
0.10344,0.55303,0.69772,1
0.105,0.55073,0.69681,1
0.10555,0.55372,0.69793,1
0.10194,0.55341,0.70149,1
0.25367,0.35028,1.0765,0
0.10162,0.55127,0.69915,1
0.10624,0.5537,0.69754,1
0.10257,0.55172,0.69886,1
0.10282,0.54993,0.69581,1
0.10524,0.55262,0.69797,1
0.10328,0.55181,0.69784,1
0.1034,0.55294,0.69766,1
0.10452,0.55395,0.69803,1
0.10432,0.5531,0.69889,1
0.10601,0.55415,0.69957,1
0.10489,0.55371,0.6958,1
0.10421,0.55344,0.70072,1
0.10399,0.55297,0.69739,1
0.10405,0.55268,0.70008,1
0.1052,0.55276,0.69832,1
0.10591,0.54997,0.69881,1
0.10286,0.55424,0.69741,1
0.10607,0.55224,0.69932,1
0.10659,0.55438,0.69994,1
0.10408,0.55201,0.69833,1
0.10535,0.55095,0.69718,1
0.10637,0.55229,0.69632,1
0.10407,0.55259,0.69839,1
0.10352,0.55115,0.6976,1
0.10269,0.55268,0.69786,1
0.60036,0.34131,0.59928,0
0.10579,0.55242,0.69764,1
0.10405,0.55215,0.69704,1
0.10569,0.55268,0.69965,1
0.10319,0.55384,0.69841,1
0.10396,0.55263,0.69912,1
0.10359,0.55254,0.69683,1
0.10556,0.55007,0.69934,1
0.10354,0.54952,0.69592,1
0.10759,0.55042,0.69894,1
0.10513,0.55184,0.69948,1
0.10464,0.55055,0.69933,1
