@relation nonstat_data_20-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.93708,0.13486,0.58701,0.3422,0.19703,0.53775,0.46387,0.46397,0.46876,0.7994,0.27048,0.66977,0.67372,0.13167,0.14172,0.67457,0.87037,0.20213,0.53261,0.46687,0.40585,0.66387,0.72996,7
0.19964,0.66582,0.32892,0.26509,0.59998,0.66749,0.60167,0.60102,0.79752,0.32841,0.39905,0.93091,0.93546,0.064544,0.93657,0.86428,0.064533,0.72801,0.3993,0.20403,0.53773,0.071024,0.39613,3
0.93011,0.13506,0.59996,0.33405,0.19498,0.53916,0.46683,0.47266,0.46209,0.79584,0.26735,0.66447,0.66434,0.13215,0.13431,0.66414,0.86484,0.19801,0.53132,0.4672,0.3975,0.66845,0.7329,7
0.044486,0.82357,0.34878,0.78209,0.44979,0.18659,0.35428,0.75454,0.55708,0.96567,0.084033,0.8991,0.25219,0.8291,0.45077,0.94961,0.1557,0.75482,0.076134,0.28189,0.5727,0.74481,0.39159,10
0.94049,0.12343,0.60536,0.33221,0.20135,0.52487,0.46398,0.47446,0.4607,0.79938,0.2643,0.66517,0.67473,0.13938,0.14071,0.66657,0.86454,0.20139,0.53146,0.46132,0.40464,0.66732,0.7478,7
0.07737,0.83289,0.32017,0.8135,0.47049,0.19045,0.30537,0.72001,0.52214,0.95878,0.090341,0.89405,0.24037,0.82459,0.45497,0.9199,0.14644,0.74969,0.075693,0.24919,0.57089,0.70725,0.39658,10
0.19545,0.66581,0.3415,0.26839,0.60074,0.66175,0.60184,0.59376,0.8012,0.33261,0.39435,0.93637,0.92403,0.065114,0.93942,0.86196,0.066857,0.73445,0.39304,0.19814,0.53034,0.068238,0.39888,3
0.93389,0.13307,0.59912,0.33287,0.20007,0.53414,0.46579,0.46817,0.4665,0.79751,0.26714,0.66588,0.66676,0.13187,0.13314,0.66639,0.86715,0.2,0.53346,0.46763,0.40068,0.66609,0.73344,7
0.20064,0.53109,0.53321,0.93281,0.46587,0.86546,0.40037,0.46652,0.066664,0.065811,0.5306,0.2654,0.66436,0.46749,0.33467,0.86762,0.60089,0.73511,0.53345,0.53282,0.73353,0.73377,0.79962,1
0.079442,0.55331,0.80678,0.18902,0.79632,0.15541,0.45186,0.49118,0.36473,0.73291,0.60572,0.10426,0.18062,0.68999,0.35728,0.54065,0.75365,0.18049,0.21573,0.58178,0.73576,0.68184,0.52858,4
0.083922,0.83959,0.35782,0.81671,0.44655,0.18653,0.34839,0.75398,0.5551,0.95968,0.038363,0.90678,0.24306,0.82302,0.48562,0.91268,0.114,0.7528,0.042194,0.25428,0.61816,0.70862,0.42269,10
0.19923,0.66773,0.3321,0.26653,0.60045,0.67262,0.60713,0.59927,0.79979,0.33547,0.40104,0.9358,0.92985,0.066151,0.93696,0.86543,0.066459,0.73386,0.40234,0.19837,0.53566,0.063443,0.39833,3
0.93295,0.13432,0.59863,0.33736,0.19605,0.53059,0.46877,0.46846,0.46296,0.79679,0.26388,0.66861,0.66621,0.12771,0.13257,0.66841,0.86978,0.20071,0.53114,0.46762,0.39946,0.66464,0.73335,7
0.62331,0.63177,0.074613,0.82946,0.59747,0.78462,0.47192,0.47099,0.94652,0.76044,0.1659,0.41828,0.43602,0.5846,0.22314,0.55889,0.45074,0.76242,0.5174,0.71471,0.56578,0.86956,0.63946,6
0.12674,0.33348,0.40223,0.26428,0.47228,0.38737,0.73529,0.60955,0.26355,0.064212,0.73351,0.86515,0.60861,0.26382,0.85729,0.52265,0.33678,0.2736,0.26442,0.26506,0.080314,0.20624,0.52139,5
0.079466,0.79835,0.35555,0.82044,0.47273,0.21495,0.3552,0.72773,0.50672,0.95453,0.04805,0.86317,0.28523,0.78408,0.49343,0.96089,0.11574,0.72747,0.056767,0.27306,0.60952,0.71303,0.39205,10
0.20426,0.66988,0.33131,0.26817,0.60296,0.66564,0.59645,0.60541,0.80221,0.33746,0.39829,0.9348,0.92933,0.064799,0.93775,0.8626,0.068286,0.73248,0.39976,0.20738,0.53584,0.065691,0.40067,3
0.93438,0.13142,0.59798,0.33357,0.19892,0.5346,0.46542,0.4687,0.46653,0.7993,0.26692,0.66774,0.66664,0.13244,0.13463,0.66669,0.86854,0.2016,0.53356,0.46692,0.39898,0.66502,0.72957,7
0.085091,0.77916,0.34939,0.78888,0.48527,0.21308,0.32248,0.72941,0.5222,0.91944,0.052452,0.88989,0.27805,0.81084,0.47624,0.94608,0.15214,0.72786,0.055941,0.27466,0.57331,0.73561,0.39908,10
0.20064,0.67316,0.33256,0.26287,0.60154,0.66478,0.59477,0.60274,0.79952,0.33262,0.39475,0.93234,0.93106,0.065274,0.93163,0.87036,0.064815,0.72805,0.40117,0.20098,0.53766,0.065833,0.39739,3
0.081069,0.51362,0.80829,0.21497,0.82504,0.14894,0.44648,0.43393,0.32129,0.72515,0.57334,0.14565,0.21047,0.65752,0.34796,0.5015,0.72438,0.18177,0.1759,0.614,0.73814,0.70726,0.55948,4
0.051608,0.83251,0.3142,0.78151,0.48542,0.18614,0.31427,0.72677,0.52727,0.92076,0.045098,0.88762,0.29087,0.77494,0.45664,0.94529,0.14882,0.72721,0.053991,0.25261,0.56974,0.70361,0.39173,10
0.2078,0.66923,0.33314,0.26207,0.595,0.67261,0.60922,0.61069,0.79364,0.33277,0.4064,0.93701,0.92651,0.063178,0.93517,0.86434,0.074704,0.73896,0.39075,0.19986,0.53045,0.067856,0.40688,3
0.19982,0.53028,0.53406,0.93303,0.46659,0.86567,0.3988,0.46616,0.066873,0.066135,0.53085,0.26706,0.66399,0.46801,0.33352,0.86822,0.60018,0.73457,0.53309,0.53313,0.73241,0.73298,0.801,1
0.93349,0.1339,0.59906,0.33411,0.20055,0.53365,0.46619,0.46913,0.4661,0.79761,0.26748,0.66599,0.66731,0.13328,0.13357,0.66648,0.86749,0.19916,0.53286,0.46753,0.40148,0.66721,0.7327,7
0.64054,0.67511,0.078811,0.80864,0.60363,0.82502,0.45228,0.43984,0.91941,0.73698,0.1246,0.39895,0.47052,0.60979,0.21833,0.52704,0.47899,0.81724,0.51573,0.73664,0.55249,0.87775,0.63592,6
0.13253,0.3315,0.39782,0.26622,0.46601,0.39717,0.73138,0.6011,0.26371,0.067247,0.73355,0.86757,0.60059,0.26656,0.86418,0.53318,0.33051,0.2687,0.2659,0.2681,0.065778,0.19964,0.53593,5
0.054592,0.82787,0.31632,0.7894,0.49247,0.21779,0.3204,0.71877,0.54644,0.95767,0.049414,0.88973,0.28409,0.77882,0.47927,0.94843,0.15947,0.74996,0.054231,0.28567,0.58076,0.74266,0.3866,10
0.20124,0.6672,0.33544,0.26882,0.5983,0.66448,0.5986,0.59962,0.79871,0.3307,0.39945,0.93229,0.93114,0.067799,0.94012,0.86901,0.070312,0.732,0.39759,0.20314,0.5362,0.067384,0.40036,3
0.058009,0.79842,0.31596,0.7858,0.47217,0.17716,0.34874,0.75375,0.54859,0.93416,0.042758,0.86369,0.25351,0.8217,0.48358,0.91386,0.11872,0.7564,0.093637,0.25484,0.60231,0.7081,0.42437,10
0.93416,0.13366,0.59861,0.33476,0.19965,0.53345,0.46578,0.46924,0.46684,0.79801,0.26659,0.6645,0.66608,0.13305,0.13438,0.66606,0.8681,0.19954,0.53396,0.46786,0.40032,0.66713,0.73419,7
0.2079,0.66096,0.3271,0.2681,0.60497,0.66684,0.60252,0.59661,0.79938,0.33349,0.39525,0.93575,0.92952,0.058299,0.93843,0.86143,0.055203,0.73581,0.40198,0.19188,0.5308,0.061892,0.40245,3
0.043327,0.55505,0.81104,0.18368,0.8024,0.12036,0.45396,0.42553,0.32416,0.76258,0.59957,0.12123,0.22378,0.65395,0.35513,0.51599,0.7155,0.21168,0.21305,0.58118,0.70997,0.68926,0.55389,4
0.20126,0.53098,0.53331,0.93251,0.4669,0.86671,0.40124,0.46769,0.067146,0.066785,0.53099,0.26686,0.66438,0.46676,0.33361,0.86873,0.60012,0.7344,0.53391,0.53343,0.73226,0.73243,0.80159,1
0.094741,0.77567,0.34861,0.7821,0.44651,0.21241,0.35587,0.74803,0.52488,0.95419,0.049373,0.86976,0.27896,0.81532,0.47574,0.91979,0.090214,0.7211,0.080688,0.27332,0.57546,0.69425,0.39978,10
0.93109,0.13184,0.60137,0.33318,0.19815,0.52855,0.46355,0.46996,0.46697,0.79736,0.26488,0.66802,0.67026,0.13152,0.13484,0.66954,0.86629,0.20092,0.53155,0.46326,0.40363,0.66279,0.73067,7
0.19672,0.66579,0.3328,0.26733,0.59957,0.66519,0.60219,0.59918,0.79847,0.33709,0.39834,0.93159,0.92875,0.06601,0.93699,0.86583,0.064772,0.73343,0.39996,0.19994,0.53474,0.067005,0.40128,3
0.63064,0.64402,0.052898,0.78924,0.60607,0.81438,0.45099,0.44629,0.92249,0.73222,0.16029,0.43245,0.46963,0.57616,0.22002,0.55556,0.49282,0.79715,0.55796,0.75749,0.51418,0.89868,0.65006,6
0.046062,0.80084,0.30852,0.78749,0.44641,0.18994,0.36569,0.75339,0.55182,0.92695,0.057602,0.86504,0.27841,0.78158,0.48605,0.95077,0.1461,0.71829,0.052565,0.27582,0.60598,0.73837,0.42427,10
0.93308,0.1372,0.60296,0.33484,0.19781,0.53114,0.46254,0.46277,0.47095,0.79985,0.25831,0.66219,0.66562,0.13626,0.14031,0.66168,0.86505,0.19433,0.53689,0.46592,0.39207,0.67433,0.72986,7
0.13171,0.33509,0.39316,0.2652,0.46825,0.3956,0.73357,0.601,0.26134,0.067859,0.73015,0.86401,0.60318,0.26549,0.86559,0.54186,0.33525,0.27149,0.26683,0.26476,0.067097,0.20461,0.5288,5
0.2028,0.6639,0.33205,0.26977,0.60385,0.66396,0.60072,0.59515,0.79875,0.33172,0.39592,0.93101,0.92614,0.065644,0.935,0.86841,0.068068,0.73763,0.40675,0.20518,0.53598,0.072446,0.40187,3
0.077106,0.82374,0.31854,0.81227,0.48218,0.18203,0.34883,0.72301,0.5466,0.91599,0.083275,0.88934,0.28268,0.81735,0.4819,0.96496,0.12486,0.71869,0.083872,0.24071,0.55149,0.73827,0.38097,10
0.20469,0.66993,0.33925,0.26987,0.59721,0.67069,0.59889,0.59209,0.79279,0.33315,0.40159,0.93294,0.92569,0.066264,0.93087,0.87149,0.074066,0.73711,0.40171,0.19047,0.53911,0.071642,0.40128,3
0.93425,0.12749,0.59825,0.32974,0.20162,0.53453,0.46087,0.46439,0.46546,0.80429,0.2726,0.66236,0.66715,0.13765,0.13143,0.65841,0.86742,0.19241,0.53406,0.4658,0.3948,0.66864,0.73656,7
0.026952,0.52489,0.81059,0.18698,0.79352,0.12375,0.44651,0.48997,0.33111,0.76315,0.60676,0.14668,0.18592,0.64923,0.3219,0.5475,0.72484,0.1832,0.17806,0.61305,0.74317,0.6509,0.52148,4
0.07696,0.84173,0.31503,0.78522,0.44826,0.17913,0.31062,0.71392,0.54445,0.95494,0.055587,0.91348,0.27604,0.81396,0.44781,0.91182,0.14921,0.75455,0.056224,0.278,0.57296,0.73832,0.39427,10
0.20078,0.53155,0.53459,0.93354,0.46609,0.86647,0.40022,0.46761,0.066873,0.067175,0.53019,0.26567,0.66286,0.46651,0.33497,0.86773,0.59968,0.73466,0.53302,0.53279,0.73158,0.73347,0.79998,1
0.19708,0.6649,0.33727,0.26678,0.60092,0.66733,0.59737,0.59748,0.79078,0.33198,0.39305,0.92933,0.93565,0.065149,0.93296,0.86956,0.065846,0.73048,0.39957,0.20592,0.53859,0.068941,0.40127,3
0.93897,0.13619,0.59761,0.33415,0.20053,0.53691,0.46232,0.47022,0.46628,0.79759,0.26912,0.65976,0.66918,0.13158,0.13616,0.67144,0.86587,0.19762,0.53485,0.46691,0.40201,0.6687,0.73233,7
0.076113,0.80325,0.34217,0.81202,0.47005,0.18601,0.35156,0.71468,0.52405,0.95297,0.076955,0.90134,0.2547,0.83094,0.50029,0.91971,0.10446,0.75319,0.083375,0.24924,0.6047,0.75379,0.43522,10
0.59981,0.67993,0.049716,0.83506,0.57377,0.77898,0.4512,0.46763,0.91282,0.73532,0.14421,0.39149,0.47993,0.61763,0.22802,0.55939,0.45337,0.80349,0.51571,0.72972,0.55153,0.87428,0.64099,6
0.21878,0.66235,0.33512,0.27135,0.59561,0.66636,0.60625,0.59826,0.80541,0.33978,0.39195,0.91707,0.93682,0.065567,0.94378,0.87196,0.060233,0.72919,0.40392,0.1985,0.52685,0.059061,0.41037,3
0.13094,0.33414,0.4017,0.26566,0.47139,0.40084,0.73126,0.59785,0.26718,0.064342,0.72685,0.87071,0.59373,0.26709,0.86619,0.53265,0.3318,0.26474,0.264,0.26658,0.07238,0.19773,0.52736,5
0.078327,0.83575,0.34748,0.78178,0.46982,0.18326,0.32001,0.75063,0.55826,0.9194,0.094972,0.89563,0.25547,0.81112,0.43485,0.94772,0.125,0.78455,0.044165,0.27561,0.60324,0.73313,0.42466,10
0.93867,0.12455,0.60132,0.34549,0.19718,0.54296,0.46447,0.47368,0.46911,0.79113,0.26164,0.66846,0.67925,0.13366,0.13281,0.66175,0.86457,0.1993,0.52534,0.46047,0.40086,0.66732,0.73491,7
0.20626,0.66502,0.33466,0.2594,0.59504,0.67144,0.6014,0.60104,0.80715,0.32712,0.4074,0.93149,0.92531,0.073659,0.93732,0.86348,0.066048,0.74126,0.39993,0.19582,0.5367,0.06644,0.3961,3
0.053998,0.55193,0.77897,0.18194,0.82865,0.11923,0.45419,0.45756,0.32047,0.72546,0.57098,0.12045,0.20988,0.68597,0.32318,0.54409,0.72647,0.22105,0.18745,0.59239,0.74965,0.69104,0.52759,4
0.080958,0.82837,0.31438,0.80938,0.44801,0.23094,0.31267,0.72452,0.56285,0.96055,0.079857,0.89216,0.24659,0.78782,0.45039,0.94793,0.12268,0.75462,0.026535,0.24919,0.60065,0.70471,0.41872,10
0.20049,0.53122,0.53318,0.9323,0.46547,0.8666,0.39942,0.46846,0.067321,0.067403,0.5308,0.26561,0.66499,0.4665,0.33319,0.86883,0.60027,0.73481,0.53474,0.53419,0.73267,0.73309,0.80159,1
0.93315,0.13314,0.59947,0.33397,0.19995,0.5345,0.46581,0.46834,0.46681,0.79775,0.26691,0.66627,0.66687,0.13334,0.13364,0.66618,0.86716,0.20008,0.53337,0.46753,0.4008,0.66593,0.73294,7
0.20344,0.66321,0.33353,0.25853,0.60685,0.66484,0.59683,0.60164,0.78925,0.33753,0.39979,0.93936,0.92935,0.067094,0.93388,0.86785,0.063666,0.73685,0.40171,0.19926,0.53502,0.069332,0.39415,3
0.040468,0.82744,0.32094,0.81079,0.47583,0.19015,0.35089,0.72475,0.55343,0.93103,0.043409,0.86955,0.2796,0.80981,0.47851,0.94913,0.14412,0.75247,0.056266,0.24883,0.56594,0.73333,0.42816,10
0.31916,0.82464,0.12698,0.84437,0.67055,0.75231,0.26283,0.79323,0.5647,0.37644,0.075176,0.66475,0.48819,0.13408,0.14116,0.13354,0.2517,0.24199,0.65394,0.43267,0.14761,0.58095,0.6659,0
0.59854,0.68688,0.053409,0.80313,0.603,0.78247,0.47873,0.48077,0.94603,0.7374,0.15021,0.39304,0.4391,0.58442,0.21344,0.52776,0.47959,0.79552,0.50501,0.732,0.55922,0.84463,0.65871,6
0.93062,0.13348,0.59901,0.33646,0.19953,0.53485,0.47054,0.46848,0.46342,0.79963,0.2657,0.66728,0.6636,0.1325,0.13529,0.66557,0.86969,0.19668,0.5315,0.46945,0.39966,0.6663,0.73369,7
0.19872,0.6622,0.33942,0.27085,0.59653,0.67072,0.60188,0.59645,0.80236,0.33716,0.40532,0.93464,0.93139,0.066049,0.93913,0.86911,0.06993,0.72889,0.39675,0.19969,0.54291,0.071713,0.39827,3
0.090853,0.84399,0.30138,0.80982,0.47034,0.18961,0.37288,0.75285,0.54512,0.96255,0.079055,0.86279,0.28244,0.8175,0.47893,0.96447,0.15047,0.75063,0.054135,0.29091,0.62439,0.70813,0.37628,10
0.13345,0.33355,0.39988,0.26672,0.46753,0.39889,0.73274,0.60022,0.26581,0.066704,0.73181,0.86554,0.59905,0.2663,0.86647,0.53303,0.33308,0.2667,0.26692,0.26667,0.066663,0.20012,0.53326,5
0.078108,0.52233,0.78815,0.18442,0.82674,0.11565,0.45431,0.44782,0.3524,0.69943,0.56545,0.11871,0.18508,0.66186,0.34792,0.54864,0.75201,0.2143,0.24025,0.62002,0.70361,0.66399,0.5274,4
0.19908,0.53253,0.53434,0.93321,0.46704,0.86611,0.39999,0.46753,0.066309,0.068003,0.53074,0.26734,0.66461,0.46713,0.33381,0.86886,0.60004,0.73367,0.53269,0.53288,0.73299,0.73318,0.80082,1
0.2002,0.66711,0.33323,0.26642,0.60027,0.66581,0.59994,0.59966,0.79797,0.33347,0.39841,0.93077,0.93142,0.065109,0.93367,0.86794,0.067187,0.73218,0.39859,0.2007,0.53355,0.067119,0.39906,3
0.050436,0.8015,0.34055,0.81125,0.48693,0.1891,0.35158,0.72554,0.52221,0.95838,0.05021,0.8946,0.27829,0.80763,0.4545,0.92242,0.15824,0.75348,0.046105,0.29175,0.60052,0.74982,0.39021,10
0.93377,0.13342,0.59905,0.33418,0.19869,0.53407,0.4658,0.46835,0.46387,0.79727,0.26669,0.66589,0.6676,0.13323,0.13243,0.66637,0.86733,0.20113,0.53234,0.46691,0.39923,0.66581,0.73331,7
0.048755,0.84754,0.34895,0.80838,0.44765,0.1846,0.34788,0.75593,0.5582,0.96838,0.056214,0.89516,0.25591,0.78159,0.47822,0.90465,0.12042,0.7252,0.083764,0.23927,0.57071,0.74621,0.42724,10
0.19939,0.66722,0.33321,0.26718,0.59829,0.66597,0.59992,0.59952,0.79931,0.33238,0.40137,0.93133,0.931,0.066923,0.93467,0.86753,0.067141,0.73269,0.40025,0.19913,0.53437,0.065667,0.39957,3
0.93231,0.13275,0.60231,0.33439,0.1998,0.53733,0.46457,0.46893,0.46601,0.79694,0.26783,0.66563,0.66805,0.13004,0.1349,0.66462,0.86491,0.20032,0.53278,0.46687,0.39934,0.6658,0.73425,7
0.58976,0.65007,0.087459,0.83277,0.56602,0.78665,0.47252,0.43547,0.92283,0.72999,0.15578,0.42978,0.43833,0.58527,0.21399,0.56426,0.48235,0.75718,0.51054,0.73205,0.55085,0.8435,0.65545,6
