@relation nonstat_data_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute class {0,1,2,3}

@data
0.91531,0.58748,0.17799,0.31279,0.1747,0.91029,0.16008,0.18265,0.089889,0.9367,0.34044,0.76057,0.83612,0.59465,1
0.91626,0.57107,0.1751,0.32263,0.18085,0.92569,0.16059,0.17122,0.078538,0.91575,0.34286,0.75941,0.83669,0.59616,1
0.89591,0.59342,0.16184,0.35073,0.17641,0.90689,0.15723,0.17898,0.089423,0.91799,0.32199,0.77654,0.83283,0.58162,1
0.88742,0.57105,0.15516,0.32799,0.17669,0.92744,0.15787,0.17104,0.089475,0.91127,0.32327,0.76925,0.83727,0.59872,1
0.91236,0.57645,0.16131,0.34421,0.15217,0.92333,0.15979,0.17416,0.076328,0.91641,0.32855,0.77093,0.82068,0.59557,1
0.89606,0.57469,0.17356,0.34049,0.17368,0.93462,0.16005,0.15994,0.098449,0.91375,0.34054,0.73514,0.81835,0.58131,1
0.89671,0.58859,0.15938,0.31512,0.17583,0.9112,0.18085,0.17108,0.089868,0.91123,0.34218,0.74522,0.84426,0.58345,1
0.89777,0.57587,0.18865,0.33979,0.15064,0.90728,0.17342,0.17312,0.068054,0.93862,0.32243,0.75833,0.81961,0.59563,1
0.89769,0.59247,0.17376,0.32456,0.17816,0.90751,0.15038,0.14863,0.092224,0.94017,0.34526,0.7584,0.84399,0.58192,1
0.92244,0.57495,0.17807,0.32709,0.15886,0.90734,0.15104,0.17278,0.094799,0.91675,0.32924,0.75862,0.83275,0.57723,1
0.91205,0.56976,0.18064,0.34128,0.17759,0.90734,0.17346,0.17388,0.10095,0.91553,0.32786,0.73939,0.81881,0.58074,1
0.8932,0.59055,0.1569,0.34268,0.14977,0.92869,0.15833,0.15965,0.074947,0.93127,0.34536,0.74159,0.81888,0.60029,1
0.91576,0.57507,0.16201,0.32735,0.1555,0.9111,0.1546,0.15834,0.094839,0.94395,0.32295,0.74086,0.83406,0.59786,1
0.89509,0.59027,0.18117,0.34018,0.18322,0.90045,0.15251,0.15156,0.077252,0.934,0.34789,0.7406,0.83825,0.57608,1
0.91642,0.56447,0.15828,0.34582,0.15153,0.90663,0.1602,0.17191,0.077207,0.91854,0.34234,0.7445,0.81953,0.58303,1
0.9121,0.5919,0.15302,0.32145,0.18332,0.90766,0.15725,0.15557,0.073222,0.92025,0.3457,0.76076,0.83494,0.58375,1
0.8991,0.58876,0.16194,0.34178,0.16078,0.90114,0.17185,0.15912,0.063886,0.93707,0.32741,0.7583,0.83616,0.59983,1
0.89753,0.59855,0.15273,0.35271,0.15749,0.93077,0.17315,0.17723,0.07656,0.91889,0.34724,0.76167,0.83418,0.5759,1
0.91869,0.56004,0.16125,0.3166,0.17605,0.92588,0.15985,0.15983,0.078789,0.91648,0.3278,0.74333,0.81903,0.59951,1
0.91312,0.58788,0.16189,0.3463,0.18742,0.92594,0.1817,0.17836,0.097793,0.92038,0.32814,0.75998,0.81302,0.59538,1
0.91355,0.56863,0.17562,0.34143,0.15979,0.91174,0.17459,0.18123,0.066865,0.91464,0.34483,0.74241,0.83745,0.59788,1
0.91776,0.56756,0.16043,0.34745,0.15719,0.91106,0.17182,0.15618,0.070195,0.93335,0.34114,0.74503,0.83338,0.57536,1
0.90067,0.57584,0.17958,0.32629,0.15902,0.90755,0.18404,0.15786,0.091032,0.93875,0.32795,0.73487,0.81756,0.58282,1
