@relation nonstat_data_4-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute class {0,1,2,3,4}

@data
0.50112,0.74826,0.79041,0.49959,0.042147,0.83365,0.20761,0.16539,0.49986,0.20691,0.95883,3
0.49811,0.74921,0.78954,0.50631,0.042489,0.82266,0.21099,0.16892,0.50729,0.21457,0.95212,3
0.49916,0.74802,0.79098,0.49825,0.041802,0.83385,0.20813,0.16733,0.49892,0.20865,0.9571,3
0.33514,0.95683,0.88178,0.78827,0.46247,0.093262,0.48172,0.2021,0.29569,0.57736,0.65307,4
0.49718,0.75174,0.78373,0.50103,0.03566,0.83276,0.20933,0.16931,0.50614,0.20918,0.9568,3
0.20806,0.12899,0.91679,0.62394,0.37599,0.75076,0.58326,0.37428,0.58548,0.45709,0.3328,1
0.50895,0.74919,0.78037,0.49151,0.028296,0.82653,0.21758,0.15293,0.48257,0.19113,0.94832,3
0.49909,0.74871,0.78905,0.49811,0.04236,0.83402,0.20788,0.16725,0.50119,0.2083,0.958,3
0.50439,0.75526,0.79842,0.4893,0.047767,0.81728,0.21108,0.172,0.50401,0.20078,0.96249,3
0.5092,0.74672,0.79109,0.50159,0.035838,0.83435,0.20481,0.16144,0.49904,0.21157,0.95011,3
0.34092,0.96713,0.87683,0.79228,0.45955,0.077675,0.46417,0.20629,0.29755,0.58277,0.67673,4
0.20656,0.1238,0.91978,0.62497,0.3754,0.74711,0.58267,0.37861,0.58489,0.45718,0.33249,1
0.52438,0.73222,0.79308,0.48439,0.049059,0.85227,0.20047,0.16276,0.48676,0.22002,0.95197,3
0.50092,0.74895,0.78945,0.50037,0.0416,0.83819,0.20759,0.1687,0.49899,0.20921,0.95944,3
0.50393,0.75145,0.78611,0.50711,0.035115,0.83661,0.20371,0.17666,0.50476,0.1939,0.967,3
0.34449,0.95271,0.88558,0.79035,0.46613,0.097736,0.4572,0.2013,0.28387,0.57827,0.68143,4
0.50198,0.75077,0.79104,0.50047,0.04052,0.83786,0.20653,0.16348,0.5028,0.21061,0.9559,3
0.20282,0.12555,0.91896,0.61858,0.37096,0.74998,0.58792,0.37345,0.58486,0.45877,0.3294,1
0.5,0.74882,0.79071,0.49856,0.041747,0.8345,0.20785,0.16727,0.50034,0.20793,0.9577,3
0.32834,0.96043,0.87329,0.81782,0.43339,0.078407,0.45875,0.18828,0.2918,0.57249,0.65992,4
0.50071,0.7471,0.78629,0.49816,0.038838,0.83968,0.20622,0.16321,0.50086,0.20865,0.95774,3
0.50102,0.74854,0.78835,0.49578,0.047186,0.8396,0.21064,0.17256,0.49847,0.21121,0.95407,3
0.49767,0.74937,0.79168,0.49778,0.0428,0.83518,0.20532,0.1711,0.50076,0.20931,0.96302,3
0.21044,0.12414,0.91799,0.62328,0.37781,0.74868,0.57748,0.37536,0.58427,0.45651,0.33394,1
0.50305,0.75318,0.75464,0.52402,0.043718,0.82011,0.20631,0.18214,0.50161,0.17986,0.96259,3
0.34727,0.95772,0.89875,0.76411,0.44593,0.095535,0.47371,0.21401,0.26665,0.622,0.68862,4
0.50003,0.74872,0.79095,0.49905,0.04182,0.83449,0.20811,0.16736,0.50027,0.20766,0.95731,3
0.49839,0.75107,0.79053,0.4976,0.043661,0.83586,0.21015,0.16539,0.49989,0.20717,0.95564,3
0.50357,0.74483,0.79994,0.5028,0.041978,0.82553,0.20847,0.16849,0.51477,0.19875,0.96588,3
0.20721,0.12667,0.91522,0.62556,0.37637,0.74904,0.58604,0.37452,0.57998,0.45922,0.33429,1
0.48826,0.74552,0.76927,0.49958,0.027658,0.81625,0.19625,0.17901,0.50667,0.1951,0.96601,3
0.49764,0.75315,0.79022,0.50272,0.034086,0.83262,0.21252,0.17979,0.50911,0.20699,0.95296,3
0.33267,0.95775,0.88061,0.79558,0.45947,0.097266,0.45592,0.20817,0.31286,0.56505,0.65545,4
0.49998,0.74859,0.79114,0.4987,0.0415,0.83397,0.20803,0.16736,0.50088,0.20877,0.95794,3
0.50162,0.74993,0.78883,0.49838,0.042461,0.83314,0.20961,0.16593,0.49995,0.20852,0.95648,3
0.50228,0.75631,0.78844,0.523,0.028399,0.8541,0.21825,0.15888,0.517,0.201,0.94847,3
0.20909,0.12354,0.91838,0.62179,0.37589,0.74705,0.58166,0.37379,0.58252,0.45367,0.33501,1
0.49942,0.74611,0.79617,0.49917,0.040497,0.82997,0.20744,0.16399,0.50376,0.21223,0.95994,3
0.33771,0.96799,0.87114,0.79829,0.45913,0.080065,0.45882,0.21023,0.29161,0.58446,0.67817,4
0.48693,0.75536,0.79129,0.50227,0.048223,0.82539,0.20688,0.17383,0.49218,0.20834,0.97092,3
0.49657,0.74512,0.78524,0.49225,0.039569,0.84765,0.20315,0.16256,0.50665,0.21022,0.95485,3
0.50605,0.74103,0.78819,0.49818,0.04436,0.83229,0.2083,0.1691,0.50435,0.20927,0.9547,3
0.33212,0.97057,0.86649,0.79685,0.46523,0.093787,0.44817,0.20427,0.2932,0.58587,0.66806,4
0.20513,0.12718,0.91649,0.62818,0.37456,0.74689,0.58417,0.37405,0.583,0.45539,0.33621,1
0.50241,0.75054,0.7891,0.49864,0.055481,0.8245,0.20118,0.17279,0.4887,0.20695,0.95053,3
0.47696,0.76449,0.8061,0.48553,0.032441,0.84347,0.22955,0.16713,0.49715,0.19714,0.93297,3
0.49891,0.74874,0.79129,0.4991,0.040759,0.83276,0.20694,0.16756,0.50152,0.20769,0.95828,3
0.49956,0.75057,0.78957,0.49824,0.041569,0.83268,0.20599,0.16799,0.50236,0.20756,0.95701,3
0.20816,0.12318,0.91437,0.62597,0.37324,0.74969,0.58513,0.3696,0.5813,0.46172,0.33065,1
0.50664,0.75023,0.80593,0.49462,0.051985,0.8303,0.19894,0.16476,0.50077,0.21312,0.95861,3
0.49689,0.74421,0.79206,0.49254,0.036963,0.83034,0.20593,0.16965,0.50254,0.20549,0.94668,3
0.33491,0.96731,0.87248,0.79609,0.45862,0.083428,0.45572,0.21081,0.29252,0.58415,0.67571,4
0.50272,0.74822,0.79282,0.49624,0.03954,0.83571,0.206,0.16685,0.49848,0.2044,0.95845,3
0.50377,0.7555,0.78869,0.50189,0.04238,0.83141,0.21355,0.16656,0.50066,0.21185,0.95933,3
0.20578,0.12134,0.91749,0.62118,0.37586,0.74847,0.58154,0.37823,0.581,0.45621,0.33304,1
0.49873,0.74717,0.79179,0.49934,0.037759,0.83569,0.20996,0.1697,0.50012,0.20719,0.95545,3
0.35388,0.97746,0.84569,0.79853,0.45067,0.063565,0.45648,0.23046,0.27911,0.58874,0.68285,4
0.49016,0.71715,0.78241,0.47758,0.026347,0.84257,0.19118,0.15011,0.48674,0.20695,0.92288,3
0.49965,0.74932,0.7906,0.49816,0.041392,0.83346,0.21184,0.16691,0.50322,0.20808,0.958,3
0.50169,0.75356,0.79254,0.49958,0.0416,0.83777,0.21085,0.17297,0.4993,0.2049,0.957,3
0.50469,0.74841,0.79876,0.5059,0.038659,0.83683,0.20862,0.1735,0.50229,0.21511,0.95931,3
0.20656,0.12351,0.91683,0.62487,0.37318,0.74447,0.58452,0.37551,0.58314,0.45973,0.33215,1
0.33012,0.96152,0.88576,0.78467,0.45037,0.081799,0.45651,0.21691,0.28204,0.58896,0.66038,4
0.5007,0.75161,0.7918,0.49443,0.041536,0.83743,0.20821,0.17302,0.49803,0.20855,0.95397,3
0.49855,0.75196,0.78851,0.49238,0.041059,0.83549,0.20317,0.16064,0.5023,0.21262,0.95189,3
0.50262,0.74707,0.78893,0.49635,0.048565,0.82212,0.202,0.16671,0.5121,0.20517,0.96051,3
0.50298,0.75234,0.78818,0.49579,0.035324,0.83769,0.20146,0.16278,0.50166,0.2132,0.95719,3
0.50311,0.74856,0.79337,0.49597,0.03937,0.8347,0.21217,0.17184,0.50189,0.20259,0.9554,3
0.20704,0.12406,0.91591,0.62486,0.37303,0.7521,0.58461,0.37432,0.58353,0.45945,0.33724,1
0.33725,0.97823,0.86371,0.7979,0.45554,0.083389,0.45092,0.21177,0.29114,0.58862,0.67831,4
0.49773,0.75599,0.7987,0.50691,0.052767,0.84147,0.21956,0.16596,0.51614,0.20076,0.95632,3
0.51255,0.74869,0.79077,0.53998,0.024578,0.82646,0.22418,0.16646,0.48826,0.20364,0.9302,3
0.49842,0.74795,0.79123,0.49826,0.042731,0.83713,0.21337,0.16535,0.49829,0.20775,0.96062,3
0.20504,0.12796,0.91589,0.62589,0.36889,0.75101,0.57721,0.37797,0.57662,0.46144,0.33247,1
0.49744,0.75768,0.79502,0.51684,0.032111,0.84146,0.20739,0.17455,0.49137,0.21129,0.95465,3
0.32942,0.95079,0.84746,0.80659,0.45343,0.099066,0.45389,0.21954,0.29657,0.61098,0.69643,4
0.4973,0.75163,0.79239,0.49335,0.047813,0.84408,0.20952,0.1626,0.50323,0.21169,0.95712,3
0.48321,0.75983,0.78906,0.48851,0.024593,0.84936,0.20579,0.15284,0.48723,0.2097,0.96252,3
0.51926,0.7405,0.79201,0.47991,0.045616,0.84759,0.20817,0.18108,0.50838,0.21669,0.96082,3
0.50272,0.74571,0.7909,0.49552,0.036266,0.83256,0.20577,0.1624,0.50209,0.21271,0.96021,3
0.2075,0.12434,0.91443,0.62852,0.37072,0.74772,0.58628,0.37913,0.58104,0.45979,0.33367,1
0.49967,0.74477,0.7891,0.50459,0.038193,0.83715,0.21093,0.16208,0.50524,0.21052,0.95551,3
0.50005,0.74879,0.79074,0.49851,0.041745,0.83451,0.20784,0.16721,0.50036,0.20797,0.95765,3
0.33871,0.98959,0.86333,0.79483,0.49587,0.11614,0.45915,0.18928,0.30001,0.60621,0.7091,4
0.46845,0.74967,0.77516,0.50042,0.028286,0.82452,0.2351,0.17859,0.50263,0.21586,0.9598,3
0.49913,0.74995,0.78825,0.50047,0.040823,0.83547,0.2095,0.16917,0.49951,0.21119,0.95632,3
0.48913,0.7357,0.78418,0.48167,0.039298,0.84196,0.20814,0.16045,0.50267,0.21741,0.95073,3
0.21043,0.12562,0.91397,0.62323,0.37371,0.74692,0.5793,0.37513,0.58495,0.45704,0.33448,1
0.50938,0.73971,0.77898,0.50432,0.045499,0.82711,0.20445,0.16629,0.50458,0.19892,0.97434,3
0.32788,0.96943,0.8776,0.78388,0.43891,0.072738,0.45342,0.21466,0.29296,0.55546,0.67283,4
0.52128,0.75619,0.76796,0.5003,0.036693,0.81768,0.22907,0.17413,0.50762,0.19241,0.9628,3
0.096654,0.68555,0.44868,0.20684,0.54941,0.091698,0.44434,0.21118,0.76771,0.77552,0.67366,0
0.50556,0.74704,0.7968,0.4958,0.03358,0.83641,0.20311,0.16248,0.49098,0.20782,0.95762,3
0.5004,0.74758,0.79197,0.50227,0.040491,0.83487,0.20584,0.17058,0.50226,0.20594,0.95762,3
0.33652,0.97301,0.87512,0.79526,0.4623,0.079951,0.45514,0.21063,0.29252,0.58683,0.67603,4
0.21036,0.12409,0.91644,0.62616,0.37334,0.75165,0.58334,0.37372,0.58651,0.46117,0.32941,1
0.49716,0.75544,0.77661,0.48917,0.037455,0.84596,0.20444,0.16228,0.50208,0.19865,0.94807,3
0.51195,0.74722,0.78514,0.50163,0.034898,0.83276,0.20155,0.17335,0.49847,0.2116,0.95988,3
0.4885,0.7515,0.79311,0.48578,0.031589,0.82574,0.20566,0.1599,0.49746,0.21172,0.9455,3
0.50053,0.74931,0.79164,0.49987,0.040146,0.83559,0.2067,0.16769,0.50005,0.20696,0.95576,3
0.34901,0.96708,0.87694,0.79671,0.45321,0.075264,0.45802,0.2157,0.2912,0.58179,0.67205,4
0.20585,0.12415,0.91768,0.63286,0.37125,0.74831,0.58295,0.37793,0.58448,0.45882,0.33405,1
0.49138,0.74624,0.78458,0.49958,0.039504,0.84313,0.22128,0.16319,0.50495,0.2171,0.96283,3
0.50462,0.75215,0.79268,0.50515,0.025215,0.84147,0.19624,0.17014,0.49895,0.20906,0.95006,3
0.50025,0.74741,0.79206,0.4962,0.041114,0.83529,0.20742,0.16725,0.50087,0.20942,0.95778,3
0.53,0.75041,0.79654,0.4972,0.024894,0.8229,0.21904,0.17501,0.50669,0.20798,0.95624,3
