@relation nonstat_data_6-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute class {0,1,2,3,4,5}

@data
0.55749,0.27794,0.2106,0.82847,0.22853,3
0.54583,0.28479,0.20654,0.84638,0.2557,3
0.54508,0.31486,0.20525,0.83405,0.26106,3
0.54061,0.29069,0.19487,0.81605,0.24675,3
0.21274,0.7582,0.87521,0.71409,0.66822,1
0.90297,0.88315,0.87963,0.21007,0.16565,4
0.54677,0.27088,0.22574,0.8383,0.25478,3
0.53392,0.29291,0.22434,0.81353,0.24053,3
0.55352,0.28976,0.2008,0.82778,0.25509,3
0.54563,0.28452,0.22628,0.82832,0.26149,3
0.56238,0.30074,0.22176,0.82778,0.22828,3
0.21402,0.76034,0.87268,0.71214,0.66986,1
0.91891,0.88916,0.87501,0.20903,0.16159,4
0.52886,0.3158,0.23025,0.82856,0.24218,3
0.53551,0.29592,0.21036,0.81734,0.265,3
0.53756,0.27164,0.20788,0.83549,0.25486,3
0.53539,0.27721,0.21635,0.81772,0.23438,3
0.54805,0.29064,0.20572,0.83438,0.24921,3
0.21856,0.76075,0.87407,0.71154,0.66841,1
0.51542,0.28653,0.19809,0.83274,0.24901,3
0.91901,0.91517,0.88153,0.20334,0.15583,4
0.54034,0.26771,0.19585,0.81545,0.24906,3
0.5443,0.28946,0.21968,0.86004,0.24765,3
0.53667,0.25865,0.19108,0.84661,0.24349,3
0.53379,0.26736,0.20079,0.82252,0.25322,3
0.21693,0.76639,0.87539,0.71585,0.67297,1
0.90477,0.87338,0.88368,0.21855,0.17812,4
0.53733,0.2977,0.19515,0.81803,0.25427,3
0.52545,0.27628,0.20753,0.84082,0.25748,3
0.53209,0.28949,0.23616,0.80691,0.26345,3
0.54158,0.28092,0.22542,0.82848,0.23289,3
0.52663,0.28012,0.20121,0.86244,0.24928,3
0.21474,0.75739,0.87203,0.71349,0.66839,1
0.91262,0.87451,0.87981,0.19833,0.15885,4
0.55055,0.29234,0.19346,0.83425,0.24896,3
0.54311,0.2837,0.23041,0.82257,0.24321,3
0.53135,0.28698,0.2142,0.82663,0.24183,3
0.21834,0.7626,0.87443,0.71362,0.66889,1
0.54635,0.29578,0.21229,0.81488,0.24629,3
0.95343,0.85697,0.87244,0.20352,0.16898,4
0.55044,0.27764,0.21965,0.82186,0.26961,3
0.53231,0.27675,0.20946,0.83239,0.25152,3
0.21645,0.75831,0.87553,0.71433,0.66835,1
0.51854,0.31348,0.19753,0.82887,0.24783,3
0.93023,0.8618,0.87821,0.20609,0.17346,4
0.53281,0.28575,0.20398,0.82738,0.26141,3
0.55249,0.28371,0.20668,0.82083,0.25346,3
0.53584,0.27699,0.22674,0.83207,0.24654,3
