@relation nonstat_data_7-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0.4486,0.88632,0.43842,0.103,0.43995,0.42769,0.58967,6
0.45924,0.88975,0.42952,0.10792,0.44305,0.43243,0.58235,6
0.20604,0.48294,0.89161,0.84821,0.76906,0.25526,0.10614,4
0.45437,0.89975,0.43556,0.10141,0.44251,0.43256,0.58638,6
0.53814,0.38581,0.74365,0.3839,0.15393,0.97385,0.82092,1
0.87164,0.25626,0.1796,0.43501,0.10266,0.79486,0.89706,7
0.46034,0.88467,0.4326,0.10148,0.43391,0.43337,0.59155,6
0.45969,0.89081,0.44033,0.10408,0.43882,0.43645,0.58932,6
0.17351,0.48114,0.84159,0.86391,0.76962,0.26839,0.049778,4
0.45792,0.89231,0.43341,0.1107,0.43381,0.43495,0.58571,6
0.46351,0.88998,0.43688,0.098937,0.43713,0.43387,0.59476,6
0.53727,0.38545,0.74399,0.38498,0.15474,0.9751,0.82045,1
0.46225,0.89202,0.42656,0.10243,0.43437,0.43464,0.58898,6
0.86976,0.25636,0.17985,0.43457,0.10273,0.79374,0.89645,7
0.45297,0.88714,0.44155,0.10668,0.43774,0.44059,0.59612,6
0.24413,0.46739,0.9047,0.83008,0.76647,0.2438,0.12557,4
0.45068,0.88819,0.43702,0.10212,0.44289,0.44032,0.58557,6
0.45812,0.89641,0.43475,0.11138,0.43868,0.43129,0.58785,6
0.53755,0.38493,0.74283,0.38514,0.15362,0.97397,0.81947,1
0.87071,0.25671,0.17985,0.43489,0.10342,0.79512,0.89648,7
0.45915,0.89284,0.43584,0.10285,0.43857,0.43559,0.58962,6
0.22131,0.47723,0.90003,0.86484,0.76173,0.26946,0.10832,4
0.45998,0.88945,0.43548,0.098613,0.43455,0.43421,0.5985,6
0.53746,0.38487,0.74268,0.38502,0.15429,0.97496,0.81985,1
0.45322,0.88982,0.43841,0.097693,0.43973,0.43353,0.58132,6
0.46009,0.88328,0.43585,0.10633,0.44072,0.4408,0.57956,6
0.20711,0.48545,0.89176,0.84896,0.76756,0.25622,0.10015,4
0.87185,0.25732,0.17998,0.43404,0.10225,0.79421,0.89813,7
0.45056,0.88762,0.43545,0.10395,0.43904,0.43804,0.5893,6
0.46206,0.89439,0.43054,0.10289,0.4389,0.43411,0.58803,6
0.53731,0.38477,0.74298,0.3846,0.15484,0.9739,0.82011,1
0.45709,0.88542,0.43017,0.10651,0.43467,0.42435,0.58213,6
0.19754,0.47592,0.89083,0.83989,0.76973,0.26145,0.10497,4
0.45475,0.89095,0.4341,0.10949,0.43848,0.43163,0.58714,6
0.87196,0.25764,0.17709,0.43594,0.1019,0.79308,0.89583,7
0.45585,0.89064,0.4445,0.10432,0.43748,0.44034,0.58542,6
0.53855,0.38492,0.74369,0.38517,0.15423,0.97532,0.8209,1
0.46025,0.8928,0.44262,0.10225,0.43981,0.4379,0.58903,6
0.2049,0.48217,0.8906,0.84748,0.76666,0.25843,0.099997,4
0.45384,0.88969,0.44193,0.10383,0.444,0.43684,0.58868,6
0.45137,0.8909,0.43489,0.10547,0.44541,0.42936,0.59089,6
0.86797,0.25961,0.1796,0.43623,0.10117,0.79509,0.89627,7
0.53808,0.38541,0.74387,0.38517,0.15391,0.97452,0.81992,1
0.45171,0.89549,0.43549,0.10287,0.4427,0.43517,0.58847,6
0.2062,0.48655,0.89061,0.8516,0.76503,0.2555,0.10067,4
0.46198,0.8877,0.42875,0.10363,0.43737,0.43092,0.57975,6
0.44638,0.88351,0.43399,0.10524,0.43749,0.44202,0.58153,6
0.86994,0.25898,0.17839,0.43356,0.10387,0.79596,0.89861,7
