@relation nonstat_data_8-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute class {0,1,2,3,4,5,6,7}

@data
0.3982,0.53472,0.53414,0.46571,0.65894,0.27113,0.66009,0.3349,0.67183,0.65823,0.2026,5
0.40367,0.53367,0.54039,0.47542,0.66475,0.25626,0.66955,0.32646,0.67871,0.6623,0.19394,5
0.47259,0.74239,0.066922,0.47214,0.58445,0.58281,0.40011,0.1972,0.79526,0.61311,0.2625,6
0.40011,0.53728,0.53382,0.46691,0.66021,0.27058,0.65571,0.33133,0.67187,0.66738,0.20107,5
0.19722,0.60112,0.79771,0.19898,0.60006,0.46765,0.86399,0.47036,0.79678,0.86665,0.59781,7
0.40453,0.5415,0.54829,0.45552,0.66988,0.26435,0.64781,0.30643,0.65457,0.67072,0.18897,5
0.40082,0.53721,0.53134,0.46819,0.6587,0.26839,0.65622,0.33169,0.6652,0.66387,0.19924,5
0.4737,0.74072,0.073982,0.45855,0.58344,0.58354,0.39913,0.19797,0.79594,0.60559,0.27546,6
0.40016,0.53503,0.53553,0.46717,0.66392,0.26366,0.66022,0.33211,0.66671,0.6633,0.20254,5
0.39768,0.53748,0.52173,0.47462,0.6659,0.25993,0.65264,0.34288,0.68088,0.65794,0.19399,5
0.19528,0.59822,0.79948,0.20026,0.60411,0.46636,0.86048,0.46967,0.79474,0.86572,0.60389,7
0.40179,0.53708,0.53338,0.46627,0.66416,0.26544,0.65932,0.33124,0.67086,0.66449,0.20528,5
0.46168,0.73356,0.072333,0.46543,0.59159,0.5962,0.40833,0.19805,0.79081,0.61079,0.26786,6
0.40278,0.54016,0.53792,0.46769,0.66163,0.26344,0.65984,0.33086,0.66748,0.66868,0.1985,5
0.40317,0.53552,0.53505,0.47397,0.65697,0.26493,0.65671,0.33303,0.6626,0.66864,0.20637,5
0.39977,0.78666,0.60688,0.46467,0.14141,0.72824,0.58676,0.39686,0.92885,0.9436,0.86589,3
0.47074,0.73941,0.075979,0.46213,0.5806,0.58978,0.39778,0.19346,0.79822,0.60382,0.26569,6
0.27168,0.53043,0.45822,0.92613,0.86461,0.46354,0.21554,0.95073,0.61283,0.20781,0.0684,1
0.40994,0.53828,0.52269,0.45964,0.65989,0.27009,0.65756,0.32996,0.65864,0.67731,0.20731,5
0.40437,0.53234,0.53275,0.47032,0.6607,0.26521,0.65852,0.33006,0.65817,0.66444,0.20456,5
0.19738,0.60202,0.79497,0.19425,0.59991,0.46384,0.86465,0.46724,0.79812,0.86371,0.59782,7
0.4203,0.51888,0.54746,0.49116,0.6593,0.25168,0.65922,0.33964,0.67473,0.68378,0.19467,5
0.46709,0.73262,0.075447,0.46168,0.59005,0.58608,0.40416,0.19709,0.79489,0.60223,0.26103,6
