@relation overlap_data_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34}

@data
0.63306,0.73234,0.66719,0.93322,0.44969,26
0.80118,0.082285,0.11848,0.45072,0.19979,32
0.9774,0.084557,0.69687,0.78019,0.80628,17
0.63301,0.73271,0.66683,0.93312,0.4494,26
0.25768,0.31727,0.31096,0.54254,0.63624,0
0.061518,0.502,0.90462,0.98316,0.94988,24
0.71337,0.50285,0.6158,0.18493,0.91499,30
0.60123,0.45209,0.58274,0.70427,0.020249,34
0.90144,0.54173,0.89098,0.26645,0.87341,29
0.43523,0.75524,0.1025,0.085679,0.18498,6
0.2503,0.89962,0.46672,0.50001,0.49922,3
0.79718,0.082469,0.11838,0.45211,0.20007,32
0.71489,0.50071,0.61839,0.18372,0.91605,30
0.032979,0.43201,0.33212,0.6003,0.21703,14
0.090128,0.39353,0.66796,0.81292,0.84907,13
0.63329,0.73288,0.66683,0.93323,0.4495,26
0.78752,0.58173,0.41852,0.48312,0.63339,19
0.55053,0.034589,0.23503,0.95331,0.66678,28
0.43426,0.75312,0.10363,0.086893,0.18689,6
0.58874,0.45159,0.8822,0.35115,0.07158,25
0.48339,0.1999,0.14997,0.88272,0.91741,12
0.46353,0.39814,0.96807,0.18255,0.48292,23
0.031554,0.43647,0.33719,0.59712,0.21936,14
0.032203,0.83663,0.55133,0.50465,0.51863,4
0.26214,0.43922,0.51089,0.048053,1.0729,0
0.16496,0.10092,0.50253,0.26831,0.98428,21
0.43441,0.75429,0.10466,0.092363,0.18637,6
0.13861,0.53079,0.8845,0.030629,0.98656,31
0.79942,0.9029,0.46824,0.18576,0.76915,20
0.032135,0.43808,0.33753,0.59988,0.21716,14
0.63309,0.73311,0.66662,0.93341,0.44977,26
0.13735,0.53358,0.87885,0.03896,0.99016,31
0.55049,0.036372,0.23748,0.95193,0.66827,28
0.032535,0.43774,0.33574,0.59929,0.21598,14
0.31765,0.53192,0.40046,0.23607,0.33227,33
0.31857,0.53468,0.39737,0.23148,0.33147,33
0.55207,0.03631,0.23531,0.95263,0.66734,28
0.25002,0.89965,0.46686,0.49987,0.49963,3
0.98227,0.082503,0.69642,0.78108,0.80525,17
0.58086,0.4525,0.88238,0.34245,0.070041,25
0.032147,0.51376,0.9164,0.33191,0.86593,27
0.63353,0.73262,0.66704,0.93322,0.44917,26
0.32333,0.41299,0.20886,0.6322,0.87628,0
0.78367,0.58136,0.41388,0.48417,0.62909,19
0.97781,0.09727,0.69516,0.78208,0.805,17
0.43419,0.75204,0.10579,0.090257,0.18839,6
0.31464,0.53428,0.39791,0.23553,0.3357,33
0.3499,0.91813,0.91598,0.8145,0.34973,7
0.81082,0.39038,0.74915,0.2821,0.9598,1
0.46509,0.40225,0.96624,0.18565,0.48442,23
0.31547,0.53178,0.39719,0.23223,0.33471,33
0.55226,0.034457,0.23612,0.95134,0.66665,28
0.64932,0.067049,0.2853,0.7825,0.43042,15
0.13103,1.0107,0.23156,0.46831,0.81369,0
0.97576,0.080888,0.70234,0.78866,0.80327,17
0.6334,0.73236,0.66637,0.9331,0.44922,26
0.43515,0.7535,0.10343,0.090056,0.18699,6
0.064109,0.49967,0.90222,0.98481,0.95262,24
0.46703,0.40043,0.96499,0.18289,0.48588,23
0.79934,0.082684,0.11661,0.45002,0.20391,32
0.62728,0.13688,0.71014,0.81831,0.71961,2
0.48518,0.33464,0.95707,0.83594,0.93475,5
0.23672,0.94001,0.1676,0.051104,0.40023,10
0.03281,0.43004,0.3355,0.60164,0.21746,14
0.58007,0.4522,0.88263,0.35396,0.064964,25
0.066432,0.50759,0.90261,0.97992,0.9492,24
0.63175,0.12979,0.72279,0.81386,0.71337,2
0.3181,0.53543,0.40142,0.23456,0.33673,33
0.64258,0.068531,0.2865,0.7763,0.43665,15
0.63323,0.73283,0.66671,0.93306,0.44932,26
0.24982,0.89932,0.46762,0.49934,0.50033,3
0.46437,0.39863,0.96531,0.18185,0.48108,23
0.31494,0.5346,0.40061,0.23679,0.33528,33
0.34959,0.91759,0.91597,0.81581,0.34834,7
0.466,0.39896,0.96889,0.18525,0.48136,23
0.79624,0.08565,0.11617,0.44657,0.19796,32
0.98818,0.41549,0.72727,0.18012,0.87831,0
0.55009,0.23328,0.90188,0.73141,0.31735,8
0.35013,0.92008,0.91607,0.81495,0.34793,7
0.83603,0.38635,0.7522,0.60937,0.17133,16
0.033245,0.51632,0.91648,0.33324,0.86698,27
0.48391,0.20028,0.14982,0.88306,0.91722,12
0.5487,0.23198,0.90053,0.73402,0.31672,8
0.78583,0.58256,0.41707,0.48308,0.6312,19
0.82731,0.37792,0.73996,0.62285,0.17812,16
0.81608,0.38,0.74272,0.27805,0.96875,1
0.46719,0.39937,0.96515,0.18056,0.48137,23
0.8004,0.90174,0.46838,0.18464,0.76724,20
0.63313,0.73272,0.66686,0.93292,0.44934,26
0.2368,0.93933,0.16706,0.051706,0.4011,10
0.031357,0.51406,0.91505,0.3331,0.86821,27
0.80033,0.90075,0.46846,0.18401,0.768,20
0.55007,0.23304,0.899,0.73296,0.31656,8
0.059073,0.50032,0.90275,0.98717,0.95084,24
0.55088,0.036836,0.2358,0.95116,0.66779,28
0.46771,0.39725,0.96718,0.18189,0.4846,23
0.39272,0.38236,0.31471,0.51187,0.39329,9
0.63487,0.12957,0.70829,0.82339,0.71796,2
0.63353,0.73304,0.66703,0.93333,0.44962,26
0.033266,0.51599,0.91659,0.33329,0.86707,27
0.82472,0.39386,0.747,0.61764,0.20371,16
0.60255,0.45208,0.5849,0.70008,0.014008,34
0.55053,0.037449,0.23517,0.9527,0.66832,28
0.8239,0.37395,0.75291,0.60794,0.18002,16
0.79935,0.90106,0.46749,0.18531,0.76666,20
0.55113,0.035711,0.23508,0.95177,0.66803,28
0.39895,0.36713,0.28644,0.51356,0.39943,9
0.034749,0.33746,0.02509,0.28911,0.52287,18
0.78266,0.58505,0.41643,0.48988,0.62691,19
0.34853,0.91746,0.91886,0.81312,0.34991,7
0.63444,0.13906,0.72019,0.81396,0.71417,2
0.059375,0.32958,0.025789,0.27875,0.5353,18
0.13117,0.53187,0.87896,0.030718,0.98088,31
0.63357,0.73252,0.66689,0.93305,0.44965,26
0.033556,0.83793,0.55157,0.50105,0.5183,4
0.55172,0.03552,0.23528,0.95222,0.66692,28
0.798,0.085064,0.1178,0.44874,0.20162,32
0.79996,0.90121,0.46863,0.1846,0.76864,20
0.54945,0.23531,0.90091,0.73351,0.31591,8
0.89837,0.5349,0.88222,0.26611,0.86732,29
0.80039,0.90138,0.46781,0.18461,0.76669,20
0.25003,0.89988,0.46713,0.50026,0.50001,3
0.48282,0.19991,0.14976,0.88333,0.91751,12
0.64888,0.067161,0.28019,0.788,0.43342,15
0.031876,0.43757,0.33536,0.60012,0.22068,14
0.62786,0.12748,0.71771,0.81295,0.71294,2
0.80008,0.90064,0.46834,0.18484,0.76923,20
0.28696,0.90241,0.92688,0.55781,0.4171,11
0.033795,0.51562,0.91565,0.33285,0.86749,27
0.031944,0.43349,0.32811,0.60042,0.21949,14
0.71683,0.49946,0.61641,0.18341,0.91626,30
0.63293,0.73239,0.66686,0.93343,0.44944,26
0.11654,0.38303,0.64968,0.81553,0.85136,13
0.13809,0.52903,0.87866,0.027859,0.98037,31
0.029273,0.43329,0.33265,0.59888,0.21702,14
0.34956,0.91779,0.919,0.81755,0.35063,7
0.24001,0.93923,0.16777,0.054008,0.40048,10
0.9755,0.086277,0.6998,0.78548,0.80208,17
0.82602,0.3811,0.7475,0.61671,0.18049,16
0.23702,0.93954,0.16743,0.052085,0.40088,10
0.48341,0.19945,0.15027,0.88347,0.91684,12
0.7154,0.49855,0.61491,0.18628,0.91753,30
0.71399,0.50181,0.61878,0.18416,0.91491,30
0.3505,0.91988,0.91675,0.81524,0.34867,7
0.79929,0.08236,0.11641,0.45036,0.20079,32
0.035337,0.43742,0.33266,0.60017,0.21646,14
0.43672,0.75581,0.10627,0.091401,0.18707,6
0.97636,0.084523,0.69587,0.77968,0.80279,17
0.45055,0.15032,0.083799,0.70082,0.51759,22
0.43354,0.75369,0.10535,0.089311,0.18667,6
0.31731,0.53209,0.40078,0.23585,0.33222,33
0.63338,0.13532,0.72066,0.81178,0.71659,2
0.23823,0.93786,0.1682,0.051143,0.40234,10
0.24991,0.89975,0.4666,0.49997,0.49997,3
0.67133,0.7982,0.58732,0.29346,0.45817,0
0.80032,0.90216,0.46792,0.18733,0.76719,20
0.033658,0.83428,0.55209,0.5003,0.51707,4
0.79954,0.083456,0.11784,0.45296,0.2009,32
0.64823,0.07039,0.28781,0.78622,0.4369,15
0.34802,0.91776,0.91734,0.81594,0.35054,7
0.80253,0.085685,0.11465,0.44905,0.20003,32
0.24044,0.94085,0.16733,0.051753,0.40152,10
0.073336,0.49736,0.90062,0.98104,0.95462,24
0.34893,0.91809,0.91544,0.81354,0.35075,7
0.80588,0.084111,0.11817,0.44897,0.201,32
0.13639,0.5336,0.87671,0.035107,0.9817,31
0.31503,0.53206,0.39621,0.23203,0.33624,33
0.55084,0.034752,0.2365,0.95369,0.66755,28
0.79931,0.90172,0.46792,0.18499,0.76744,20
0.58563,0.44873,0.88279,0.35216,0.067986,25
0.98228,0.070829,0.69757,0.77571,0.7984,17
0.45021,0.15054,0.08354,0.70038,0.51767,22
0.79979,0.084619,0.1169,0.45395,0.20092,32
0.25039,0.89899,0.46648,0.50016,0.49998,3
0.034858,0.51399,0.9149,0.33305,0.86885,27
0.79915,0.083742,0.12044,0.45156,0.19987,32
