@relation overlap_data_10-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33}

@data
0.38798,0.11241,0.44067,0.44109,0.43704,0.22158,0.5021,0.11153,0.67335,0.38399,0.89193,0.92796,0.38878,0.83329,0.11107,0.71454,0.94749,0.55768,0.72819,0.78818,0.44324,0.59834,0.16543,0.16622,0.50352,0.77325,0.16602,0.71873,29
0.27915,0.65805,0.16721,0.10877,0.11581,0.94308,0.16206,0.55884,0.67945,0.10671,0.22608,0.55358,0.16944,0.44363,0.1111,0.61522,0.17201,0.71419,0.22363,0.83439,0.50106,0.60781,0.22666,0.50375,0.6706,0.1617,0.27631,0.72863,15
0.67389,0.96024,0.83475,0.30348,0.57866,0.40505,0.22232,0.14989,0.66236,0.37561,0.55259,0.84438,0.58812,0.8918,0.17928,0.96404,0.87792,0.44646,0.84485,0.52238,0.46028,0.72882,0.27365,0.89336,1.0175,0.055403,0.74984,0.49103,33
0.7229,0.45436,0.6155,0.94575,0.39364,0.73372,0.56333,0.11557,0.22524,0.39253,0.78213,0.34329,0.6092,0.89839,0.55842,0.11377,0.95137,0.11741,0.38912,0.2822,0.94444,0.11664,0.17005,0.78298,0.28269,0.16852,0.060105,0.2826,2
0.67275,0.66984,0.78559,0.66757,0.33423,0.49924,0.39411,0.94849,0.56176,0.2839,0.55501,0.77704,0.61933,0.73141,0.83992,0.17633,0.89374,0.059955,0.55689,0.058343,0.27949,0.06576,0.56422,0.73065,0.3344,0.50243,0.17407,0.61758,27
0.72508,0.45288,0.61351,0.9484,0.39421,0.72402,0.56162,0.11862,0.22435,0.3913,0.78351,0.34272,0.60887,0.90114,0.55804,0.11516,0.95137,0.11839,0.38867,0.28353,0.94533,0.1114,0.17103,0.78272,0.28336,0.16725,0.056049,0.28061,2
0.21143,0.10003,0.7702,0.67347,0.32284,0.11282,0.72636,0.65588,0.33036,0.77725,0.38754,0.10579,0.32995,0.22864,0.21904,0.33488,0.37999,0.67371,0.16054,0.10456,0.72236,0.3833,0.54468,0.39905,0.48812,0.16984,0.16984,0.39535,4
0.67439,0.66931,0.78969,0.66938,0.3342,0.50348,0.39725,0.94774,0.55958,0.2838,0.55754,0.78196,0.62841,0.7309,0.84111,0.17114,0.89193,0.061917,0.55777,0.058376,0.28015,0.067186,0.56445,0.73243,0.33653,0.50356,0.17288,0.6152,27
0.7973,0.5658,0.31398,0.61817,0.77192,0.37691,0.40119,0.23905,0.37737,0.49307,0.26965,0.51488,0.73074,0.47985,0.94315,0.12033,0.82371,0.53413,0.48468,0.95936,0.19944,0.83955,0.082769,0.57445,0.91642,0.65513,0.43864,0.10136,6
0.22295,0.11283,0.77399,0.6552,0.32972,0.11979,0.71074,0.6586,0.33181,0.77011,0.38398,0.11014,0.33097,0.21816,0.21958,0.33064,0.38755,0.67708,0.17296,0.11276,0.72722,0.37942,0.56624,0.39564,0.51064,0.17235,0.16405,0.37787,4
