@relation overlap_data_11-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30}

@data
0.32501,0.32754,0.52364,0.93655,0.19125,0.45164,0.72371,0.33314,0.45543,0.93558,0.31005,0.67001,0.078033,0.25788,0.19364,0.53669,0.53977,0.46149,0.87186,0.50845,0.85791,0.14758,0.53393,0.26409,28
0.79085,0.19684,0.66989,0.72669,0.39451,0.80443,0.93941,0.47016,0.73113,0.86132,0.72708,0.47679,0.069611,0.46224,0.063966,0.20371,0.33679,0.46332,0.12942,0.80067,0.93794,0.80284,0.67362,0.79467,30
0.85378,0.25778,0.45503,0.38072,0.94141,0.93501,0.42096,0.38783,0.3885,0.41597,0.14056,0.68299,0.89005,0.65414,0.73377,0.11424,0.72509,0.65099,0.79931,0.12467,0.11477,0.88573,0.79549,0.082762,2
0.46331,0.20142,0.065165,0.46635,0.066512,0.86057,0.26632,0.33394,0.66677,0.53462,0.72882,0.19879,0.13331,0.53222,0.39823,0.53669,0.40104,0.40031,0.53297,0.7339,0.66635,0.86483,0.73445,0.87186,23
0.46373,0.19855,0.070924,0.47024,0.06888,0.86125,0.26934,0.33018,0.66308,0.53559,0.72941,0.20188,0.1357,0.53658,0.40228,0.53625,0.40316,0.40073,0.53479,0.73706,0.66252,0.86656,0.73,0.86918,23
0.54223,0.47545,0.55231,0.36935,0.45312,0.87645,0.88839,0.9252,0.6786,0.94348,0.33086,0.56551,0.14176,0.83696,0.26472,0.23784,0.76143,0.6216,0.25453,0.9128,0.047587,0.63589,0.45051,0.10065,6
0.78601,0.93242,0.13103,0.34618,0.86878,0.54169,0.93578,0.65785,0.59489,0.72778,0.32915,0.15073,0.20064,0.40154,0.60842,0.4675,0.33057,0.40213,0.94925,0.39497,0.13151,0.25303,0.79795,0.7923,14
0.80404,0.92561,0.12934,0.3323,0.86035,0.5311,0.92198,0.6671,0.60152,0.7335,0.33365,0.1426,0.2036,0.3942,0.61451,0.47115,0.32524,0.39889,0.95004,0.39369,0.13995,0.26845,0.79251,0.80206,14
0.73151,0.67144,0.19982,0.80314,0.47673,0.5229,0.53977,0.59558,0.8051,0.73659,0.33354,0.92611,0.86313,0.52975,0.39856,0.062271,0.80765,0.91263,0.602,0.79144,0.52856,0.19688,0.54345,0.87133,26
0.73234,0.070356,0.7982,0.12269,0.20548,0.79774,0.32678,0.65247,0.45662,0.458,0.46337,0.73196,0.063568,0.60439,0.40476,0.74158,0.58918,0.78452,0.38462,0.58317,0.26747,0.13024,0.18598,0.27363,13
0.91219,0.40217,0.456,0.23345,0.091983,0.14253,0.54208,0.4439,0.94452,0.96109,0.11548,0.20517,0.046449,0.92685,0.61262,0.09144,0.09993,0.38185,0.69714,0.19665,0.15985,0.38153,0.20179,0.52932,20
0.32669,0.33392,0.52433,0.93453,0.19776,0.4654,0.71944,0.33633,0.47998,0.92302,0.33452,0.6648,0.06346,0.26964,0.19396,0.53809,0.53598,0.48138,0.86505,0.53372,0.87668,0.13911,0.53475,0.26155,28
0.26052,0.14846,0.98087,0.50904,0.84767,0.72593,0.61218,0.78985,0.66873,0.26004,0.77506,0.41274,0.69441,0.055698,0.29893,0.50977,0.34298,0.71808,0.63004,0.32938,0.90843,0.65136,0.30154,0.22505,5
0.27614,0.13222,0.93887,0.46099,0.87165,0.72019,0.59471,0.73277,0.59421,0.33537,0.80482,0.40756,0.66928,0.062164,0.3343,0.4649,0.40848,0.66998,0.60001,0.32715,0.92828,0.59687,0.33271,0.20784,5
0.53318,0.46838,0.52789,0.40302,0.4625,0.87811,0.92392,0.93429,0.6569,0.93505,0.32923,0.53184,0.13709,0.86934,0.27356,0.26177,0.79957,0.59804,0.27185,0.93662,0.066893,0.66122,0.46168,0.13248,6
0.55019,0.49671,0.52659,0.34918,0.46995,0.84918,0.91408,0.97122,0.64006,0.93054,0.34223,0.52196,0.12451,0.88771,0.26122,0.29268,0.76597,0.60615,0.27061,0.95592,0.07752,0.69112,0.47173,0.14519,6
0.54299,0.21744,0.9404,0.58736,0.94037,0.14088,0.66378,0.31545,0.72972,0.50127,0.20961,0.78633,0.80883,0.9253,0.52305,0.40648,0.93375,0.68499,0.52834,0.32187,0.80567,0.66098,0.46462,0.75948,8
0.735,0.077452,0.80277,0.12952,0.19507,0.81126,0.32878,0.66688,0.4695,0.45961,0.43641,0.74168,0.059673,0.58989,0.41018,0.7341,0.58163,0.80417,0.4044,0.60859,0.26705,0.1287,0.19881,0.24587,13
0.73568,0.87394,0.71797,0.44678,0.28559,0.92618,0.83536,0.36018,0.060206,0.81737,0.65522,0.55532,0.53799,0.57581,0.16403,0.32296,0.64195,0.25756,0.42267,0.33173,0.76213,0.82593,0.26964,0.54417,29
0.56921,0.53523,0.7507,0.082277,0.82244,0.37824,0.91674,0.4883,0.47929,0.68963,0.40994,0.47463,0.45711,0.057788,0.46138,0.86276,0.32135,0.81841,0.54069,0.65373,0.12355,0.73977,0.9427,0.55311,19
0.80906,0.92825,0.14078,0.32863,0.85663,0.53335,0.9315,0.65736,0.60226,0.72632,0.33142,0.13636,0.19153,0.40292,0.6119,0.46543,0.31882,0.39522,0.94312,0.40333,0.12736,0.26199,0.8043,0.78693,14
0.74038,0.75439,0.46924,0.28034,0.15059,0.60985,0.35324,0.13645,0.66072,0.18667,0.60897,0.59477,0.3507,0.11784,0.65269,0.10163,0.59165,0.80355,0.39988,0.88381,0.72371,0.36956,0.71869,0.47565,4
0.46402,0.2028,0.068325,0.46547,0.064713,0.85781,0.26694,0.33566,0.66833,0.53301,0.72771,0.20046,0.13937,0.53412,0.40084,0.53653,0.40664,0.40319,0.53171,0.73931,0.66955,0.86744,0.73166,0.86875,23
0.79584,0.20121,0.66436,0.72455,0.39511,0.80362,0.93387,0.46285,0.72506,0.86577,0.73719,0.47136,0.069192,0.4599,0.064638,0.20664,0.33812,0.46912,0.14145,0.80342,0.93466,0.79489,0.66539,0.7941,30
0.61843,0.61532,0.34781,0.21035,0.69814,0.3406,0.3633,0.69172,0.54943,0.13725,0.13859,0.085356,0.81271,0.87,0.13796,0.28354,0.092015,0.93657,0.90629,0.28298,0.94025,0.48463,0.14515,0.62003,24
0.46307,0.20279,0.063522,0.47136,0.067435,0.86125,0.2689,0.335,0.66498,0.53353,0.72873,0.20078,0.1349,0.5327,0.40296,0.53616,0.40607,0.40141,0.53012,0.73458,0.66762,0.86424,0.73431,0.87138,23
0.94482,0.4052,0.4612,0.17796,0.069442,0.14035,0.52235,0.48543,0.93874,0.91368,0.076792,0.19567,0.058317,0.91918,0.66398,0.03107,0.032087,0.39737,0.65734,0.21093,0.16252,0.4145,0.17697,0.54976,20
0.6156,0.61515,0.34956,0.20518,0.69984,0.35044,0.33997,0.68397,0.5667,0.13731,0.14355,0.096771,0.81722,0.86624,0.15074,0.28648,0.085059,0.93931,0.90178,0.29443,0.93935,0.49031,0.14033,0.61566,24
0.39279,0.8636,0.062248,0.19627,0.40282,0.30937,0.51032,0.99135,0.80405,0.88112,0.76002,0.44828,0.69805,0.51683,0.13698,0.08567,0.81453,0.39793,0.018013,0.2756,0.25072,0.77678,0.37973,0.80442,12
0.34633,0.16222,0.9582,0.34636,0.86247,0.68773,0.58335,0.64915,0.55312,0.31706,0.76107,0.36385,0.63619,0.094823,0.34198,0.45385,0.39934,0.68194,0.53623,0.36468,0.84905,0.61568,0.31376,0.14097,5
0.6036,0.5263,0.7485,0.051098,0.81324,0.3605,0.90143,0.48591,0.48141,0.70512,0.4147,0.47735,0.4654,0.087028,0.45461,0.88401,0.34244,0.80223,0.50604,0.63837,0.1182,0.74385,0.91567,0.55081,19
0.37613,0.99434,0.030047,0.18772,0.4154,0.34296,0.62951,0.96501,0.78195,0.91883,0.7705,0.4847,0.52952,0.39348,0.14779,0.072548,0.86251,0.47273,0.080997,0.36666,0.20605,0.81315,0.35169,0.75866,12
0.25268,0.11732,0.87187,0.48514,0.85162,0.75474,0.56988,0.7316,0.60967,0.30333,0.76789,0.39938,0.64288,0.061652,0.30155,0.41731,0.35857,0.68989,0.60448,0.32448,0.9814,0.59188,0.32275,0.21392,5
0.057842,0.97107,0.49941,0.055444,0.15048,0.61932,0.46131,0.5239,0.40669,0.45759,0.30036,0.53249,0.49848,0.17834,0.32643,0.30946,0.34325,0.84982,0.45697,0.061275,0.81745,0.73438,0.24141,0.61209,15
0.93573,0.41256,0.47338,0.20994,0.068246,0.13264,0.52377,0.46795,0.97462,0.97513,0.079054,0.18661,0.070171,0.93773,0.64669,0.062916,0.088141,0.42475,0.653,0.22843,0.17456,0.42354,0.21482,0.53363,20
0.92876,0.39987,0.45501,0.22538,0.059898,0.11993,0.51045,0.46814,0.92751,0.95083,0.087148,0.18269,0.080187,0.95466,0.64709,0.042075,0.041361,0.39466,0.64857,0.18924,0.13056,0.38354,0.2614,0.54738,20
0.4868,0.40828,0.21165,0.57677,0.59347,0.80307,0.87644,0.2007,0.60329,0.23941,0.12081,0.74927,0.43475,0.054373,0.65779,0.34477,0.20458,0.44312,0.66961,0.87954,0.52698,0.46079,0.77871,0.86184,17
0.20661,0.60306,0.40261,0.40749,0.60584,0.27076,0.33737,0.93655,0.73893,0.27305,0.46943,0.2728,0.66708,0.33388,0.13736,0.66725,0.27115,0.60641,0.40772,0.53835,0.9345,0.86317,0.73364,0.81075,16
0.76075,0.90833,0.73292,0.42011,0.27954,0.96642,0.78203,0.3894,0.043061,0.76013,0.66429,0.54491,0.55456,0.62536,0.14918,0.31487,0.62085,0.26489,0.39452,0.37734,0.72956,0.7979,0.30245,0.5247,29
0.80624,0.94617,0.13359,0.3321,0.85368,0.53221,0.93781,0.67541,0.60314,0.72813,0.34554,0.13246,0.20008,0.40148,0.60341,0.47451,0.32444,0.40537,0.93335,0.41736,0.13228,0.26099,0.79334,0.80384,14
0.25391,0.050647,0.60565,0.4938,0.19751,0.5979,0.92012,0.60533,0.029781,0.51976,0.22305,0.28113,0.44552,0.74312,0.38197,0.66851,0.54642,0.081619,0.57612,0.68427,0.90007,0.19376,0.062445,0.27659,7
0.66177,0.74763,0.77228,0.85072,0.75729,0.097958,0.33117,0.11637,0.085107,0.053863,0.17645,0.88382,0.71821,0.27779,0.34444,0.86284,0.48066,0.76186,0.2018,0.11525,0.29004,0.13402,0.68084,0.36019,9
0.40506,0.56666,0.88281,0.30761,0.82673,-0.038105,0.42158,0.45054,0.71046,0.7057,0.69066,0.64277,0.45629,0.53643,0.6541,0.17295,0.44606,0.27358,0.31401,0.74016,0.95527,0.51948,0.11354,0.47435,11
0.65635,0.73855,0.735,0.81322,0.72278,0.063545,0.33424,0.13591,0.069415,0.066171,0.20038,0.92443,0.73114,0.25906,0.32299,0.85556,0.5455,0.79343,0.20504,0.068474,0.27132,0.1295,0.72487,0.39551,9
0.33552,0.33701,0.53386,0.93368,0.1977,0.47001,0.72535,0.33435,0.46375,0.9341,0.33943,0.6674,0.06595,0.26529,0.1981,0.53346,0.54363,0.46788,0.87378,0.5298,0.86311,0.13556,0.53146,0.26622,28
0.76282,0.88417,0.72224,0.45834,0.25686,0.93465,0.81034,0.41082,0.087767,0.84269,0.68367,0.52429,0.52416,0.59786,0.14112,0.27694,0.56549,0.24157,0.36799,0.38246,0.74617,0.75347,0.2889,0.52788,29
0.666,0.74805,0.73379,0.8126,0.72794,0.067737,0.3324,0.13333,0.065892,0.06391,0.20251,0.9263,0.73195,0.26693,0.32241,0.85818,0.53942,0.79835,0.20703,0.066729,0.26895,0.13467,0.72742,0.39653,9
0.64857,0.7507,0.72556,0.81489,0.71574,0.059703,0.3445,0.1484,0.083684,0.062445,0.20983,0.92263,0.73558,0.26815,0.34084,0.86713,0.5343,0.79809,0.20325,0.068342,0.26433,0.13641,0.73483,0.40438,9
0.53264,0.45916,0.5414,0.39789,0.46367,0.88112,0.93584,0.93672,0.67031,0.92512,0.33052,0.53429,0.13389,0.85693,0.26051,0.2586,0.79811,0.59518,0.25713,0.94057,0.056311,0.6682,0.46238,0.13606,6
0.4613,0.20336,0.06301,0.46306,0.066607,0.85837,0.2694,0.33345,0.6643,0.5338,0.72735,0.19872,0.1326,0.53265,0.39832,0.53313,0.40749,0.40291,0.53485,0.7304,0.6694,0.86098,0.73632,0.87418,23
0.58745,0.55397,0.76017,0.05784,0.83252,0.41816,0.89688,0.48331,0.47707,0.70302,0.38626,0.45502,0.44973,0.05674,0.47731,0.8873,0.32261,0.807,0.54336,0.64727,0.1241,0.73515,0.94721,0.51872,19
0.93394,0.80114,0.66757,0.60469,0.47191,0.13576,0.20139,0.67234,0.60271,0.068699,0.60383,0.13538,0.93568,0.59961,0.40474,0.40087,0.1356,0.73677,0.067104,0.40144,0.80063,0.60178,0.46663,0.80348,10
