@relation overlap_data_14-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}

@data
0.37471,0.5137,0.31997,19
0.0271,0.54102,0.51703,6
0.66491,0.043636,0.23645,17
0.95753,0.47086,0.30629,15
0.64848,0.56709,0.47557,16
0.37543,0.51399,0.31975,19
0.6593,0.57101,0.46906,16
0.67981,0.76484,0.47248,9
0.66665,0.041647,0.23589,17
0.57716,0.20351,0.47285,4
0.37341,0.51357,0.3202,19
0.571,0.20747,0.46896,4
0.66569,0.046722,0.23731,17
0.72415,0.74852,0.26393,8
0.036093,0.52463,0.52464,6
0.13827,0.17974,0.50048,3
0.056753,0.8315,0.30762,13
0.66587,0.040996,0.2369,17
0.72592,0.74876,0.26632,8
0.72556,0.74762,0.26567,8
0.95775,0.98627,0.18137,10
0.057588,0.83164,0.30616,13
0.44861,0.083478,0.29184,7
0.37473,0.51207,0.31839,19
0.33478,0.82853,0.077637,5
0.3772,0.513,0.31876,19
0.3748,0.51223,0.32048,19
0.72641,0.74741,0.26517,8
0.95679,0.98489,0.18099,10
0.13784,0.17948,0.49889,3
0.66511,0.041404,0.23466,17
0.026266,0.52662,0.529,6
0.4442,0.082514,0.29244,7
0.87627,0.47184,0.8069,1
0.44636,0.080194,0.29142,7
0.028499,0.52641,0.51676,6
0.6664,0.041571,0.23785,17
0.33246,0.83468,0.072438,5
0.13751,0.18167,0.50121,3
0.5694,0.21294,0.4709,4
0.957,0.98446,0.17959,10
0.66801,0.042452,0.23708,17
0.65388,0.56699,0.47474,16
0.36461,0.6833,0.45168,11
0.030031,0.52705,0.52933,6
0.056781,0.83158,0.30583,13
0.87488,0.47212,0.80607,1
0.057179,0.83233,0.30601,13
0.37437,0.51347,0.31962,19
0.95787,0.98537,0.1808,10
0.05634,0.83218,0.30795,13
0.05693,0.83174,0.30571,13
0.44437,0.083943,0.29148,7
0.026339,0.52485,0.52871,6
0.33138,0.8324,0.071474,5
0.95726,0.98503,0.18079,10
0.65948,0.56469,0.46878,16
0.33143,0.83438,0.071455,5
0.37484,0.5135,0.31961,19
0.66681,0.041854,0.23553,17
0.95743,0.98554,0.18031,10
0.95768,0.98512,0.18143,10
0.6552,0.56638,0.47022,16
0.33825,0.83704,0.071513,5
0.023116,0.53351,0.52755,6
1.1434,0.31957,1.1123,0
0.57273,0.20906,0.4727,4
0.37496,0.51292,0.31971,19
0.44442,0.080208,0.28998,7
0.36057,0.67845,0.45658,11
0.37457,0.51361,0.31938,19
0.77677,0.096837,0.068901,14
0.77832,0.097436,0.068361,14
0.77881,0.097338,0.070093,14
0.77512,0.09709,0.069056,14
0.44699,0.083829,0.28981,7
0.72462,0.74973,0.26256,8
0.95676,0.47242,0.30558,15
0.1402,0.18015,0.4989,3
0.44276,0.085563,0.29059,7
0.95706,0.98571,0.18023,10
0.33368,0.83326,0.069046,5
0.38875,0.37589,0.62681,12
0.65474,0.56685,0.47352,16
0.60726,0.36663,0.64207,0
0.95661,0.47181,0.30488,15
0.24537,0.63788,0.19348,18
0.66536,0.04285,0.23663,17
0.44636,0.080654,0.28922,7
0.33655,0.83558,0.072476,5
0.66601,0.040715,0.23636,17
0.77657,0.095507,0.066601,14
0.87419,0.47002,0.80447,1
0.66692,0.039406,0.23396,17
0.2472,0.63863,0.19904,18
0.66488,0.042672,0.23592,17
0.4447,0.083118,0.29117,7
0.44831,0.083068,0.29095,7
0.057928,0.83209,0.308,13
0.66764,0.042905,0.23621,17
0.33313,0.83324,0.068385,5
0.44655,0.083424,0.28947,7
0.66578,0.041752,0.23652,17
0.95688,0.98469,0.17945,10
0.65923,0.56632,0.47397,16
0.66607,0.0425,0.23589,17
0.6664,0.041046,0.23855,17
0.044865,0.53268,0.53179,6
0.37417,0.514,0.32141,19
0.66622,0.042406,0.23646,17
0.38837,0.37474,0.62645,12
0.95655,0.98529,0.18147,10
0.3339,0.83392,0.0696,5
0.6658,0.041848,0.23785,17
0.14063,0.18,0.50084,3
0.95744,0.9851,0.18172,10
0.36408,0.67866,0.45671,11
0.33655,0.82615,0.067392,5
0.95767,0.98566,0.18085,10
0.3302,0.83892,0.072645,5
0.32949,0.83486,0.066359,5
0.3294,0.83345,0.072149,5
0.25156,0.64214,0.1994,18
0.44691,0.085161,0.29273,7
0.056083,0.83212,0.30586,13
0.14038,0.182,0.50046,3
0.32714,0.83245,0.069667,5
0.056395,0.83132,0.30584,13
0.021905,0.52434,0.52908,6
0.68027,0.76436,0.47252,9
0.95816,0.98514,0.18107,10
0.24813,0.63504,0.19265,18
0.33157,0.83596,0.067178,5
0.95668,0.98569,0.18124,10
0.95744,0.4727,0.30488,15
0.38648,0.37496,0.62454,12
0.056319,0.83118,0.30584,13
0.33195,0.83405,0.068523,5
0.78072,0.097416,0.069286,14
0.65312,0.5668,0.47637,16
0.57249,0.21036,0.473,4
0.028213,0.52511,0.52851,6
0.025356,0.52615,0.53129,6
0.77709,0.097517,0.07013,14
0.56903,0.21047,0.47354,4
0.68014,0.76449,0.47241,9
0.77939,0.098856,0.069689,14
0.44461,0.083024,0.29192,7
0.95695,0.47227,0.30481,15
0.77719,0.097686,0.068678,14
0.72659,0.7497,0.26287,8
0.72698,0.74994,0.266,8
0.44238,0.080446,0.29039,7
0.779,0.095893,0.069138,14
0.66568,0.039333,0.2345,17
0.44434,0.08322,0.29166,7
0.44243,0.082689,0.29074,7
0.44673,0.84803,0.11943,2
0.33242,0.83812,0.069029,5
0.72387,0.74911,0.26292,8
0.66588,0.041987,0.23415,17
0.36105,0.68129,0.45871,11
0.057458,0.83147,0.30754,13
0.66654,0.037799,0.23624,17
0.66461,0.044361,0.23625,17
0.66856,0.041772,0.23753,17
0.77832,0.09549,0.07013,14
0.13994,0.18176,0.49757,3
0.056026,0.83267,0.30642,13
0.44405,0.083541,0.29068,7
0.057566,0.83155,0.30593,13
0.036829,0.52318,0.53504,6
0.66665,0.040674,0.23542,17
0.57153,0.20649,0.46831,4
0.24529,0.63166,0.18988,18
0.66582,0.041932,0.23608,17
0.95736,0.47203,0.30527,15
0.44406,0.086059,0.29272,7
0.95676,0.9846,0.18054,10
