@relation overlap_data_15-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}

@data
0.66461,0.79014,0.18132,0.17937,0.33354,0.63305,4
0.5132,0.66758,0.76231,0.57859,0.36868,0.84404,12
0.03447,0.26739,0.47614,0.85073,0.034785,0.21797,16
0.028559,0.27188,0.48533,0.85074,0.03131,0.21511,16
0.18194,0.030378,0.33324,0.97096,0.33266,0.87872,3
0.44724,0.2425,0.48027,0.22528,0.55502,0.18163,10
0.43004,0.2568,0.50191,0.2229,0.53401,0.19133,10
0.17558,0.090783,0.75944,0.2453,0.85721,0.63183,17
0.6641,0.79261,0.18425,0.18131,0.33268,0.6344,4
0.42734,0.2609,0.45877,0.23291,0.55346,0.20189,10
0.09009,0.96916,0.39325,0.78874,0.39405,0.69618,1
0.030389,0.27325,0.48295,0.84968,0.030509,0.21158,16
0.66691,0.66815,0.33418,0.63656,0.031192,0.45515,11
0.18304,0.18376,0.5707,0.36502,0.48725,0.32879,19
0.56321,0.0036002,0.26024,0.63199,0.034932,0.054678,22
0.89635,0.93728,0.059903,0.057871,0.79376,0.39603,14
0.90508,0.94137,0.060555,0.062153,0.78774,0.39912,14
0.66682,0.66824,0.33375,0.63676,0.031743,0.45553,11
0.51143,0.66402,0.75713,0.57632,0.36313,0.84706,12
0.56703,0.031514,0.21741,0.65916,0.047288,0.044402,22
0.90764,0.93303,0.058562,0.04931,0.7856,0.40007,14
0.5135,0.66676,0.75334,0.57529,0.36519,0.84551,12
0.4341,0.079296,0.25428,0.36218,0.77789,0.80094,23
0.86669,0.55539,0.79715,0.35725,0.6149,0.77166,6
0.19249,0.097117,0.75905,0.24612,0.84923,0.64544,17
0.4369,0.26458,0.49623,0.22978,0.54344,0.16999,10
0.41709,0.2473,0.47402,0.25286,0.54748,0.1833,10
0.85763,0.54269,0.81731,0.35627,0.61399,0.77792,6
0.18391,0.091638,0.74956,0.25363,0.84172,0.63726,17
0.038888,0.27242,0.48112,0.84892,0.028288,0.21928,16
0.66713,0.66853,0.33429,0.63687,0.031262,0.45522,11
0.12068,0.026631,0.66569,0.25494,0.35357,0.20535,15
0.033502,0.21409,0.90612,0.20953,0.93775,0.27065,13
0.88664,0.55809,0.80565,0.37265,0.60431,0.79098,6
0.18193,0.03004,0.33299,0.97081,0.33162,0.87851,3
0.97105,0.97119,0.33523,0.24224,0.27314,0.12214,8
0.1459,0.15422,0.73094,0.26512,0.84938,0.64322,17
0.42458,0.25885,0.48564,0.24369,0.52671,0.17405,10
0.026306,0.27601,0.48253,0.84877,0.029853,0.20567,16
0.15887,0.094438,0.77574,0.24276,0.89777,0.67486,17
0.90755,0.93254,0.067661,0.053423,0.79183,0.40778,14
0.19187,0.18307,0.57213,0.36593,0.49019,0.33725,19
0.1311,0.0083746,0.66504,0.2758,0.36362,0.2041,15
0.18286,0.178,0.57653,0.35842,0.49228,0.33121,19
0.88154,0.55925,0.81606,0.36696,0.61242,0.79469,6
0.12093,0.033126,0.66834,0.27322,0.36392,0.22237,15
0.40237,0.24274,0.51713,0.20722,0.5497,0.17573,10
0.17761,0.17882,0.56401,0.36119,0.48236,0.33142,19
0.088492,0.96833,0.39636,0.78614,0.39349,0.69696,1
0.97216,0.96841,0.33346,0.24312,0.2709,0.12149,8
0.40499,0.23971,0.46154,0.23233,0.57486,0.19401,10
0.53505,0.1484,0.96585,0.34017,0.50918,0.9391,18
0.080232,0.22135,0.30773,0.79007,0.0926,0.78827,9
0.091911,0.75574,0.030923,0.36184,0.54679,0.15064,2
