@relation overlap_data_19-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
0.59306,0.65108,0.87377,0.59615,7
0.04641,0.609,0.26864,0.66708,19
0.28049,0.59238,0.18543,0.93637,17
0.064846,0.95414,0.23152,0.34324,8
0.064886,0.95351,0.23201,0.34291,8
0.045103,0.60994,0.26836,0.66612,19
0.15945,0.58347,0.23243,0.78888,16
0.46907,0.2312,0.85,0.33782,4
0.04606,0.61125,0.26843,0.66581,19
0.44655,0.72649,0.47495,0.88522,6
0.44085,0.72185,0.46798,0.88721,6
0.43399,0.78635,0.33534,0.81574,20
0.46608,0.23124,0.85007,0.34355,4
0.065591,0.95329,0.23114,0.34291,8
0.53781,0.10108,0.27088,0.69793,14
0.5391,0.098125,0.26857,0.69666,14
0.447,0.72155,0.47245,0.89465,6
0.17662,0.27796,0.18545,0.92635,15
0.43512,0.78733,0.33339,0.81591,20
0.046811,0.60987,0.269,0.66541,19
0.49556,0.14205,0.047839,0.90541,0
0.46842,0.23225,0.85087,0.34065,4
0.4747,0.2313,0.85218,0.34417,4
0.91845,0.69506,0.15683,0.73159,3
0.16319,0.593,0.22126,0.79195,16
0.064353,0.95399,0.23144,0.34267,8
0.57435,0.73228,0.0097477,0.50877,10
0.045571,0.61093,0.26866,0.6646,19
0.43445,0.78619,0.33343,0.81561,20
0.064662,0.95293,0.2318,0.34277,8
0.1115,0.15802,0.38978,0.55773,11
0.53945,0.10088,0.26968,0.69639,14
0.55277,0.81502,0.24844,0.74898,13
0.17508,0.27785,0.18503,0.92672,15
0.2404,0.28694,0.23089,0.76964,5
0.11653,0.15754,0.38503,0.55487,11
0.15904,0.59379,0.22729,0.80479,16
0.10849,0.1578,0.39029,0.55797,11
0.064146,0.9525,0.23201,0.34326,8
0.026617,0.10058,0.56432,0.18451,9
0.046358,0.61013,0.26726,0.66533,19
0.15718,0.59005,0.21686,0.79573,16
0.27911,0.58917,0.18121,0.93537,17
0.91802,0.69443,0.15662,0.73058,3
0.66962,0.14928,0.98188,0.073051,12
0.15307,0.60069,0.22519,0.80578,16
0.24282,0.28755,0.23245,0.76884,5
0.66869,0.14735,0.9798,0.076341,12
0.15176,0.58952,0.21956,0.79778,16
0.43455,0.78749,0.33356,0.81503,20
0.27316,0.59417,0.18841,0.93391,17
0.59272,0.64913,0.87349,0.59505,7
0.12014,0.23063,0.64152,0.75292,1
0.24181,0.28831,0.23355,0.76799,5
0.43484,0.78965,0.33285,0.8163,20
0.44249,0.72031,0.4722,0.88638,6
0.064633,0.9541,0.2314,0.34343,8
0.44478,0.73125,0.47064,0.88619,6
0.6692,0.14726,0.9786,0.072346,12
0.47218,0.23283,0.84833,0.34109,4
0.55494,0.81464,0.2484,0.74944,13
0.063861,0.95478,0.23194,0.34227,8
0.11095,0.16134,0.39117,0.55364,11
0.44033,0.71633,0.47737,0.89124,6
0.11078,0.15685,0.38857,0.55599,11
0.91889,0.69421,0.15705,0.73151,3
0.47035,0.22827,0.85312,0.33988,4
0.53257,0.095651,0.27039,0.69674,14
0.21196,0.84273,0.59038,0.46242,0
0.11173,0.15703,0.38933,0.55441,11
0.57407,0.73082,0.0091059,0.50881,10
0.064041,0.9541,0.23186,0.34244,8
0.66829,0.14611,0.98118,0.075375,12
0.59296,0.64944,0.87356,0.595,7
0.065163,0.95395,0.23146,0.34319,8
0.02852,0.10151,0.56579,0.18463,9
0.11244,0.15269,0.38812,0.55804,11
0.1093,0.15834,0.38892,0.55293,11
0.5527,0.81488,0.24964,0.74994,13
0.59271,0.64897,0.8725,0.59502,7
0.04616,0.61144,0.26983,0.66644,19
0.027131,0.10287,0.56562,0.18448,9
0.66809,0.14962,0.98141,0.072722,12
0.028506,0.103,0.56565,0.18601,9
0.55459,0.81335,0.25113,0.75035,13
0.43689,0.78944,0.33222,0.8163,20
0.59361,0.64916,0.87324,0.59579,7
0.55555,0.81381,0.2493,0.75016,13
0.24092,0.28674,0.23193,0.77003,5
0.02854,0.10274,0.56455,0.18472,9
0.80508,0.74149,0.018499,0.20495,2
0.047276,0.6109,0.26903,0.66599,19
0.66799,0.1489,0.98221,0.074979,12
0.44554,0.72856,0.47607,0.88913,6
0.047547,0.60881,0.26981,0.66499,19
0.046454,0.60951,0.26874,0.66764,19
0.064782,0.95345,0.23024,0.34316,8
0.028745,0.10269,0.56566,0.18463,9
0.065294,0.95388,0.23024,0.3432,8
0.064039,0.95263,0.23103,0.34087,8
0.32318,0.17881,0.97734,0.66699,18
0.15359,0.58916,0.22074,0.7989,16
0.66615,0.14906,0.98192,0.073318,12
0.57328,0.73207,0.0081037,0.50865,10
0.066147,0.95163,0.2324,0.34343,8
0.44609,0.73367,0.47299,0.89449,6
0.61027,0.55492,0.64633,0.26967,0
0.17591,0.27771,0.18502,0.92619,15
0.11063,0.15473,0.38937,0.54976,11
0.065058,0.95371,0.23106,0.34308,8
0.047367,0.60961,0.2691,0.66734,19
0.43538,0.788,0.33658,0.81348,20
0.5739,0.7311,0.0096827,0.51013,10
0.91901,0.69349,0.15689,0.73135,3
0.064399,0.95462,0.23145,0.34284,8
0.71132,0.90957,0.71261,0.51753,0
0.027181,0.10101,0.56457,0.18411,9
0.28014,0.59578,0.18726,0.93306,17
0.57445,0.73129,0.010231,0.50917,10
0.98969,1.0508,0.87887,0.76987,0
0.32133,0.17542,0.977,0.67341,18
0.31811,0.18133,0.97862,0.67866,18
0.1762,0.27842,0.1848,0.92584,15
0.43562,0.78721,0.33462,0.81509,20
0.86768,0.45044,1.0746,0.14039,0
0.43448,0.78745,0.33377,0.81551,20
0.43543,0.78604,0.33241,0.81408,20
0.43493,0.78723,0.33373,0.81476,20
0.80566,0.74049,0.021281,0.20476,2
0.43375,0.78869,0.33247,0.8173,20
0.6994,1.0361,0.32991,0.15783,0
0.029262,0.10123,0.56607,0.18583,9
0.53524,0.10411,0.26188,0.69432,14
0.57358,0.733,0.0095804,0.50836,10
0.59352,0.64903,0.87396,0.59537,7
0.24093,0.28799,0.23137,0.76831,5
0.15909,0.59814,0.22163,0.79819,16
0.43638,0.78736,0.33316,0.81532,20
0.17549,0.27838,0.18535,0.92671,15
0.43558,0.78652,0.33446,0.8152,20
0.54127,0.093843,0.26871,0.69978,14
0.55368,0.81466,0.25029,0.75123,13
0.1639,0.59448,0.22421,0.79942,16
0.43602,0.78374,0.3317,0.81379,20
0.06483,0.95435,0.23234,0.34263,8
0.17578,0.27775,0.18515,0.92702,15
0.80495,0.74245,0.019541,0.20358,2
0.59298,0.64884,0.87312,0.59501,7
0.028969,0.10106,0.56561,0.18642,9
0.15655,0.5964,0.22957,0.78496,16
0.66624,0.14862,0.98143,0.073165,12
0.44279,0.72532,0.47672,0.88991,6
0.59305,0.64997,0.874,0.59431,7
0.066252,0.95408,0.23154,0.34162,8
0.66791,0.14881,0.97949,0.075662,12
0.48684,0.25658,0.15014,0.85503,0
0.5751,0.7307,0.0082204,0.50804,10
0.15013,0.60069,0.21545,0.79884,16
0.4348,0.78713,0.33271,0.81416,20
0.063721,0.95424,0.2306,0.34309,8
0.4365,0.78727,0.33258,0.81458,20
0.57611,0.73067,0.010205,0.5074,10
