@relation overlap_data_20-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}

@data
0.50107,0.29303,0.86894,0.74589,0.74791,0.16476,0.95592,0.92572,0.46305,0.66697,0.7057,0.55165,0.42262,0.12537,0.081047,0.82134,0.83322,0.2045,21
0.66757,0.96589,0.63042,0.49948,0.92371,0.45505,0.47644,0.22586,0.058874,0.12136,0.87794,0.25351,0.63677,0.81861,0.29746,0.13303,0.49532,0.36839,10
0.22314,0.71653,0.65548,0.55768,0.67776,0.37825,0.20047,0.30262,0.97006,0.089355,0.23802,0.28184,0.42763,0.029448,0.75896,0.030511,0.95273,0.0473,6
0.84537,0.5126,0.69297,0.091329,0.42516,0.040923,0.30469,0.13848,0.94754,0.48511,0.64623,0.87505,0.5349,0.040484,0.10344,0.54003,0.27584,0.92504,17
0.25844,0.8838,0.89419,0.34251,0.54423,0.80305,0.18224,0.53661,0.96351,0.57158,0.51687,0.15727,0.56638,0.42503,0.068931,0.34032,0.55457,0.022875,5
0.3295,0.53281,0.54189,0.29057,0.24438,0.5337,0.92181,0.37765,0.79389,0.33459,0.9204,0.75395,0.33466,0.63236,0.13031,0.38172,0.53254,0.45665,13
0.33078,0.52435,0.53795,0.2927,0.25599,0.53715,0.91756,0.36879,0.787,0.33108,0.91859,0.74581,0.33172,0.62864,0.12072,0.37472,0.54378,0.46584,13
0.23931,0.88749,0.87641,0.34728,0.54186,0.80087,0.18026,0.54021,0.96348,0.59208,0.50955,0.17608,0.59668,0.40894,0.077066,0.32313,0.55069,0.027487,5
0.91915,0.41449,0.71493,0.63204,0.49934,0.20826,0.49557,0.20037,0.62103,0.92173,0.79444,0.59517,0.83139,0.70717,0.29539,0.085803,0.49531,0.54591,11
0.64975,0.97282,0.65399,0.49879,0.90432,0.46615,0.4622,0.19701,0.05818,0.1359,0.88928,0.25519,0.62275,0.84546,0.3155,0.13527,0.483,0.39012,10
0.75189,0.33445,0.83479,0.82581,0.66496,0.79098,0.87399,0.62559,0.041198,0.8738,0.41907,0.82856,0.7922,0.70865,0.41749,0.91773,0.29396,0.29248,18
0.49658,0.28802,0.86603,0.7408,0.75112,0.16851,0.9635,0.92408,0.45027,0.66379,0.70397,0.55304,0.41914,0.12446,0.081179,0.82824,0.82933,0.21649,21
0.44593,0.26648,0.20761,0.45483,0.16701,0.83152,0.10462,0.081707,0.94015,0.6636,0.25956,0.33346,0.61693,0.21117,0.91216,0.9329,0.65818,0.1347,15
0.24529,0.86594,0.86496,0.31527,0.54384,0.78562,0.1585,0.55632,0.96184,0.57109,0.50563,0.17491,0.57836,0.41275,0.088673,0.34574,0.53732,0.050672,5
0.49525,0.29874,0.86731,0.73796,0.74165,0.16944,0.95822,0.91786,0.45133,0.66691,0.70079,0.54074,0.41644,0.12834,0.072656,0.82826,0.83063,0.20492,21
0.41892,0.46549,0.091514,0.84947,0.02789,0.61291,0.19938,0.73831,0.47831,0.32927,0.12777,0.94067,0.4309,0.68433,0.092163,0.044578,0.60759,0.078742,16
0.71985,0.28889,0.82488,0.76901,0.68712,0.77454,0.86873,0.61856,0.066793,0.90967,0.42569,0.83363,0.78917,0.72177,0.45705,0.93413,0.29135,0.24572,18
0.72157,0.36931,0.84968,0.84416,0.71263,0.79446,0.83049,0.60094,0.029224,0.8773,0.37446,0.79843,0.81631,0.67774,0.43632,0.89423,0.27567,0.29754,18
0.33453,0.54751,0.54557,0.31843,0.24498,0.54193,0.92807,0.40097,0.84944,0.3199,0.9323,0.75879,0.34385,0.64022,0.14032,0.3674,0.56228,0.47241,13
0.50829,0.9642,0.093807,0.76067,0.21433,0.74354,0.61687,0.79934,0.96593,0.82992,0.82339,0.58731,0.63884,0.94545,0.28766,0.62125,0.29824,0.5749,4
0.25945,0.86616,0.89192,0.34183,0.56559,0.78265,0.18283,0.55651,0.96317,0.56594,0.51181,0.17945,0.57917,0.43755,0.092612,0.3424,0.52858,0.033734,5
0.91149,0.4184,0.69994,0.62648,0.52039,0.20996,0.49534,0.21091,0.61121,0.92018,0.78092,0.60192,0.83247,0.69102,0.2849,0.10643,0.49358,0.55614,11
0.26239,0.88175,0.87537,0.34564,0.53172,0.78386,0.18322,0.55549,0.94838,0.5674,0.47776,0.17353,0.59995,0.40373,0.089304,0.34243,0.53885,0.050266,5
0.49862,0.29424,0.87039,0.74243,0.7498,0.17037,0.96552,0.91928,0.45211,0.66811,0.70577,0.55144,0.41723,0.12649,0.078639,0.82598,0.83703,0.2077,21
0.33091,0.5368,0.54243,0.29174,0.24925,0.53822,0.92037,0.3738,0.78952,0.33201,0.91915,0.75321,0.33329,0.62562,0.125,0.37231,0.5418,0.45743,13
0.2511,0.45409,0.12464,0.45094,0.29049,0.50263,0.33015,0.16561,0.63312,0.67835,0.54024,0.20789,0.91288,0.96631,0.54429,0.28854,0.20529,0.62555,22
0.91674,0.41731,0.70796,0.62509,0.49841,0.20854,0.49701,0.20957,0.62131,0.91855,0.79091,0.58604,0.83399,0.70312,0.29098,0.083085,0.49871,0.53905,11
0.14148,0.29921,0.23597,0.30752,0.34235,0.67733,0.652,0.82978,0.3563,0.45279,0.86064,0.019253,0.83625,0.64304,0.95058,0.74779,0.86181,0.58447,2
0.2549,0.45567,0.12906,0.45374,0.29055,0.49922,0.33164,0.17041,0.62708,0.67066,0.54046,0.20723,0.92009,0.96197,0.54431,0.29194,0.21241,0.62827,22
0.63582,0.94032,0.98252,0.4231,0.15232,0.54998,0.89627,0.18784,0.63012,0.42714,0.34367,0.85059,0.033019,0.31165,0.79735,0.010503,0.51192,0.95262,1
0.49743,0.2879,0.87511,0.748,0.74886,0.16279,0.96328,0.92705,0.44975,0.66619,0.70467,0.54436,0.40991,0.1258,0.08075,0.83369,0.83911,0.20883,21
0.91488,0.41599,0.70642,0.62471,0.49866,0.20802,0.49809,0.20877,0.62342,0.92045,0.79176,0.58673,0.83385,0.70728,0.29196,0.083414,0.49893,0.53847,11
0.41452,0.80536,0.32764,0.7382,0.74631,0.65997,0.74642,0.95028,0.027551,0.44723,0.63383,0.11805,0.74553,0.59272,0.85566,0.95827,0.24595,0.4546,7
0.21498,0.72762,0.67267,0.53861,0.65674,0.36346,0.21554,0.3015,0.95936,0.096138,0.23473,0.30101,0.43001,0.035318,0.76106,0.048395,0.94997,0.024827,6
0.32623,0.51444,0.5189,0.27778,0.26723,0.55661,0.90622,0.37856,0.80387,0.31158,0.95118,0.74073,0.34909,0.63597,0.1224,0.38511,0.55549,0.46468,13
0.45824,0.24589,0.20987,0.45613,0.16939,0.84785,0.13412,0.081529,0.96493,0.67282,0.28823,0.341,0.62818,0.21598,0.91843,0.91942,0.67446,0.12485,15
0.29046,0.66795,0.29196,0.58376,0.4177,0.70782,0.66516,0.37542,0.71067,0.084244,0.91688,0.70798,0.54273,0.78674,0.79135,0.49979,0.53785,0.54395,19
0.76083,0.55786,0.75269,0.34986,0.029648,0.96934,0.34577,0.81482,0.68562,0.45493,0.51881,0.25208,0.29065,0.07891,0.20987,0.12829,0.56603,0.053139,3
