@relation overlap_data_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}

@data
0.75554,0.087248,0.72087,10
0.68377,0.12277,0.38453,6
0.13499,0.90954,0.088957,25
0.89976,0.89983,0.21054,7
0.88893,0.51205,0.58665,24
0.31065,0.18828,0.44462,26
0.14436,0.71069,0.035111,16
0.20652,0.29622,0.08944,3
0.012628,0.61448,0.90011,22
0.13446,0.90692,0.088266,25
0.69056,0.11209,0.42395,9
0.19987,0.30036,0.088682,3
0.20205,0.29807,0.087148,3
0.1993,0.72179,0.61174,5
0.19968,0.72159,0.6102,5
0.74492,0.54574,0.62177,23
0.088638,0.15584,0.088778,27
0.57761,0.67741,0.24497,15
0.57569,0.67625,0.24388,15
0.57697,0.67858,0.24551,15
0.19947,0.72171,0.61064,5
0.38836,0.31087,0.9111,28
0.75157,0.090574,0.71944,10
0.45685,0.96588,0.67027,13
0.89903,0.90025,0.21136,7
0.4446,0.3775,0.26754,1
0.44467,0.37764,0.26778,1
0.70402,0.70579,0.10851,14
0.45479,0.96456,0.66795,13
0.31148,0.18818,0.44413,26
0.45633,0.96732,0.66842,13
0.012486,0.61338,0.89989,22
0.19942,0.72122,0.61116,5
0.010772,0.011213,0.51204,4
0.89952,0.90095,0.2104,7
0.75061,0.085205,0.7241,10
0.20017,0.72159,0.61103,5
0.19688,0.30104,0.088446,3
0.49067,0.21406,0.40106,17
0.94818,0.21999,0.56622,12
0.35166,0.58901,0.64129,0
0.20029,0.72264,0.61117,5
0.5774,0.67718,0.24545,15
0.88845,0.51184,0.58829,24
0.19945,0.72192,0.61059,5
0.74579,0.54463,0.62181,23
0.089393,0.15486,0.087897,27
1.0612,0.78356,0.38875,0
0.74294,0.54693,0.62083,23
0.49017,0.21251,0.40043,17
0.010737,0.012012,0.51129,4
0.20025,0.72242,0.61118,5
0.01112,0.010795,0.51079,4
0.14074,0.71268,0.030706,16
0.087994,0.15502,0.086891,27
0.75051,0.090184,0.72051,10
0.75142,0.087042,0.71912,10
0.68419,0.1275,0.37827,6
0.31078,0.18965,0.44455,26
0.44516,0.37763,0.26767,1
0.75467,0.090785,0.71973,10
0.57717,0.67753,0.24401,15
0.26184,0.054213,0.50019,21
0.1325,0.90997,0.09274,25
0.88836,0.51154,0.5867,24
0.30083,0.41052,0.54471,18
0.88045,0.55568,0.62068,19
0.26276,0.043503,0.49775,21
0.45552,0.96648,0.66798,13
0.31075,0.18793,0.44497,26
0.74383,0.54496,0.62403,23
0.44468,0.37753,0.26815,1
0.49066,0.21326,0.40042,17
0.3107,0.18793,0.44428,26
0.68143,0.12616,0.38293,6
0.88203,0.55785,0.62025,19
