@relation overlap_data_5-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}

@data
0.23876,0.7633,0.38232,0.7904,0.4781,0.45443,0.88261,0.26472,0.69357,0.95338,0.16886,0.26217,0.45492,4
0.7799,0.5572,0.17478,0.70314,0.52203,0.21973,0.20975,0.72541,0.50195,0.191,0.17891,0.097878,0.43551,37
0.52255,0.16248,0.3414,0.6055,0.30557,0.78695,0.62322,0.7421,0.2556,0.17155,0.24494,0.64456,0.10121,38
0.92291,0.63204,0.7673,0.56533,0.16262,0.68404,0.91682,0.86871,0.27055,0.83002,0.13721,0.24776,0.96509,36
0.59232,0.97188,0.83954,0.80733,0.61856,0.87674,0.51932,0.97257,0.11933,0.25882,0.23652,0.41709,0.59764,25
0.77144,0.59925,0.34851,0.31852,0.40948,0.35966,0.31686,0.27141,0.79749,0.63782,0.65231,0.40298,0.33291,8
0.21468,0.15966,0.57113,0.60359,0.2208,0.22186,0.41237,0.72408,0.70608,0.17177,0.17091,0.58961,0.35064,21
0.54422,0.332,0.092105,0.33659,0.73327,0.54256,0.84074,0.37332,0.34919,0.73341,0.29231,0.868,0.24805,3
0.50247,0.19082,0.86175,0.067957,0.92806,0.91151,0.42881,0.73925,0.026394,0.85248,0.47708,0.24052,0.66711,12
0.19675,0.26132,0.1979,0.21172,0.99015,0.062815,0.27164,0.40886,0.76934,0.8897,0.50499,0.89621,0.27742,0
0.58458,0.15062,0.33184,0.59108,0.31996,0.82024,0.6383,0.75116,0.23844,0.22865,0.26356,0.6331,0.063908,38
0.50055,0.19229,0.86034,0.072839,0.93338,0.90624,0.43022,0.73884,0.025104,0.85266,0.47488,0.238,0.66615,12
0.42563,0.63968,0.43345,0.90904,0.044909,0.59245,0.33695,0.11544,0.75792,0.073485,0.59471,0.87889,0.45512,32
0.18378,0.29497,0.5481,0.60982,0.12926,0.55626,0.91108,0.37283,0.56927,0.89131,0.61216,0.59477,0.49257,6
0.56145,0.16291,0.32492,0.60855,0.33848,0.7953,0.64114,0.73428,0.24095,0.20475,0.26677,0.64565,0.080304,38
0.56816,0.046111,0.52486,0.59649,0.91979,0.45337,0.71463,0.72356,0.89903,0.33709,0.17726,0.14324,0.47836,0
0.5892,0.25589,0.3299,0.58518,0.36078,0.83631,0.5985,0.76227,0.25138,0.1908,0.29898,0.67425,0.078703,38
0.95163,0.82927,0.52647,0.12021,0.49423,0.90003,0.78758,0.18545,0.85993,0.9344,0.54204,0.043292,0.12403,15
0.76274,0.59525,0.35421,0.31489,0.40337,0.35479,0.30769,0.28365,0.80882,0.64333,0.6408,0.40394,0.33107,8
0.56483,0.32855,0.10832,0.32458,0.7372,0.55331,0.82819,0.39449,0.32325,0.73839,0.28533,0.86179,0.23583,3
0.59613,0.21188,0.71532,0.92836,0.50008,0.71493,0.64504,0.75838,0.42754,0.045963,0.32987,0.7635,0.14351,13
0.49153,0.28627,0.47428,0.94647,0.38077,0.35583,0.85569,0.50213,0.49661,0.23593,0.4355,0.71582,0.95158,26
0.82874,0.67674,0.37744,0.65539,0.59435,0.87608,0.19791,0.26888,0.20845,0.49326,0.30357,0.54533,0.91053,17
0.81088,0.3319,0.83413,0.6378,0.66488,0.95013,0.66445,0.92598,0.80754,0.35603,0.23891,0.37631,0.45372,34
0.72545,0.89073,0.95816,0.3585,0.11518,0.42394,0.95159,0.023109,0.56801,0.89408,0.18691,0.67593,0.97738,7
0.19109,0.38312,0.85777,0.92984,0.71257,0.4015,0.16637,0.54697,0.92938,0.14408,0.069223,0.022007,0.95535,14
0.50173,0.71139,0.38305,0.8806,0.16576,0.64046,0.54942,0.52681,0.4779,0.64532,0.61977,0.69218,0.83388,24
0.60429,0.21554,0.71395,0.92099,0.49729,0.70427,0.63727,0.76286,0.4253,0.047063,0.3213,0.77023,0.14076,13
0.42582,0.63512,0.43497,0.90844,0.049659,0.59698,0.33122,0.12242,0.76704,0.074588,0.59768,0.8796,0.45482,32
0.26107,0.9279,0.38077,0.47508,0.83393,0.71256,0.74171,0.02372,0.23809,0.4052,0.83309,0.42681,0.40609,5
0.54791,0.33696,0.12777,0.33754,0.74841,0.54819,0.84478,0.38429,0.36379,0.75842,0.28297,0.87328,0.23027,3
0.26524,0.96674,0.38349,0.46153,0.8119,0.69084,0.72821,0.014853,0.21789,0.37416,0.82444,0.42486,0.40655,5
0.35598,0.73564,0.37955,0.21139,0.61995,0.54855,0.37868,0.42685,0.35807,0.92593,0.024483,0.30641,0.57025,11
0.35863,0.74163,0.38316,0.21342,0.61855,0.55191,0.38282,0.4246,0.35706,0.92991,0.02452,0.31254,0.57086,11
0.21815,0.90044,0.38592,0.44001,0.8474,0.72583,0.7467,-0.0022004,0.22287,0.39479,0.82898,0.4147,0.39452,5
0.57756,0.65616,0.56444,0.054071,0.45612,0.7044,0.35156,0.69219,0.16928,0.63527,0.54961,0.96451,0.60009,10
0.83976,0.88274,0.26465,0.81102,0.98236,0.66992,0.4551,0.64612,0.86477,0.71609,0.88543,0.97749,0.48013,28
0.9345,0.62075,0.78219,0.58391,0.17559,0.69185,0.9254,0.88103,0.26824,0.83295,0.14814,0.24304,0.98084,36
0.36609,0.076817,0.89306,0.27704,0.79152,0.076476,0.47461,0.21678,0.91695,0.42514,0.094356,0.010329,0.13629,30
0.83836,0.88322,0.26467,0.81066,0.9838,0.6716,0.45486,0.64601,0.86101,0.71719,0.88517,0.97832,0.47921,28
0.59361,0.20472,0.72784,0.93065,0.49774,0.7116,0.64175,0.76934,0.4293,0.045332,0.33628,0.77027,0.14174,13
0.20402,0.3849,0.84761,0.92247,0.70252,0.40264,0.18747,0.54252,0.92915,0.14628,0.067697,0.032767,0.96132,14
0.33839,0.15377,0.37897,0.81589,0.66721,0.077363,0.56276,0.055212,0.48928,0.80763,0.93154,0.25166,0.85812,9
0.045255,0.14337,0.18994,0.83277,0.57065,0.43207,0.14704,0.1891,0.81235,0.072395,0.81605,0.5975,0.14296,39
