@relation overlap_data_6-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13}

@data
0.16002,0.73265,0.58373,0.16484,0.79705,0.54623,0.1634,0.96905,0.76068,0.67526,0.092708,0.89115,0.20753,0.92139,0.040917,0.21267,0.43312,4
0.12853,0.24499,0.70902,0.75338,0.41266,0.75138,0.25528,0.70677,0.29511,0.081915,0.75358,0.20802,0.12708,0.74869,0.91434,0.66516,0.49887,2
0.75413,0.46223,0.79059,0.78923,0.12414,0.83196,0.12502,0.5426,0.83159,0.087932,0.63369,0.21587,0.54949,0.87371,0.36884,0.21206,0.21139,6
0.25167,0.45424,0.50823,0.83354,0.25264,0.74194,0.29504,0.58924,0.82641,0.54739,0.75016,0.12399,0.20817,0.25257,0.9164,0.16031,0.41752,7
0.24836,0.45689,0.51136,0.83302,0.25151,0.74253,0.29319,0.58719,0.82141,0.54454,0.75699,0.12099,0.21341,0.24739,0.91641,0.1689,0.41912,7
0.56393,0.21346,0.11597,0.48079,0.50204,0.041578,0.71139,0.52431,0.03154,0.6943,0.90578,0.3683,0.46592,0.73517,0.20798,0.95197,0.55044,9
0.46215,0.24359,0.7987,0.20023,0.20456,0.16257,0.71418,0.59078,0.66754,0.78529,0.17452,0.53905,0.24646,0.92675,0.29517,0.41448,0.58401,13
0.5047,0.50875,0.90815,0.50325,0.12477,0.5075,0.49846,0.78888,0.29416,0.16688,0.61677,0.53446,0.20113,0.73861,0.41616,0.24808,0.24657,10
0.50467,0.50225,0.91426,0.49904,0.12694,0.50295,0.50479,0.79042,0.2947,0.1638,0.62002,0.53908,0.21061,0.73735,0.41295,0.24921,0.25242,10
0.24846,0.4561,0.51332,0.83799,0.24515,0.74637,0.29083,0.58855,0.82443,0.5477,0.7583,0.12602,0.20358,0.24841,0.908,0.16595,0.4173,7
