@relation overlap_data_7-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11}

@data
0.60697,0.18248,0.3651,0.96992,0.21289,0.48562,0.54675,0.66766,0.63647,0.51512,0.51651,0.061225,0.39584,0.21397,11
0.87323,0.137,0.70951,0.089522,0.8443,0.56453,0.90689,0.29643,0.24652,0.49965,0.38126,0.82085,0.37634,0.56705,2
0.53754,0.148,0.61438,0.904,0.16544,0.31708,0.25914,0.34798,0.54222,0.90938,0.77932,0.23114,0.0069209,0.24167,3
0.78602,0.60569,0.94776,0.15446,0.058842,0.36174,0.20813,0.12456,0.15335,0.33923,0.30114,0.27795,0.3309,0.72459,1
0.57273,0.5897,0.88891,0.57455,0.84428,0.6417,0.80705,0.54689,0.80985,0.86842,0.73983,0.06468,0.23851,0.42487,9
0.58238,0.11368,0.69731,0.84197,0.24454,0.37288,0.12367,0.37516,0.62888,0.972,0.7514,0.32575,0.052622,0.12012,3
0.05662,0.12784,0.67106,0.78309,0.17513,0.37426,0.63851,0.87589,0.97761,0.30853,0.38673,0.33142,0.39979,0.48992,5
0.60749,0.1819,0.3652,0.96987,0.21356,0.48621,0.54659,0.66818,0.637,0.51517,0.51745,0.061099,0.39484,0.21459,11
0.60717,0.18212,0.36537,0.97025,0.21301,0.48586,0.54698,0.66847,0.63641,0.51498,0.51715,0.061249,0.39512,0.21357,11
0.84617,0.18268,0.63155,0.15083,0.87939,0.57873,0.85286,0.368,0.27269,0.48461,0.42298,0.82039,0.39449,0.57846,2
0.24983,0.29631,0.63972,0.50539,0.19255,0.58724,0.47941,0.064238,0.53407,0.94283,0.82251,0.78812,0.5463,0.6361,4
0.054768,0.11646,0.67317,0.79745,0.18767,0.35454,0.62838,0.8752,0.963,0.299,0.38844,0.33883,0.3905,0.49237,5
0.57175,0.57573,0.8793,0.58421,0.84918,0.66638,0.79425,0.54634,0.82392,0.84681,0.75192,0.060335,0.23793,0.44782,9
0.60716,0.18187,0.36445,0.96981,0.21271,0.48581,0.54643,0.66842,0.63675,0.51525,0.51673,0.062363,0.39489,0.21446,11
0.60664,0.1837,0.36467,0.97056,0.21279,0.48573,0.54613,0.66765,0.63725,0.51492,0.51627,0.061402,0.3962,0.21325,11
0.60635,0.18227,0.36465,0.96968,0.21304,0.48638,0.54646,0.66875,0.63698,0.51567,0.51628,0.061694,0.39533,0.21389,11
0.83335,0.11775,0.71578,0.18361,0.8413,0.54845,0.82145,0.48569,0.28393,0.44355,0.45447,0.87327,0.35357,0.56523,2
0.6452,0.85321,0.10722,0.63793,0.089166,0.13844,0.27698,0.64899,0.69823,0.7084,0.67003,0.82249,0.56787,0.15401,6
0.5829,0.57182,0.90903,0.60701,0.84427,0.66444,0.75777,0.52965,0.83466,0.85593,0.75,0.073563,0.24913,0.45943,9
0.60743,0.18259,0.36517,0.97045,0.21264,0.48613,0.54619,0.66821,0.63686,0.51549,0.51644,0.062403,0.39524,0.21409,11
0.60687,0.18219,0.3655,0.96956,0.21425,0.48604,0.54671,0.66788,0.63676,0.51535,0.51828,0.061441,0.39547,0.21431,11
0.64352,0.84286,0.1227,0.64046,0.10462,0.15048,0.2641,0.67098,0.6911,0.69579,0.65217,0.82111,0.58603,0.15286,6
0.57219,0.56478,0.88528,0.60907,0.85055,0.67378,0.80153,0.52608,0.81178,0.84942,0.74046,0.060122,0.23285,0.45563,9
0.79377,0.60868,0.9455,0.14862,0.056701,0.36211,0.21158,0.11894,0.14979,0.3401,0.30588,0.27168,0.33216,0.72159,1
0.79418,0.60249,0.95042,0.15053,0.057759,0.36369,0.2127,0.12226,0.1501,0.33448,0.30184,0.27443,0.33463,0.72434,1
0.27039,0.56918,0.54352,0.93896,0.64212,0.64558,0.35622,0.52134,0.21657,0.41878,0.74949,0.5743,0.92467,0.36859,7
0.23452,0.28818,0.64588,0.5072,0.16902,0.57255,0.4813,0.070474,0.5434,0.93205,0.82241,0.79349,0.53656,0.6268,4
0.24498,0.30136,0.63768,0.50438,0.1922,0.59276,0.49152,0.058986,0.53466,0.94639,0.81838,0.78737,0.5427,0.63835,4
0.60723,0.1827,0.36595,0.97004,0.21349,0.48607,0.54649,0.66792,0.63664,0.51485,0.51616,0.061907,0.39525,0.21332,11
0.60708,0.1822,0.36552,0.97045,0.21357,0.48555,0.54679,0.66924,0.63774,0.51504,0.51661,0.061799,0.39557,0.21372,11
0.79271,0.61047,0.94862,0.14973,0.063623,0.36346,0.21581,0.11958,0.15021,0.33207,0.30051,0.27445,0.32794,0.7251,1
0.26003,0.27423,0.63378,0.511,0.17481,0.60172,0.4844,0.050217,0.55494,0.93949,0.83065,0.78833,0.54539,0.63881,4
0.28732,0.44875,0.18522,0.77761,1.0285,0.85912,0.025436,0.89828,1.0856,0.62879,0.71136,1.1132,0.77621,0.85081,0
0.79684,0.16688,0.58864,0.13651,0.86132,0.62203,0.81365,0.35143,0.25488,0.47963,0.45686,0.80423,0.365,0.60064,2
0.78601,0.604,0.94451,0.14858,0.06249,0.36351,0.21462,0.12452,0.15404,0.33193,0.30142,0.2775,0.33543,0.72248,1
0.2776,0.57349,0.54462,0.93323,0.63357,0.63148,0.35804,0.52023,0.20759,0.43175,0.7525,0.5749,0.93654,0.36134,7
0.25852,0.31496,0.63988,0.52668,0.17389,0.5757,0.47475,0.069642,0.52994,0.94577,0.80897,0.80305,0.53659,0.62972,4
0.28095,0.57054,0.54377,0.94877,0.63041,0.63014,0.36759,0.52384,0.21548,0.43087,0.74553,0.57297,0.92883,0.36999,7
1.1348,0.032315,0.52153,0.12205,0.030843,0.72743,0.14952,0.49641,0.82998,0.53789,0.21035,0.54964,0.89113,0.46747,0
0.83723,0.20452,0.64352,0.16242,0.90209,0.59038,0.88491,0.35681,0.27173,0.4888,0.41569,0.83554,0.38709,0.56576,2
0.035964,0.51476,0.43233,0.24002,0.70107,0.4921,0.39884,0.54912,0.89843,0.7851,0.28583,0.43142,0.59023,0.66408,0
0.60712,0.18194,0.36518,0.96975,0.21291,0.48659,0.54644,0.66765,0.63744,0.51494,0.51638,0.062122,0.39467,0.21407,11
0.56287,0.58775,0.88333,0.59777,0.85452,0.64285,0.77234,0.55787,0.80146,0.86365,0.74045,0.062811,0.24329,0.43288,9
0.070923,0.11447,0.6628,0.78388,0.18689,0.37014,0.64007,0.87682,0.97952,0.3004,0.39456,0.33104,0.40156,0.49594,5
0.26939,0.58199,0.55359,0.9351,0.62707,0.64086,0.35909,0.51126,0.20332,0.43306,0.76146,0.5704,0.93766,0.35996,7
0.53997,0.0068507,0.6664,0.8995,0.18743,0.28913,0.1204,0.41438,0.59104,0.90027,0.77031,0.27098,0.001208,0.2202,3
0.56896,0.56546,0.87171,0.57754,0.83796,0.65162,0.79843,0.55475,0.83014,0.84101,0.7362,0.061505,0.23854,0.43594,9
0.60708,0.18202,0.36554,0.97009,0.21363,0.48612,0.5464,0.66776,0.63748,0.51494,0.51662,0.061459,0.39612,0.21376,11
