@relation overlap_data_9-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}

@data
0.55146,0.17423,0.60715,0.34129,17
0.64734,0.17961,0.35086,0.22903,24
0.26695,0.42753,0.2856,0.80014,22
0.41011,0.067184,0.21955,0.028953,9
0.20018,0.31289,0.5818,0.84878,15
0.064918,0.25921,0.90294,0.82879,14
0.65729,0.86655,0.31421,0.98962,13
0.83514,0.29991,0.026333,0.4464,4
0.90321,0.45525,0.66105,0.11074,5
0.26651,0.42777,0.2857,0.80022,22
0.11392,0.28446,0.94079,0.046628,26
0.94371,0.4197,0.66621,0.75694,8
0.40999,0.067338,0.21981,0.028725,9
0.37236,0.22911,0.50441,0.53179,20
0.74179,0.44724,0.18014,0.87688,6
0.37149,0.22871,0.50499,0.53307,20
0.26704,0.42654,0.285,0.80078,22
0.53299,0.95022,0.0466,0.96327,7
0.58094,0.68565,0.9714,0.32373,16
0.65715,0.86653,0.31419,0.98976,13
0.74209,0.44796,0.18048,0.87656,6
0.74271,0.44687,0.18197,0.87626,6
0.40989,0.067424,0.21989,0.028854,9
0.066088,0.25655,0.90466,0.82939,14
0.94479,0.4198,0.66824,0.76406,8
0.5808,0.68598,0.97079,0.32337,16
0.19865,0.31297,0.5793,0.84681,15
0.26678,0.42667,0.28812,0.79807,22
0.40945,0.80199,0.40048,0.70404,19
0.06628,0.25561,0.90412,0.82896,14
0.19847,0.31307,0.58161,0.8481,15
0.1348,0.56071,0.70693,0.26495,21
0.65719,0.86659,0.31418,0.98988,13
0.40846,0.80072,0.40051,0.70385,19
0.90239,0.45645,0.65581,0.1118,5
0.65764,0.20981,0.40964,0.54904,25
0.63787,0.8277,0.1404,0.51357,2
0.0087167,0.73039,0.44293,0.80212,0
0.74304,0.44707,0.18003,0.87588,6
0.79122,0.79188,0.27005,0.22244,12
0.5506,0.16679,0.60794,0.34138,17
0.20062,0.31458,0.58246,0.84856,15
0.64726,0.1813,0.35198,0.22876,24
0.13345,0.56275,0.70445,0.26648,21
0.26846,0.42873,0.28617,0.79981,22
0.19947,1.1188,0.13806,0.95991,0
0.5585,0.59048,0.72159,0.50056,1
0.54873,0.16971,0.61159,0.34183,17
0.40979,0.067087,0.21992,0.028947,9
