@relation sequential_data_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute class {0,1,2,3}

@data
0.87127,0.26534,0.93204,0.39896,0.40355,0.46598,0.86354,0.59831,0.46601,0.53626,0.86457,0.53364,1
0.87208,0.26539,0.92815,0.40315,0.40332,0.46526,0.86771,0.59855,0.46602,0.53343,0.8639,0.52998,1
0.87255,0.26463,0.93138,0.40266,0.39902,0.46594,0.86361,0.59802,0.46923,0.53595,0.8684,0.5336,1
0.87276,0.26482,0.928,0.39871,0.39987,0.4663,0.86364,0.5955,0.46589,0.53178,0.86426,0.53149,1
0.87283,0.2648,0.93115,0.40156,0.40241,0.46556,0.86656,0.60256,0.4686,0.5333,0.86921,0.53498,1
0.87223,0.26967,0.92745,0.39845,0.4048,0.46933,0.86415,0.59756,0.46448,0.53605,0.86386,0.53118,1
0.87199,0.26486,0.92866,0.39836,0.399,0.46476,0.868,0.59841,0.46952,0.53352,0.86764,0.53466,1
0.86881,0.26778,0.92662,0.40224,0.40024,0.46448,0.86725,0.59817,0.46601,0.53747,0.86957,0.53616,1
0.86807,0.26897,0.93145,0.4053,0.39994,0.46875,0.86646,0.60308,0.46583,0.53317,0.86901,0.53351,1
0.86869,0.26523,0.93286,0.39819,0.39889,0.4663,0.86431,0.60117,0.46817,0.53587,0.86403,0.53535,1
0.87203,0.26393,0.92885,0.39836,0.40027,0.46562,0.863,0.60392,0.46806,0.53322,0.86811,0.53364,1
0.86901,0.26919,0.92877,0.40121,0.39931,0.46499,0.86431,0.59785,0.46521,0.53605,0.86474,0.5352,1
0.87159,0.26532,0.92841,0.39876,0.40344,0.46913,0.86176,0.60323,0.46919,0.53644,0.86745,0.53355,1
0.87137,0.26465,0.9285,0.4016,0.40338,0.46905,0.8639,0.59653,0.46573,0.53296,0.86519,0.53131,1
0.87123,0.2684,0.92884,0.39875,0.39984,0.46542,0.86769,0.59796,0.46581,0.53332,0.86832,0.53059,1
0.86573,0.26759,0.93182,0.39866,0.40271,0.46924,0.86372,0.5975,0.46904,0.53344,0.86363,0.53012,1
0.86902,0.2637,0.93178,0.39869,0.39828,0.46881,0.8633,0.59825,0.4682,0.53341,0.86867,0.53386,1
0.86909,0.26958,0.92668,0.40113,0.40267,0.46916,0.86333,0.59806,0.46921,0.53374,0.86405,0.52943,1
0.86917,0.26491,0.9274,0.4018,0.4003,0.46593,0.86722,0.6022,0.46509,0.53597,0.86442,0.53108,1
0.86877,0.26866,0.92713,0.40107,0.40442,0.4651,0.86802,0.60255,0.46533,0.53338,0.86444,0.534,1
0.87196,0.26893,0.93129,0.40253,0.39922,0.466,0.8673,0.59896,0.46501,0.53636,0.86513,0.53368,1
0.87287,0.26489,0.93237,0.39876,0.40009,0.46961,0.86433,0.59878,0.46934,0.53293,0.86466,0.53021,1
0.86767,0.26541,0.92875,0.40165,0.40438,0.46895,0.86376,0.60148,0.46573,0.53252,0.86451,0.53439,1
0.87175,0.26793,0.92754,0.39832,0.40009,0.46535,0.86638,0.59783,0.46233,0.53304,0.87106,0.53615,1
0.86905,0.26785,0.92797,0.40101,0.39964,0.46882,0.86423,0.59818,0.46867,0.5358,0.86415,0.5311,1
0.86843,0.26978,0.92887,0.39789,0.39904,0.47003,0.86846,0.59844,0.47074,0.53192,0.86484,0.53472,1
0.86693,0.26323,0.93188,0.40184,0.39979,0.46582,0.8628,0.5981,0.46925,0.5363,0.86487,0.53365,1
0.86738,0.26831,0.92724,0.39632,0.39912,0.46994,0.86775,0.60208,0.46978,0.53587,0.86875,0.52973,1
0.86808,0.26465,0.93266,0.39826,0.40307,0.46853,0.86417,0.60235,0.46826,0.53643,0.86861,0.53066,1
0.87181,0.26528,0.92883,0.40227,0.40028,0.46576,0.868,0.59729,0.46805,0.53092,0.86876,0.5337,1
0.87145,0.27017,0.92718,0.40142,0.40305,0.46524,0.86681,0.59815,0.46935,0.53665,0.86146,0.53127,1
0.86839,0.26852,0.92683,0.39877,0.39899,0.46946,0.86811,0.60253,0.46847,0.53658,0.8675,0.53074,1
0.86834,0.26836,0.92873,0.40116,0.3986,0.46846,0.8642,0.60117,0.46479,0.53582,0.86506,0.53118,1
0.86801,0.26754,0.9271,0.39879,0.40237,0.471,0.86317,0.59879,0.46568,0.5336,0.86425,0.53071,1
0.87147,0.26539,0.93239,0.40122,0.40238,0.46609,0.86261,0.59763,0.46588,0.53853,0.86345,0.53351,1
0.86886,0.26384,0.93232,0.39855,0.39952,0.4661,0.86696,0.60133,0.46587,0.53289,0.86796,0.53359,1
0.86876,0.26755,0.92846,0.39769,0.39857,0.46549,0.86418,0.5979,0.46559,0.53632,0.86949,0.53424,1
0.86898,0.26848,0.92801,0.39742,0.40006,0.47078,0.86928,0.59778,0.47046,0.53281,0.8639,0.53109,1
0.87225,0.2684,0.93109,0.40231,0.40039,0.46615,0.86362,0.60102,0.46864,0.53273,0.86513,0.53383,1
0.86902,0.26779,0.92843,0.40112,0.39896,0.46902,0.86296,0.60106,0.46838,0.5328,0.86921,0.53142,1
0.8713,0.26906,0.93151,0.4012,0.39958,0.46465,0.86332,0.6011,0.46478,0.5334,0.86419,0.52985,1
0.87194,0.26889,0.92738,0.39864,0.4,0.46937,0.8677,0.59775,0.4687,0.53595,0.86818,0.53362,1
0.87347,0.26491,0.93145,0.39891,0.40329,0.46624,0.86752,0.60165,0.46807,0.5334,0.86446,0.53133,1
0.86913,0.26481,0.92848,0.39738,0.39918,0.46589,0.86637,0.6022,0.46886,0.53298,0.86811,0.53001,1
0.86654,0.26423,0.92773,0.39702,0.40255,0.46962,0.86382,0.60202,0.4683,0.53887,0.86474,0.53053,1
0.87158,0.26514,0.92871,0.39776,0.40023,0.46624,0.86714,0.59888,0.46872,0.53582,0.86418,0.53562,1
0.8682,0.26777,0.93146,0.39891,0.40345,0.4694,0.86654,0.59857,0.46445,0.53285,0.86458,0.53103,1
0.8691,0.2676,0.92759,0.40125,0.39956,0.46401,0.86719,0.60124,0.46496,0.53686,0.86351,0.53441,1
0.21064,0.58105,0.76526,0.063056,0.63947,0.45681,0.11614,0.87518,0.067873,0.16577,0.14471,0.65301,0
0.86878,0.2687,0.9313,0.40331,0.39936,0.46861,0.86303,0.6039,0.46591,0.5393,0.8649,0.53373,1
0.87223,0.26532,0.92848,0.39894,0.40011,0.46911,0.86361,0.5983,0.46546,0.53654,0.86417,0.5313,1
0.86868,0.26497,0.92885,0.39867,0.40252,0.46903,0.86672,0.59898,0.46843,0.5362,0.86483,0.53082,1
0.87239,0.2675,0.9313,0.40297,0.39994,0.46858,0.86644,0.60196,0.46973,0.53343,0.86824,0.53485,1
0.8667,0.26437,0.93309,0.40173,0.39973,0.46867,0.86422,0.59894,0.46936,0.5337,0.86431,0.53039,1
0.87183,0.26531,0.92857,0.40219,0.4028,0.46852,0.86299,0.5987,0.46487,0.53246,0.86378,0.53133,1
0.86895,0.26458,0.92598,0.40175,0.39974,0.46582,0.86768,0.59838,0.46887,0.53752,0.86475,0.53034,1
0.87196,0.26973,0.92866,0.40112,0.40256,0.46577,0.86374,0.59593,0.46502,0.53754,0.86496,0.53095,1
0.86705,0.26769,0.92841,0.40307,0.40302,0.46873,0.86342,0.59836,0.46825,0.53182,0.86477,0.53121,1
0.86906,0.26514,0.93323,0.3983,0.40446,0.46906,0.8673,0.60243,0.46832,0.53686,0.86722,0.5336,1
0.86841,0.26762,0.92885,0.40431,0.39868,0.46533,0.86845,0.60278,0.46289,0.53262,0.86766,0.52934,1
0.86867,0.26806,0.93213,0.40225,0.39992,0.46632,0.86349,0.59892,0.46526,0.5326,0.86849,0.53135,1
0.86905,0.26517,0.93139,0.39882,0.40261,0.46844,0.86757,0.59839,0.46577,0.53651,0.86509,0.53078,1
0.86832,0.26394,0.92529,0.39773,0.40328,0.46864,0.86311,0.59811,0.46606,0.53594,0.86503,0.53003,1
0.86872,0.2702,0.93272,0.40255,0.39885,0.46882,0.8667,0.59765,0.46856,0.53616,0.86851,0.53556,1
0.8692,0.26493,0.93131,0.4016,0.40317,0.46865,0.86276,0.60174,0.46808,0.53244,0.86763,0.53404,1
0.87156,0.26755,0.92793,0.40128,0.40002,0.47022,0.86413,0.60155,0.4686,0.53682,0.86462,0.53389,1
0.86909,0.26807,0.92804,0.40131,0.39811,0.46493,0.86315,0.60129,0.46851,0.53252,0.8651,0.53375,1
0.87153,0.26815,0.92855,0.39729,0.39795,0.46882,0.86813,0.60152,0.46582,0.53369,0.86753,0.53011,1
0.86891,0.2648,0.92866,0.39889,0.39937,0.47069,0.86422,0.60152,0.46916,0.53593,0.86925,0.53089,1
0.87121,0.26529,0.93136,0.40121,0.39964,0.46962,0.86723,0.60169,0.46851,0.53583,0.86778,0.53046,1
0.86913,0.26543,0.93177,0.40108,0.40388,0.46903,0.86351,0.60199,0.46408,0.53336,0.86813,0.53375,1
0.87372,0.26516,0.92867,0.39704,0.39752,0.46917,0.86669,0.60101,0.46596,0.53274,0.86792,0.53559,1
0.86811,0.26372,0.92731,0.39858,0.40251,0.46525,0.86655,0.59871,0.46443,0.53634,0.86498,0.5357,1
0.86717,0.26508,0.92866,0.40293,0.40338,0.46608,0.86303,0.59844,0.46397,0.53054,0.8645,0.53535,1
0.86888,0.268,0.93126,0.40212,0.40699,0.46958,0.86373,0.59886,0.46824,0.53747,0.8651,0.53117,1
0.8713,0.26447,0.93262,0.39853,0.4025,0.46434,0.86715,0.59844,0.46533,0.53222,0.86468,0.53357,1
0.8728,0.26433,0.93241,0.40107,0.40324,0.46892,0.86433,0.59776,0.46604,0.53599,0.86751,0.53357,1
0.87156,0.26854,0.92856,0.3983,0.40252,0.46533,0.86648,0.60129,0.4655,0.53627,0.86428,0.53417,1
