@relation sequential_data_12-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute class {0,1,2,3}

@data
0.95504,0.95568,0.47873,0.57508,0.8658,0.96023,0.57426,0.71653,1
0.95487,0.95551,0.4795,0.57193,0.86658,0.96019,0.57313,0.7162,1
0.95261,0.95797,0.47855,0.5736,0.86765,0.96207,0.57356,0.71735,1
0.95509,0.95872,0.47876,0.57379,0.86637,0.96089,0.57344,0.71715,1
0.95323,0.95656,0.47829,0.57332,0.86717,0.9575,0.57428,0.7163,1
0.95392,0.95613,0.47923,0.57374,0.86647,0.95899,0.57629,0.71632,1
0.95359,0.957,0.47866,0.57239,0.86863,0.95864,0.57456,0.71643,1
0.95564,0.95723,0.47828,0.57477,0.86705,0.95922,0.57353,0.71786,1
0.95232,0.95558,0.47784,0.57426,0.86782,0.95879,0.57374,0.71671,1
0.95288,0.95563,0.47917,0.57459,0.86592,0.95751,0.57453,0.71612,1
0.9549,0.95742,0.47779,0.57398,0.86778,0.96001,0.57531,0.71542,1
0.95264,0.95564,0.48061,0.57614,0.86798,0.95818,0.5743,0.71571,1
0.9526,0.95686,0.48089,0.57432,0.868,0.9574,0.57423,0.71793,1
0.95287,0.95687,0.48209,0.5722,0.86569,0.95796,0.57495,0.71571,1
0.95325,0.958,0.47932,0.57485,0.86703,0.95962,0.57257,0.71598,1
0.95434,0.95558,0.47874,0.57526,0.86579,0.95919,0.57459,0.71621,1
0.95505,0.95665,0.47903,0.57451,0.86551,0.961,0.57449,0.7159,1
0.953,0.957,0.47826,0.57419,0.86577,0.95889,0.57246,0.71527,1
0.95589,0.95713,0.47939,0.57297,0.86522,0.96015,0.57558,0.7153,1
0.95381,0.95716,0.47855,0.57387,0.86474,0.95956,0.57175,0.71808,1
0.95373,0.95605,0.47748,0.57269,0.86797,0.95828,0.57467,0.71635,1
0.95297,0.95726,0.47814,0.5754,0.86548,0.96187,0.5763,0.7205,1
0.95337,0.95564,0.48088,0.5772,0.86855,0.95914,0.57422,0.71711,1
0.95485,0.9561,0.48114,0.5744,0.86462,0.96089,0.57379,0.71626,1
0.95261,0.95621,0.47881,0.57301,0.866,0.95966,0.57426,0.71618,1
0.95389,0.95657,0.47928,0.57631,0.86661,0.96285,0.57258,0.71699,1
0.95352,0.95689,0.47914,0.57673,0.8703,0.96226,0.57367,0.71754,1
0.95393,0.9553,0.4782,0.57497,0.86826,0.95837,0.57579,0.71704,1
0.9531,0.95605,0.48122,0.5719,0.86959,0.95903,0.5744,0.71601,1
0.95322,0.9587,0.47925,0.57366,0.86451,0.9612,0.57765,0.71587,1
0.95301,0.95721,0.47913,0.57429,0.86579,0.95881,0.57342,0.71703,1
0.9529,0.95693,0.48143,0.57354,0.86678,0.95865,0.57329,0.71626,1
0.95536,0.95648,0.47882,0.57301,0.8689,0.95897,0.57303,0.71708,1
0.95376,0.95585,0.48355,0.57388,0.86629,0.95629,0.57324,0.71628,1
0.95312,0.95493,0.47857,0.5724,0.8675,0.95897,0.57287,0.71661,1
0.95375,0.95779,0.48061,0.5744,0.86573,0.95825,0.57522,0.71593,1
0.9531,0.95691,0.4811,0.57157,0.86869,0.95645,0.57435,0.7155,1
0.95324,0.95711,0.47824,0.57611,0.86344,0.95848,0.57281,0.71607,1
0.95412,0.95709,0.47757,0.57268,0.86692,0.9599,0.5758,0.71643,1
0.95355,0.95608,0.47809,0.57759,0.86957,0.95969,0.57375,0.71719,1
0.95256,0.95603,0.47932,0.57298,0.86429,0.96055,0.57629,0.7159,1
0.95286,0.95732,0.47838,0.57535,0.86558,0.95881,0.57373,0.71937,1
0.95279,0.95609,0.47957,0.5718,0.86547,0.95725,0.57593,0.71755,1
0.81618,0.44752,0.3673,0.90121,0.48,0.90702,0.14202,0.44049,0
0.95243,0.95579,0.48179,0.57387,0.86758,0.9573,0.57359,0.71587,1
0.95279,0.95677,0.47884,0.57214,0.86526,0.95903,0.57497,0.71524,1
0.95339,0.95598,0.48055,0.57283,0.86526,0.95876,0.57268,0.71636,1
0.95305,0.95829,0.47905,0.57393,0.86453,0.96009,0.57458,0.71617,1
0.95446,0.95728,0.48161,0.57355,0.86708,0.96081,0.57389,0.71746,1
0.9537,0.95534,0.47913,0.57166,0.86509,0.95888,0.57404,0.71642,1
0.95316,0.95677,0.47878,0.57225,0.86871,0.96192,0.573,0.71659,1
0.95356,0.95562,0.48144,0.57205,0.86707,0.95987,0.57404,0.71541,1
0.95334,0.95693,0.47835,0.57217,0.86778,0.95924,0.57452,0.71741,1
0.95254,0.95565,0.47972,0.57438,0.86497,0.9578,0.57372,0.71594,1
0.9532,0.95617,0.47816,0.57302,0.86833,0.96087,0.57358,0.71526,1
0.95513,0.95546,0.48134,0.5757,0.86774,0.95993,0.57364,0.71592,1
0.95356,0.95882,0.47997,0.5742,0.86461,0.95851,0.57376,0.71543,1
0.95551,0.95616,0.47997,0.57527,0.87192,0.95932,0.57465,0.71609,1
0.95404,0.95533,0.47926,0.57296,0.86488,0.95928,0.57293,0.71794,1
0.95303,0.95641,0.47975,0.57243,0.86513,0.95968,0.57298,0.71624,1
0.95418,0.95653,0.47894,0.57447,0.86548,0.95828,0.57624,0.71766,1
0.95365,0.95678,0.47953,0.57314,0.86586,0.9588,0.57381,0.71658,1
0.95412,0.95694,0.47992,0.5742,0.86816,0.9572,0.5738,0.7156,1
0.95329,0.95585,0.48052,0.57257,0.86551,0.95663,0.57574,0.71535,1
0.95268,0.95647,0.48314,0.57439,0.86693,0.95875,0.57419,0.71592,1
0.95306,0.95708,0.482,0.57489,0.8645,0.96245,0.57302,0.71577,1
0.95301,0.95648,0.48109,0.57363,0.86767,0.96084,0.57484,0.71676,1
0.9545,0.95679,0.47755,0.57129,0.86736,0.95807,0.5738,0.7152,1
0.95404,0.95658,0.4797,0.57416,0.8661,0.96083,0.57456,0.71591,1
0.95373,0.95548,0.47859,0.57327,0.86603,0.95868,0.57528,0.71859,1
0.95306,0.95576,0.48028,0.57253,0.86628,0.95791,0.57341,0.71558,1
0.95294,0.95575,0.47793,0.57143,0.8675,0.96014,0.57406,0.71618,1
0.95252,0.95714,0.48095,0.57261,0.86443,0.96067,0.57521,0.71573,1
0.9538,0.95704,0.4801,0.5728,0.86682,0.96158,0.57398,0.71619,1
0.95329,0.95613,0.47858,0.57319,0.86416,0.96173,0.57235,0.71509,1
0.95238,0.95578,0.47896,0.57321,0.86641,0.95922,0.57444,0.71613,1
0.953,0.95548,0.48008,0.57416,0.86615,0.96043,0.57539,0.71697,1
0.95349,0.95599,0.47917,0.57558,0.86968,0.96146,0.5728,0.71664,1
0.95277,0.95648,0.48022,0.5727,0.86652,0.96406,0.5741,0.71547,1
0.9535,0.95735,0.48197,0.57422,0.86623,0.95781,0.57463,0.71651,1
0.95337,0.95672,0.48048,0.57448,0.86657,0.96226,0.57443,0.71563,1
0.95259,0.9551,0.48081,0.57615,0.86501,0.95742,0.57412,0.7156,1
0.9564,0.95752,0.47925,0.57462,0.86513,0.95879,0.57325,0.71529,1
0.9528,0.95881,0.48056,0.57335,0.86398,0.95918,0.57483,0.71704,1
0.95258,0.95677,0.47797,0.57463,0.86478,0.96121,0.57268,0.71643,1
0.95395,0.95541,0.4797,0.5744,0.86711,0.9592,0.57321,0.71641,1
0.95283,0.95633,0.47867,0.57386,0.86614,0.95822,0.57545,0.71648,1
0.95254,0.95618,0.48188,0.57208,0.86619,0.96028,0.57383,0.71548,1
0.24503,0.46621,0.23263,0.72944,0.10228,0.62691,0.90023,0.86479,0
0.95412,0.95633,0.47907,0.57285,0.86659,0.96242,0.57464,0.71562,1
0.95273,0.95687,0.47947,0.57334,0.86696,0.96107,0.57409,0.71582,1
0.95388,0.95544,0.47862,0.57198,0.86691,0.95865,0.57407,0.71669,1
0.95328,0.95589,0.47958,0.57237,0.86554,0.9579,0.57502,0.7156,1
0.95314,0.95807,0.47815,0.57437,0.86563,0.95822,0.57752,0.7152,1
0.95507,0.95513,0.47825,0.57254,0.86724,0.96117,0.57892,0.71638,1
0.9525,0.95611,0.47981,0.57133,0.86499,0.96001,0.57231,0.71569,1
0.95366,0.95605,0.47772,0.57367,0.86708,0.95892,0.57376,0.71711,1
0.95318,0.95642,0.47777,0.57361,0.86677,0.95744,0.57253,0.71663,1
0.95317,0.9559,0.47925,0.57191,0.86669,0.95802,0.57548,0.71666,1
