@relation sequential_data_14-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute class {0,1,2,3,4,5,6,7,8}

@data
0.16766,0.02981,0.22255,0.70134,0.27833,0.48861,0.69899,0.11982,0.91829,0.053649,1
0.14902,0.032862,0.19366,0.69588,0.28743,0.49081,0.69571,0.13752,0.91963,0.050878,1
0.15617,0.034626,0.20584,0.68706,0.2836,0.49221,0.68961,0.13448,0.92026,0.052063,1
0.15661,0.025531,0.20263,0.70164,0.29045,0.48797,0.69375,0.12879,0.92502,0.059815,1
0.15517,0.02655,0.20642,0.69752,0.28712,0.48443,0.69301,0.13051,0.92715,0.044202,1
0.15039,0.023306,0.20352,0.69382,0.27801,0.48879,0.69487,0.1269,0.9301,0.047738,1
0.16546,0.02919,0.21006,0.69281,0.2789,0.48259,0.69744,0.12793,0.92521,0.055827,1
0.15656,0.038955,0.20551,0.69866,0.28166,0.50052,0.69428,0.13663,0.9154,0.052715,1
0.15102,0.025603,0.2053,0.69141,0.28383,0.48766,0.69349,0.12478,0.92243,0.046256,1
0.15367,0.030589,0.20654,0.69339,0.28619,0.48374,0.70499,0.13016,0.92976,0.05214,1
0.15367,0.024749,0.19575,0.68073,0.27027,0.4805,0.69254,0.13471,0.91803,0.045036,1
0.15329,0.028623,0.20726,0.68941,0.28231,0.48728,0.69123,0.12305,0.92291,0.052125,1
0.15469,0.027781,0.20572,0.69538,0.28435,0.49117,0.68974,0.12961,0.92777,0.050395,1
0.15396,0.019855,0.21145,0.70433,0.28491,0.49111,0.68939,0.13042,0.91871,0.052721,1
0.15255,0.026883,0.20439,0.68955,0.27738,0.48884,0.69415,0.12219,0.92202,0.046503,1
0.15507,0.027098,0.20409,0.69288,0.28334,0.49206,0.69547,0.12734,0.92397,0.047683,1
0.15667,0.029292,0.20404,0.69135,0.28494,0.48888,0.69486,0.12674,0.92855,0.051535,1
0.15572,0.028391,0.21199,0.69234,0.28227,0.49018,0.70044,0.12868,0.92243,0.054253,1
0.15287,0.028988,0.19676,0.68168,0.27883,0.48409,0.69361,0.11617,0.92013,0.05165,1
0.15565,0.029143,0.2049,0.6929,0.28844,0.48824,0.69293,0.1312,0.92617,0.05154,1
0.16197,0.026429,0.20887,0.69719,0.28825,0.48953,0.67907,0.1334,0.92475,0.0503,1
0.1557,0.021045,0.20734,0.68964,0.27762,0.48819,0.69223,0.12894,0.92347,0.049228,1
