@relation sequential_data_18-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute class {0,1,2,3}

@data
0.58934,0.69374,0.38482,0.72999,1
0.5895,0.69317,0.38467,0.73079,1
0.59156,0.69337,0.38745,0.73074,1
0.58895,0.69173,0.38515,0.73124,1
0.58933,0.69318,0.38507,0.73046,1
0.5891,0.69341,0.38442,0.73088,1
0.59005,0.69376,0.38479,0.73067,1
0.58978,0.69279,0.38517,0.73078,1
0.5901,0.69286,0.38532,0.73137,1
0.58972,0.69285,0.3849,0.73056,1
0.58919,0.69271,0.38331,0.72969,1
0.59259,0.69375,0.38485,0.73147,1
0.58797,0.69256,0.3834,0.73119,1
0.59074,0.6919,0.38358,0.73259,1
0.58874,0.69287,0.38285,0.72889,1
0.58939,0.69169,0.38629,0.7299,1
0.58961,0.69279,0.38505,0.73069,1
0.59082,0.69438,0.38593,0.72962,1
0.59009,0.69272,0.38502,0.73067,1
0.59133,0.69336,0.38641,0.7307,1
0.58941,0.6918,0.38578,0.72926,1
0.5909,0.69411,0.3847,0.72962,1
0.58979,0.69272,0.38494,0.7306,1
0.58938,0.69268,0.38544,0.73021,1
0.59015,0.69384,0.38497,0.73149,1
0.59054,0.69083,0.38355,0.72869,1
0.58945,0.69193,0.38457,0.73089,1
0.58772,0.69364,0.38465,0.73204,1
0.59001,0.69361,0.38352,0.72997,1
0.58958,0.69334,0.38501,0.73086,1
0.58909,0.69426,0.38603,0.73056,1
0.59094,0.69515,0.38542,0.7296,1
0.5906,0.69404,0.38402,0.73013,1
0.59124,0.69204,0.38503,0.73039,1
0.58875,0.69229,0.38538,0.73059,1
0.58727,0.69201,0.38461,0.72922,1
0.58936,0.6927,0.38508,0.73061,1
0.58892,0.69355,0.38604,0.72921,1
0.59002,0.69231,0.3851,0.73023,1
0.58912,0.69284,0.38727,0.73099,1
0.59243,0.69387,0.38483,0.73105,1
0.58893,0.69387,0.38283,0.7293,1
0.58907,0.69391,0.38433,0.72941,1
0.58966,0.69277,0.38498,0.73064,1
0.59072,0.69177,0.38269,0.72922,1
0.58834,0.69178,0.38701,0.73029,1
0.4619,0.26718,0.683,0.21888,0
0.58973,0.69275,0.38466,0.73095,1
0.59124,0.69132,0.38485,0.72987,1
0.58959,0.6938,0.38529,0.73137,1
0.58952,0.69326,0.38606,0.72817,1
0.58949,0.69268,0.38512,0.73058,1
0.5903,0.69402,0.38304,0.7325,1
0.58934,0.69475,0.38638,0.73212,1
0.58792,0.69299,0.38574,0.73066,1
0.59139,0.69311,0.38475,0.72975,1
0.59004,0.69334,0.38489,0.73013,1
0.58955,0.69294,0.38475,0.73091,1
0.58921,0.69073,0.38469,0.73167,1
0.58974,0.69312,0.38479,0.72865,1
0.58938,0.69298,0.38488,0.73059,1
0.58941,0.69268,0.38516,0.73057,1
0.59243,0.6935,0.38379,0.73117,1
0.58801,0.69142,0.38396,0.72853,1
0.58995,0.69295,0.3848,0.7302,1
0.59022,0.6927,0.38488,0.73072,1
0.58956,0.69288,0.38491,0.73055,1
0.58971,0.69287,0.38493,0.7306,1
0.58972,0.69293,0.38497,0.73054,1
0.59017,0.69424,0.38535,0.72813,1
0.58993,0.6929,0.38668,0.73044,1
0.58943,0.693,0.38501,0.73104,1
0.58937,0.6927,0.3854,0.72949,1
0.5892,0.69251,0.38539,0.73006,1
0.58981,0.69254,0.38468,0.73062,1
0.58907,0.69362,0.38591,0.73057,1
0.59039,0.69094,0.38437,0.7319,1
0.58881,0.69401,0.3839,0.73075,1
0.58972,0.69279,0.38505,0.73063,1
0.5904,0.69352,0.38461,0.73208,1
0.59025,0.69264,0.38501,0.73093,1
0.58993,0.69089,0.3863,0.73274,1
0.58951,0.69438,0.38545,0.73078,1
0.59012,0.6915,0.38597,0.72851,1
0.58947,0.69208,0.38505,0.73167,1
0.58843,0.69522,0.3863,0.73001,1
0.59134,0.69429,0.3836,0.72941,1
0.58926,0.69388,0.38665,0.72867,1
0.59179,0.69288,0.38737,0.73059,1
0.58841,0.69285,0.38563,0.73011,1
0.58826,0.69246,0.38661,0.73156,1
0.58976,0.69264,0.38524,0.73066,1
0.58969,0.69273,0.38482,0.7307,1
0.76937,0.52871,0.91666,0.26138,0
0.58938,0.69386,0.38658,0.73064,1
0.58822,0.69515,0.38518,0.72975,1
0.59024,0.69378,0.38398,0.73276,1
0.59055,0.69099,0.38336,0.7309,1
0.58981,0.69278,0.38495,0.73057,1
0.58875,0.69461,0.38688,0.73013,1
0.58922,0.6928,0.38556,0.72977,1
0.58885,0.69136,0.38457,0.73097,1
0.59005,0.69283,0.38507,0.73098,1
0.58994,0.69226,0.38438,0.73143,1
0.58891,0.69261,0.38467,0.72888,1
0.59012,0.69273,0.38661,0.72838,1
0.58962,0.69264,0.38481,0.73044,1
0.59086,0.69084,0.3843,0.72977,1
0.58858,0.69496,0.38327,0.73176,1
0.59016,0.69269,0.38443,0.731,1
0.59023,0.69157,0.38408,0.72943,1
0.58907,0.69162,0.386,0.73045,1
0.58956,0.69285,0.385,0.73065,1
0.5875,0.69194,0.38395,0.73127,1
0.58929,0.69158,0.38734,0.72895,1
0.58979,0.69279,0.38497,0.73113,1
0.58854,0.69425,0.38392,0.73131,1
0.58975,0.69291,0.38501,0.73067,1
0.59037,0.69303,0.3853,0.73088,1
0.58833,0.69291,0.38658,0.7299,1
0.58732,0.69188,0.38508,0.72937,1
0.58994,0.69227,0.38523,0.7307,1
0.58972,0.69295,0.38483,0.73083,1
0.59054,0.69318,0.38427,0.73158,1
0.5914,0.69351,0.38717,0.73166,1
0.58908,0.69194,0.38636,0.72879,1
0.59054,0.69293,0.38459,0.73037,1
0.58965,0.69192,0.38392,0.73049,1
0.59018,0.69291,0.38523,0.73109,1
0.58963,0.69279,0.38486,0.73077,1
0.5891,0.69134,0.38525,0.73241,1
0.58787,0.69261,0.38285,0.72935,1
0.58787,0.6934,0.38656,0.73222,1
0.5914,0.6935,0.38564,0.72971,1
0.58828,0.69099,0.38695,0.73134,1
0.58731,0.6922,0.3857,0.72974,1
0.58931,0.69259,0.38662,0.73135,1
0.58811,0.69128,0.386,0.73141,1
0.58871,0.69304,0.38493,0.73145,1
0.58989,0.69267,0.38464,0.73046,1
0.59003,0.69415,0.38645,0.73085,1
0.60366,0.47744,0.35616,0.63503,0
0.59101,0.69188,0.38558,0.73064,1
0.58936,0.69366,0.38557,0.72982,1
0.58996,0.69292,0.38546,0.73034,1
0.58923,0.69224,0.38389,0.73067,1
0.58962,0.69284,0.3848,0.73071,1
0.59056,0.69455,0.38658,0.7311,1
0.59089,0.69312,0.38516,0.72811,1
0.59042,0.69118,0.3864,0.73043,1
0.58948,0.69306,0.38553,0.73033,1
0.59027,0.69122,0.38296,0.73211,1
0.58914,0.69145,0.38449,0.73242,1
0.58971,0.69283,0.38497,0.73063,1
0.58852,0.69231,0.38496,0.72965,1
0.58972,0.69302,0.38485,0.72986,1
0.5901,0.69425,0.3837,0.73079,1
0.59027,0.69287,0.38585,0.73229,1
0.58936,0.69347,0.38515,0.73065,1
0.59065,0.69393,0.38514,0.73078,1
0.59034,0.69285,0.3851,0.73045,1
0.59082,0.69251,0.38506,0.72939,1
0.58965,0.69309,0.38469,0.73027,1
0.5909,0.69463,0.38513,0.72947,1
0.58899,0.69189,0.38508,0.73091,1
0.59059,0.69273,0.38402,0.7291,1
0.59077,0.69297,0.38701,0.73207,1
0.58995,0.69267,0.38458,0.73083,1
0.58968,0.69262,0.38403,0.72988,1
0.59059,0.69409,0.38594,0.73072,1
0.58986,0.6938,0.38336,0.73027,1
0.59012,0.69307,0.38527,0.73003,1
0.58873,0.6923,0.38503,0.73077,1
0.58947,0.69274,0.3849,0.73172,1
0.59042,0.69214,0.3834,0.73065,1
0.59088,0.69259,0.38443,0.72819,1
0.59084,0.69288,0.38601,0.73261,1
0.58872,0.69199,0.38552,0.73207,1
0.58914,0.6946,0.38415,0.73036,1
0.58824,0.69135,0.3863,0.73081,1
0.58872,0.69387,0.38678,0.73087,1
0.58924,0.69318,0.38515,0.73011,1
0.59035,0.69217,0.38585,0.73156,1
0.59,0.6932,0.38537,0.73081,1
0.76029,0.26597,0.85574,0.90398,0
0.58943,0.69325,0.38488,0.73066,1
0.58807,0.69239,0.38447,0.73182,1
0.58764,0.69326,0.3836,0.73001,1
0.58758,0.69407,0.38558,0.72987,1
0.58969,0.69265,0.3849,0.73073,1
0.58959,0.69289,0.38505,0.72997,1
0.58819,0.69239,0.3853,0.72947,1
0.59049,0.69308,0.38499,0.73098,1
0.59064,0.69326,0.38475,0.72958,1
0.59109,0.69401,0.38405,0.73196,1
0.5901,0.69255,0.3855,0.7316,1
0.59184,0.69282,0.38488,0.73163,1
0.59063,0.69274,0.38486,0.73092,1
0.59053,0.69342,0.38567,0.73225,1
0.59033,0.69456,0.3864,0.73221,1
0.58918,0.69267,0.3858,0.73026,1
