@relation sequential_data_20-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
0.46734,0.90151,0.46832,0.66616,0.43589,0.69466,0.29886,0.49821,0.90014,0.13612,0.42886,1
0.46578,0.90307,0.46609,0.66573,0.43765,0.70261,0.29458,0.50446,0.90115,0.13659,0.43587,1
0.46474,0.90189,0.47129,0.67031,0.43219,0.70171,0.29896,0.49919,0.90465,0.12975,0.43449,1
0.46682,0.9016,0.46828,0.66585,0.43256,0.69749,0.29805,0.49949,0.90152,0.13061,0.43033,1
0.4679,0.89767,0.4662,0.66559,0.43754,0.70003,0.30442,0.50563,0.90564,0.13013,0.43554,1
0.46686,0.90276,0.4678,0.66512,0.43179,0.69978,0.30335,0.49779,0.89973,0.1368,0.43238,1
0.46593,0.89669,0.4709,0.6637,0.43297,0.70026,0.304,0.49797,0.90888,0.13145,0.43383,1
0.46747,0.90179,0.46753,0.66694,0.43759,0.69842,0.29799,0.49843,0.90108,0.14089,0.43648,1
0.46869,0.9016,0.46964,0.66827,0.43042,0.69783,0.30006,0.50312,0.90124,0.12761,0.43495,1
0.46752,0.90353,0.46388,0.66172,0.43511,0.69108,0.30031,0.50192,0.90436,0.13445,0.43715,1
0.46676,0.9023,0.46423,0.66967,0.43504,0.69615,0.30494,0.49765,0.90435,0.13603,0.43161,1
0.46665,0.89978,0.4599,0.66757,0.43491,0.70027,0.29879,0.49869,0.90438,0.13459,0.4327,1
0.4681,0.89547,0.46621,0.66506,0.43004,0.70006,0.29864,0.49853,0.90167,0.12864,0.43318,1
0.46708,0.90894,0.47011,0.67331,0.43313,0.69748,0.29905,0.5009,0.90266,0.13962,0.4317,1
0.47253,0.89634,0.46647,0.66125,0.43613,0.69719,0.30192,0.50459,0.90284,0.12567,0.432,1
0.46449,0.89996,0.46954,0.66653,0.43671,0.7009,0.30244,0.50305,0.89606,0.13596,0.4347,1
0.46496,0.9027,0.4567,0.66031,0.43516,0.699,0.30002,0.5017,0.90054,0.13702,0.43204,1
0.47211,0.9048,0.46648,0.66627,0.43973,0.70171,0.30663,0.50154,0.90487,0.12431,0.43491,1
0.45934,0.90383,0.4648,0.66659,0.43585,0.70338,0.29818,0.49753,0.90444,0.13459,0.43333,1
0.46879,0.89824,0.46606,0.66917,0.42849,0.70097,0.30068,0.50171,0.89941,0.13363,0.4324,1
0.46426,0.89973,0.46094,0.66663,0.43964,0.70067,0.29851,0.49892,0.90147,0.13207,0.43373,1
0.46255,0.90429,0.45565,0.66255,0.43116,0.6983,0.29989,0.50205,0.90604,0.13295,0.43483,1
0.16602,0.36106,0.29853,0.062273,0.75064,0.29591,0.40723,1.0357,0.9803,0.36296,0.11687,0
0.4693,0.89656,0.46424,0.66775,0.43553,0.69654,0.30161,0.49632,0.8962,0.13203,0.43405,1
0.469,0.90398,0.46423,0.66443,0.43243,0.70299,0.30309,0.50166,0.90144,0.12971,0.43096,1
0.46756,0.9013,0.46735,0.66726,0.43569,0.69722,0.29856,0.49802,0.90313,0.13526,0.42951,1
0.46309,0.89968,0.4633,0.66917,0.43096,0.69392,0.30077,0.49917,0.90015,0.13334,0.43205,1
0.46545,0.89966,0.46361,0.66658,0.43545,0.70412,0.30131,0.49481,0.90659,0.13634,0.43183,1
0.46199,0.90092,0.46823,0.66901,0.43714,0.69961,0.29955,0.50443,0.9036,0.12916,0.4329,1
0.46612,0.89876,0.4658,0.66567,0.4379,0.69892,0.30056,0.49195,0.90153,0.12968,0.43543,1
0.46641,0.89895,0.46716,0.66365,0.43626,0.69992,0.29919,0.49887,0.90323,0.13297,0.43534,1
0.46524,0.90663,0.46542,0.66742,0.43285,0.70041,0.30219,0.50308,0.89777,0.13719,0.43122,1
0.46361,0.89858,0.46581,0.6668,0.43519,0.6965,0.29824,0.49912,0.90513,0.13758,0.43014,1
