@relation sequential_data_5-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute class {0,1,2,3,4,5,6,7,8}

@data
0.91428,0.51261,0.66579,0.43103,0.42593,0.1842,0.74399,0.25054,0.2531,0.16679,0.077528,0.25084,0.75023,0.16765,0.84394,0.25508,0.7515,0.84207,0.83186,0.56614,0.18333,0.26829,0.67168,1
0.90798,0.48266,0.65041,0.40298,0.40037,0.16861,0.75688,0.2268,0.24575,0.14298,0.059917,0.22737,0.76018,0.18027,0.82456,0.24703,0.73548,0.83417,0.82876,0.55514,0.16389,0.23362,0.65263,1
0.95253,0.50831,0.68153,0.42835,0.43451,0.18306,0.76655,0.23931,0.24089,0.16332,0.090353,0.25659,0.76106,0.16526,0.84341,0.25835,0.75337,0.8369,0.87695,0.62128,0.15802,0.24519,0.67301,1
0.9075,0.4763,0.65158,0.40566,0.42233,0.16104,0.72957,0.25452,0.2478,0.1599,0.086789,0.2486,0.75032,0.155,0.84051,0.2526,0.72575,0.82231,0.81652,0.57864,0.17525,0.25756,0.67145,1
0.91634,0.45313,0.59955,0.40301,0.3876,0.19326,0.75677,0.24036,0.20162,0.12246,0.064389,0.23283,0.71122,0.19338,0.87498,0.25249,0.71838,0.8109,0.81075,0.58238,0.12404,0.23332,0.63954,1
0.90037,0.51347,0.66689,0.43004,0.42477,0.16508,0.72572,0.24441,0.25894,0.164,0.084027,0.25299,0.74007,0.1673,0.81149,0.23746,0.74356,0.8274,0.82391,0.56293,0.1645,0.24241,0.64556,1
0.91062,0.48545,0.67555,0.4177,0.40913,0.13301,0.74283,0.24028,0.23277,0.14405,0.07573,0.23065,0.73432,0.14449,0.82755,0.2467,0.76424,0.82569,0.83957,0.58012,0.16749,0.24861,0.65287,1
0.88654,0.48393,0.61856,0.43691,0.41433,0.15436,0.73089,0.24581,0.23996,0.15118,0.087105,0.23307,0.73576,0.15434,0.83393,0.27104,0.73064,0.81306,0.85023,0.57116,0.15181,0.25285,0.67871,1
0.8811,0.51609,0.65481,0.40572,0.39264,0.14519,0.75581,0.26152,0.26989,0.16111,0.063972,0.26123,0.76416,0.1724,0.84817,0.24177,0.76657,0.81829,0.83206,0.60361,0.15226,0.26086,0.65523,1
0.92477,0.46806,0.64497,0.41752,0.43449,0.16083,0.77665,0.22747,0.22674,0.17884,0.081905,0.2739,0.72715,0.19622,0.82628,0.27621,0.73489,0.8207,0.82475,0.56344,0.15817,0.25074,0.6531,1
0.92844,0.5074,0.678,0.40069,0.43396,0.15622,0.73676,0.27241,0.23441,0.15704,0.076833,0.2462,0.76577,0.20404,0.84297,0.25474,0.77959,0.83641,0.82453,0.61703,0.18353,0.25188,0.67726,1
0.91889,0.50053,0.67019,0.43621,0.4132,0.16281,0.75338,0.26688,0.23739,0.16264,0.093759,0.26592,0.759,0.17969,0.84979,0.25279,0.75311,0.83054,0.82736,0.58367,0.1534,0.24321,0.66038,1
0.92404,0.48954,0.66327,0.43437,0.41321,0.16527,0.77732,0.28131,0.27502,0.18692,0.084658,0.26353,0.7607,0.18716,0.81218,0.26468,0.76171,0.85025,0.82138,0.57225,0.15626,0.2505,0.67958,1
0.8964,0.5104,0.66495,0.40728,0.40727,0.16646,0.75267,0.24597,0.26017,0.16845,0.10041,0.23757,0.75255,0.15645,0.81312,0.2405,0.73624,0.8197,0.82391,0.58596,0.16239,0.2413,0.68144,1
0.91722,0.47961,0.66795,0.431,0.40814,0.16004,0.73436,0.24026,0.26348,0.16588,0.084331,0.26416,0.75114,0.16637,0.8246,0.24738,0.75999,0.84303,0.82684,0.57733,0.14713,0.25476,0.65019,1
0.91872,0.49081,0.692,0.40703,0.40982,0.17717,0.75678,0.25961,0.26481,0.16831,0.090158,0.24829,0.75072,0.18446,0.83344,0.24528,0.74838,0.84238,0.8395,0.5741,0.18922,0.25017,0.67404,1
0.91672,0.4933,0.69336,0.42488,0.42257,0.16997,0.7604,0.24423,0.26268,0.14657,0.080092,0.25274,0.74779,0.16155,0.8512,0.27087,0.76121,0.84741,0.83313,0.60111,0.15303,0.26832,0.67941,1
0.91181,0.50919,0.66856,0.41248,0.40391,0.20035,0.74589,0.22093,0.24207,0.15207,0.088906,0.2312,0.7232,0.15496,0.84634,0.22552,0.74731,0.83372,0.81071,0.58784,0.15736,0.23506,0.68496,1
0.92084,0.50971,0.64712,0.42487,0.40597,0.17726,0.744,0.26545,0.24455,0.17966,0.079132,0.24357,0.76347,0.15209,0.8421,0.24635,0.74657,0.83192,0.84236,0.58747,0.16319,0.24257,0.68328,1
0.91385,0.49201,0.65292,0.41153,0.40588,0.16423,0.74278,0.2488,0.25171,0.1567,0.085168,0.24099,0.75219,0.16186,0.83077,0.25766,0.74425,0.81142,0.82283,0.5807,0.17351,0.2482,0.66765,1
0.90447,0.51852,0.6802,0.42308,0.42135,0.16007,0.76313,0.25195,0.25883,0.16455,0.090293,0.26191,0.74765,0.17449,0.84131,0.24416,0.74663,0.84634,0.83331,0.58512,0.16599,0.25342,0.66049,1
0.91662,0.48857,0.65845,0.41268,0.4201,0.16921,0.73458,0.24712,0.24448,0.16148,0.089474,0.24342,0.76136,0.18016,0.81849,0.2567,0.74619,0.82484,0.8308,0.57092,0.17336,0.2482,0.66002,1
0.90265,0.50395,0.66222,0.40239,0.40818,0.14798,0.73809,0.25664,0.26003,0.16239,0.068344,0.24302,0.7438,0.16066,0.83591,0.24361,0.74195,0.81879,0.8411,0.57915,0.15958,0.25152,0.65519,1
0.93442,0.53386,0.66931,0.45419,0.45838,0.18597,0.77279,0.23442,0.26439,0.202,0.10138,0.27058,0.77217,0.1847,0.83694,0.26103,0.76083,0.83529,0.83864,0.5851,0.16757,0.28055,0.66881,1
0.92862,0.51621,0.67729,0.38675,0.42133,0.19684,0.73641,0.25142,0.26819,0.18885,0.073034,0.2617,0.73529,0.19779,0.81241,0.27479,0.77498,0.8547,0.81095,0.57036,0.17486,0.25453,0.63759,1
0.91719,0.50728,0.67006,0.4211,0.42121,0.17463,0.75807,0.2507,0.25422,0.17587,0.088496,0.25525,0.76064,0.18026,0.84685,0.23372,0.75118,0.83932,0.81045,0.57768,0.16487,0.25276,0.68083,1
0.89105,0.46959,0.65382,0.38478,0.3942,0.16292,0.72433,0.23981,0.23948,0.13835,0.074638,0.23924,0.74929,0.16883,0.82538,0.23714,0.73419,0.82316,0.84059,0.58899,0.15133,0.25785,0.65276,1
