@relation sequential_data_7-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute class {0,1,2,3,4}

@data
0.87784,0.47959,0.31822,1
0.88509,0.48318,0.31998,1
0.88064,0.47874,0.32342,1
0.87573,0.4771,0.32194,1
0.88017,0.48049,0.32288,1
0.88243,0.47959,0.3184,1
0.87947,0.47782,0.31878,1
0.87382,0.47769,0.31801,1
0.8749,0.4784,0.3192,1
0.87959,0.4813,0.32209,1
0.88254,0.47924,0.32514,1
0.88235,0.48391,0.31965,1
0.87734,0.4779,0.31804,1
0.87683,0.47804,0.3189,1
0.88519,0.48456,0.32371,1
0.87823,0.4777,0.31897,1
0.88067,0.47925,0.31831,1
0.88212,0.48187,0.32233,1
0.88078,0.47818,0.31938,1
0.87972,0.48191,0.32181,1
0.87999,0.4814,0.31771,1
0.87952,0.48056,0.32224,1
0.88271,0.47918,0.31779,1
0.87765,0.47748,0.31721,1
0.87859,0.47796,0.32064,1
0.88187,0.48201,0.32135,1
0.88092,0.48187,0.32079,1
0.88176,0.47724,0.32022,1
0.88148,0.4812,0.31918,1
0.88688,0.48149,0.32044,1
0.88121,0.47881,0.32004,1
0.88293,0.48134,0.32257,1
0.88107,0.48167,0.31772,1
0.88052,0.4812,0.31785,1
0.8782,0.48243,0.31861,1
0.33011,0.16028,0.86494,0
0.88079,0.47856,0.31858,1
0.87799,0.47716,0.32301,1
0.87914,0.48303,0.3205,1
0.87827,0.48198,0.31987,1
0.8806,0.48198,0.32237,1
0.88608,0.47685,0.32382,1
0.88216,0.4758,0.31822,1
0.88118,0.47592,0.3178,1
0.88047,0.48225,0.32082,1
0.88021,0.47695,0.31915,1
0.88191,0.48401,0.3201,1
0.87926,0.48008,0.32483,1
0.884,0.48259,0.32052,1
0.87719,0.48287,0.31912,1
0.88206,0.48673,0.31948,1
0.87775,0.47916,0.31901,1
0.88132,0.47988,0.31896,1
0.87585,0.48126,0.31509,1
0.88389,0.48029,0.31893,1
0.87709,0.47974,0.31773,1
0.87963,0.48123,0.32275,1
0.87868,0.48119,0.3185,1
0.8819,0.47893,0.32092,1
0.8775,0.47927,0.32299,1
0.8826,0.4809,0.32274,1
0.87843,0.48157,0.32268,1
0.87662,0.47664,0.32245,1
0.61944,0.1291,0.90522,0
0.8793,0.48188,0.31868,1
0.88139,0.48162,0.32216,1
0.87694,0.47761,0.31998,1
0.87793,0.47869,0.31963,1
0.88211,0.4835,0.31905,1
0.87815,0.47852,0.32057,1
0.87798,0.48158,0.31849,1
0.87819,0.48178,0.31925,1
0.88307,0.47934,0.31876,1
0.88561,0.48023,0.32072,1
0.87798,0.47874,0.31906,1
0.87922,0.47782,0.31709,1
0.87741,0.47702,0.32258,1
0.88136,0.47972,0.32136,1
0.87727,0.47799,0.31732,1
0.88331,0.48076,0.3206,1
0.88072,0.47629,0.31887,1
0.87997,0.48207,0.31801,1
0.88082,0.47871,0.32492,1
0.88037,0.48046,0.32444,1
0.87758,0.48073,0.31926,1
