@relation sequential_data_8-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute class {0,1,2,3,4,5}

@data
0.6627,0.2521,0.66802,0.082194,0.50357,0.16796,0.91363,0.749,0.41379,0.4155,0.08253,0.58209,0.16971,0.5785,0.50004,0.16341,0.91473,0.16494,0.9147,0.75139,0.33121,0.5032,0.25244,0.90566,0.67403,0.91776,0.33276,0.24717,0.33053,0.24567,1
0.66459,0.25111,0.67223,0.083416,0.49906,0.16202,0.91299,0.75151,0.41528,0.4216,0.087497,0.57909,0.16906,0.57974,0.5003,0.16884,0.91238,0.16498,0.92129,0.75278,0.33443,0.50552,0.2447,0.91456,0.67941,0.92113,0.32667,0.24883,0.33431,0.24793,1
0.66844,0.25318,0.669,0.082752,0.50164,0.1659,0.91951,0.74731,0.41078,0.41603,0.087461,0.57877,0.16999,0.58022,0.5002,0.16514,0.91281,0.16793,0.91653,0.75278,0.33183,0.50094,0.25393,0.91161,0.67044,0.92139,0.33196,0.24929,0.33118,0.24716,1
0.66895,0.2489,0.66542,0.081633,0.50265,0.17005,0.91849,0.74503,0.41485,0.41411,0.08327,0.57928,0.16798,0.58427,0.49653,0.16307,0.91117,0.1689,0.91328,0.7488,0.33189,0.50402,0.24815,0.90879,0.67623,0.9267,0.33176,0.24949,0.33445,0.2505,1
0.6637,0.25015,0.66928,0.083772,0.49922,0.16505,0.91242,0.74448,0.41432,0.4183,0.08804,0.58046,0.16468,0.57914,0.49781,0.16969,0.91152,0.17036,0.91608,0.74831,0.33344,0.49929,0.24707,0.90877,0.67889,0.91835,0.33011,0.24875,0.32905,0.24406,1
0.6632,0.24969,0.66994,0.085552,0.49881,0.16671,0.92042,0.74691,0.41224,0.42146,0.082079,0.57959,0.16788,0.58014,0.504,0.16091,0.91362,0.16654,0.91947,0.7451,0.33371,0.50556,0.24722,0.91178,0.67143,0.92468,0.33331,0.24941,0.32932,0.24737,1
0.66577,0.25118,0.6635,0.085649,0.50249,0.16989,0.91842,0.74661,0.41639,0.41467,0.080535,0.5787,0.16921,0.57527,0.49968,0.16253,0.91208,0.16283,0.91311,0.74849,0.33164,0.50701,0.24367,0.91274,0.67299,0.9199,0.32997,0.24593,0.33483,0.25085,1
0.67015,0.24965,0.67043,0.079737,0.50735,0.16772,0.91547,0.75117,0.41701,0.4153,0.08297,0.57989,0.16231,0.58182,0.50317,0.16947,0.91503,0.16978,0.91142,0.75075,0.33606,0.50247,0.24818,0.90721,0.67522,0.92482,0.33011,0.24909,0.32958,0.24171,1
0.67035,0.24675,0.6677,0.083265,0.49736,0.16138,0.91748,0.749,0.41275,0.41887,0.084266,0.58103,0.16741,0.57837,0.50113,0.16417,0.91424,0.16914,0.91832,0.74568,0.33641,0.50495,0.25212,0.90968,0.6751,0.92378,0.32902,0.24738,0.33175,0.24619,1
0.66598,0.24562,0.66234,0.08688,0.49711,0.16994,0.91629,0.75411,0.41744,0.41309,0.083251,0.58409,0.16573,0.58147,0.5037,0.16316,0.91038,0.16812,0.91692,0.7463,0.33318,0.50026,0.24894,0.91514,0.6738,0.92371,0.32788,0.24591,0.33167,0.24589,1
0.66531,0.25612,0.66747,0.080883,0.50345,0.16633,0.91483,0.75125,0.41796,0.41407,0.085028,0.57834,0.16622,0.58008,0.50117,0.16769,0.91392,0.16346,0.9123,0.75043,0.33554,0.50789,0.25195,0.91141,0.67318,0.91864,0.32543,0.25097,0.33857,0.24742,1
0.6696,0.25202,0.66989,0.085045,0.49823,0.17025,0.91874,0.74611,0.41208,0.41726,0.08362,0.58188,0.16697,0.57909,0.50429,0.16746,0.91222,0.17027,0.91807,0.74601,0.3344,0.50323,0.24821,0.91458,0.67514,0.9194,0.32676,0.24773,0.33332,0.24814,1
0.66605,0.25086,0.66592,0.081801,0.50055,0.16631,0.91585,0.74808,0.41369,0.417,0.084429,0.5834,0.16939,0.58436,0.5015,0.16702,0.91703,0.16615,0.91651,0.74495,0.3336,0.50269,0.24878,0.91084,0.67599,0.91818,0.33209,0.24975,0.33044,0.25177,1
0.66515,0.24727,0.66739,0.083238,0.49635,0.16196,0.9127,0.74883,0.41754,0.4141,0.082758,0.57721,0.16643,0.57846,0.50069,0.16313,0.91527,0.16529,0.91222,0.74962,0.33927,0.50704,0.24836,0.90994,0.6777,0.92384,0.3307,0.24963,0.3296,0.25012,1
0.6674,0.24653,0.66556,0.079865,0.5031,0.16802,0.91484,0.74551,0.41421,0.42092,0.086068,0.5805,0.16242,0.57912,0.49871,0.16939,0.91458,0.16598,0.91922,0.74775,0.33538,0.50228,0.24715,0.90765,0.67191,0.92153,0.32674,0.2493,0.32972,0.25014,1
0.66672,0.25251,0.66925,0.086165,0.5023,0.16604,0.91839,0.74358,0.40894,0.41823,0.086477,0.58146,0.16808,0.58,0.50202,0.16789,0.91235,0.16492,0.91365,0.75017,0.33727,0.50418,0.24809,0.90828,0.67327,0.92238,0.33054,0.25178,0.33318,0.24927,1
0.66372,0.24892,0.66311,0.084087,0.50135,0.16666,0.9169,0.746,0.41444,0.42155,0.087975,0.579,0.16853,0.57625,0.50424,0.16287,0.91679,0.16619,0.91602,0.74733,0.32977,0.50626,0.24784,0.91067,0.67337,0.92208,0.3294,0.25272,0.33255,0.2441,1
0.66953,0.25373,0.66244,0.085567,0.50705,0.16682,0.91599,0.74581,0.41293,0.41334,0.085386,0.58098,0.1711,0.57714,0.50336,0.16462,0.91303,0.16659,0.91352,0.74468,0.3307,0.50284,0.25,0.91091,0.67355,0.92651,0.32929,0.25033,0.33553,0.24885,1
0.66768,0.24952,0.66595,0.086016,0.50448,0.16528,0.9204,0.74698,0.41625,0.41516,0.087471,0.57617,0.16507,0.58436,0.50421,0.16055,0.91989,0.16611,0.9182,0.75344,0.33421,0.50408,0.25349,0.91203,0.66955,0.92427,0.33048,0.24632,0.33141,0.24515,1
0.67098,0.25207,0.66977,0.082879,0.49633,0.16242,0.9171,0.74661,0.41865,0.42083,0.081791,0.5849,0.16696,0.58085,0.50072,0.1654,0.91445,0.16917,0.91592,0.74404,0.33721,0.50019,0.25127,0.90723,0.67629,0.9214,0.3294,0.25175,0.32812,0.24533,1
0.66547,0.25206,0.66426,0.0865,0.50089,0.1625,0.91597,0.75004,0.41713,0.41725,0.08391,0.57788,0.17094,0.57992,0.50245,0.16678,0.91549,0.16539,0.91444,0.7509,0.33342,0.50503,0.24971,0.91173,0.67148,0.92415,0.33261,0.2511,0.33241,0.25108,1
0.66962,0.25051,0.66882,0.083613,0.4984,0.16957,0.91687,0.75027,0.41349,0.42389,0.081328,0.58245,0.16683,0.58057,0.50118,0.16529,0.91732,0.16919,0.91219,0.74385,0.32889,0.50285,0.24579,0.91189,0.67216,0.92517,0.32794,0.2514,0.33266,0.24438,1
0.66919,0.25227,0.66553,0.08474,0.49666,0.16719,0.91749,0.75378,0.41091,0.41858,0.084477,0.57773,0.16143,0.58394,0.49863,0.16564,0.91052,0.1684,0.91291,0.74769,0.33356,0.50789,0.24969,0.90722,0.67595,0.91901,0.32696,0.24833,0.33734,0.24533,1
