base_data_6.arff , idx: 0 , shape: (10000, 11) , #outliers: 487 , phi: 0.0 , rho: 0.17476481926272164
base_data_14.arff , idx: 1 , shape: (10000, 24) , #outliers: 144 , phi: 0.030112296919092802 , rho: 0.4268087070392862
base_data_12.arff , idx: 2 , shape: (10000, 9) , #outliers: 178 , phi: 0.020905510316697944 , rho: 0.3011523829633095
base_data_15.arff , idx: 3 , shape: (10000, 28) , #outliers: 270 , phi: 0.009076348104644954 , rho: 0.5595659192707098
base_data_19.arff , idx: 4 , shape: (10000, 28) , #outliers: 173 , phi: 0.023209946389047293 , rho: 0.8413537809007573
base_data_16.arff , idx: 5 , shape: (10000, 7) , #outliers: 135 , phi: 0.07575586232522076 , rho: 0.24004629821691226
base_data_18.arff , idx: 6 , shape: (10000, 27) , #outliers: 119 , phi: 0.008730228518117378 , rho: 0.3499270125370496
base_data_3.arff , idx: 7 , shape: (10000, 16) , #outliers: 378 , phi: 0.004403271759328681 , rho: 0.23882634710626538
base_data_2.arff , idx: 8 , shape: (10000, 21) , #outliers: 211 , phi: 0.00020435271278226218 , rho: 0.8143965822395318
base_data_5.arff , idx: 9 , shape: (10000, 8) , #outliers: 342 , phi: 0.07676925800225133 , rho: 0.2279290184784107
base_data_10.arff , idx: 10 , shape: (10000, 17) , #outliers: 182 , phi: 0.08352252330917526 , rho: 0.7974073604591054
base_data_11.arff , idx: 11 , shape: (10000, 10) , #outliers: 333 , phi: 0.07114945613338364 , rho: 0.1693121933121471
base_data_20.arff , idx: 12 , shape: (10000, 17) , #outliers: 211 , phi: 0.0839851699034795 , rho: 1.0867396479756553
base_data_9.arff , idx: 13 , shape: (10000, 26) , #outliers: 257 , phi: 0.0005134524543027311 , rho: 0.2879838500212781
base_data_8.arff , idx: 14 , shape: (10000, 17) , #outliers: 307 , phi: 0.005423524486780582 , rho: 0.6200522581790624
base_data_4.arff , idx: 15 , shape: (10000, 28) , #outliers: 128 , phi: 0.10347911135950813 , rho: 1.581563047117734
base_data_7.arff , idx: 16 , shape: (10000, 8) , #outliers: 193 , phi: 0.18923515773732846 , rho: 0.3841433789983074
base_data_17.arff , idx: 17 , shape: (10000, 13) , #outliers: 292 , phi: 0.015838522894151587 , rho: 0.2235029833726404
base_data_13.arff , idx: 18 , shape: (10000, 30) , #outliers: 279 , phi: 0.00899748286255745 , rho: 1.7078501298974031
base_data_1.arff , idx: 19 , shape: (10000, 10) , #outliers: 425 , phi: 0.01544930239521892 , rho: 0.31973571472962153
nonstat_data_19.arff , idx: 0 , shape: (10000, 3) , #outliers: 465 , phi: 0.041433370660694274 , rho: 0.10358239047139185
nonstat_data_7.arff , idx: 1 , shape: (10000, 7) , #outliers: 283 , phi: 0.11198428290766205 , rho: 0.23317292618110022
nonstat_data_10.arff , idx: 2 , shape: (10000, 4) , #outliers: 193 , phi: 0.10184596577017117 , rho: 0.22714199307197663
nonstat_data_8.arff , idx: 3 , shape: (10000, 11) , #outliers: 136 , phi: 0.03789163561640443 , rho: 0.29785413214131873
nonstat_data_6.arff , idx: 4 , shape: (10000, 5) , #outliers: 114 , phi: 0.0566996583318644 , rho: 0.24016420535300856
